epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse,L_m,L_r,L_y
10,0.057697929441928864,0.0915607213973999,5.884651467204094,5.884651467204094,-1,,0.0,0.0,0.03386279568076134
20,0.061367012560367584,0.07054725289344788,4.430067166686058,5.157359316945076,-1,,0.0,0.0,0.00918024405837059
30,0.04714745283126831,0.05027809366583824,3.704160451889038,4.672959695259729,-1,,0.0,0.0,0.003130640136078
40,0.04548751935362816,0.046334411948919296,3.993077576160431,4.502989165484905,-1,,0.0,0.0,0.0008468921296298504
50,0.04226616770029068,0.04278242588043213,3.2085206359624863,4.2440954595804214,-1,,0.0,0.0,0.0005162580637261271
60,0.04166483134031296,0.042321089655160904,3.3947117626667023,4.102531510094801,-1,,0.0,0.0,0.0006562577909789979
70,0.04155426472425461,0.04182056337594986,3.490617871284485,4.015115275979042,-1,,0.0,0.0,0.0002662989718373865
80,0.0413847342133522,0.04181613773107529,3.3798575401306152,3.9357080589979887,-1,,0.0,0.0,0.00043140535126440227
90,0.041251569986343384,0.04154983535408974,3.4987516701221466,3.8871573491228952,-1,,0.0,0.0,0.00029826382524333894
100,0.0410890132188797,0.04132087901234627,3.56510691344738,3.854952305555344,-1,,0.0,0.0,0.00023186637554317713
110,0.04223307594656944,0.04388884827494621,3.380190208554268,3.604506179690361,-1,,0.0,0.0,0.0016557736089453101
120,0.04117077961564064,0.04213309660553932,3.4039124846458435,3.50189071148634,-1,,0.0,0.0,0.0009623176301829517
130,0.04101378470659256,0.04172535985708237,3.385959193110466,3.470070585608483,-1,,0.0,0.0,0.0007115753251127899
140,0.04136700928211212,0.04223644733428955,3.6295685917139053,3.43371968716383,-1,,0.0,0.0,0.0008694374118931592
150,0.04094206914305687,0.041357118636369705,3.413015604019165,3.454169183969498,-1,,0.0,0.0,0.0004150485328864306
160,0.04100324958562851,0.04168407618999481,3.38575579226017,3.453273586928844,-1,,0.0,0.0,0.0006808267789892852
170,0.040837980806827545,0.04148498922586441,3.698866069316864,3.4740984067320824,-1,,0.0,0.0,0.0006470074295066297
180,0.04081078991293907,0.04146278649568558,3.3636361360549927,3.47247626632452,-1,,0.0,0.0,0.0006519960588775575
190,0.040889546275138855,0.04147772863507271,3.548131510615349,3.4774142503738408,-1,,0.0,0.0,0.0005881814868189394
200,0.040638793259859085,0.04132569208741188,3.433482348918915,3.464251793920994,-1,,0.0,0.0,0.0006868973723612726
210,0.04056617245078087,0.04088703170418739,3.39997299015522,3.466230072081089,-1,,0.0,0.0,0.0003208600974176079
220,0.04028599336743355,0.040799371898174286,3.309781849384308,3.4568170085549355,-1,,0.0,0.0,0.000513378472533077
230,0.04015582427382469,0.04084097221493721,3.382558375597,3.456476926803589,-1,,0.0,0.0,0.0006851491052657366
240,0.03970108553767204,0.04030980169773102,3.3540237694978714,3.4289224445819855,-1,,0.0,0.0,0.000608715636190027
250,0.038958340883255005,0.03965938091278076,3.2330457121133804,3.4109254553914075,-1,,0.0,0.0,0.0007010387489572167
260,0.037941452115774155,0.03897013142704964,3.1950850039720535,3.3918583765625954,-1,,0.0,0.0,0.0010286800097674131
