epoch,data_loss,objective,ode,capacity_diagnostic,capacity_penalty_used,val_rmse,selection_rmse,best_epoch
20,0.06766054779291153,0.06909984350204468,1.4392939192475751e-05,0.2226218432188034,False,0.8650006035864354,0.8650006035864354,
40,0.045391544699668884,0.04810520261526108,2.7136586140841246e-05,0.39430105686187744,False,0.6254661385565996,0.7452333710715174,
60,0.04416999593377113,0.04531962424516678,1.1496291335788555e-05,0.4075014293193817,False,0.5610923738181591,0.6838530386537314,
80,0.04263196885585785,0.04352002963423729,8.880590030457824e-06,0.4096004366874695,False,0.5717186382561922,0.5860923835436503,
100,0.04193040728569031,0.04270182549953461,7.714188541285694e-06,0.3915592432022095,False,0.601348628282547,0.5780532134522994,
120,0.04110054671764374,0.041795529425144196,6.949812359380303e-06,0.3779296576976776,False,0.5755871894359589,0.5828848186582327,
140,0.040256671607494354,0.040908727794885635,6.520552688016323e-06,0.35420867800712585,False,0.597231402412057,0.5913890733768543,
160,0.04039585590362549,0.04106684401631355,6.709878107358236e-06,0.3463284969329834,False,0.6072768297344446,0.5933651405274868,
180,0.03824351727962494,0.0388907864689827,6.4726787059044e-06,0.3240686357021332,False,0.6202284457683563,0.6082455593049526,
200,0.03638218343257904,0.0371517650783062,7.695834028709214e-06,0.32259297370910645,False,0.6411998205780983,0.6229016986936331,200.0
220,0.0338161401450634,0.034669049084186554,8.52910216053715e-06,0.30669906735420227,False,0.669451726436615,0.6436266642610232,200.0
240,0.032541170716285706,0.03347872570157051,9.375534318678547e-06,0.28750932216644287,False,0.6813207204639912,0.6639907558262348,200.0
260,0.03326005861163139,0.034205641597509384,9.455828148929868e-06,0.2690827250480652,False,0.7584164563119412,0.7030629677375159,200.0
280,0.03040383569896221,0.03134947642683983,9.45639385463437e-06,0.26631423830986023,False,0.7174126754254103,0.7190499507337809,200.0
300,0.033363040536642075,0.03429838642477989,9.353459972771816e-06,0.2442062497138977,False,0.7159154048264027,0.7305815121879181,200.0
320,0.029219305142760277,0.03015783242881298,9.38527773541864e-06,0.2347436398267746,False,0.7416937272250652,0.7250072691589594,200.0
340,0.03075721114873886,0.03176265209913254,1.0054408448922914e-05,0.2244039624929428,False,0.8209228000342846,0.7595106440285841,200.0
360,0.03192387521266937,0.03303366154432297,1.1097875358245801e-05,0.28037315607070923,False,0.7279689732789993,0.7635285001794497,200.0
380,0.02880832739174366,0.029798168689012527,9.898418284137733e-06,0.2322549968957901,False,0.7529861050248147,0.7672926261126995,200.0
400,0.0290041733533144,0.030039697885513306,1.0355250196880661e-05,0.19470980763435364,False,0.845150053396821,0.775368377233545,200.0
420,0.030266981571912766,0.031335584819316864,1.0686019777494948e-05,0.23780842125415802,False,0.7438815780282021,0.7806725788166127,200.0
440,0.02640707790851593,0.02746676281094551,1.059684745996492e-05,0.19224485754966736,False,0.8103148499578238,0.799782160460949,200.0
460,0.026645557954907417,0.027757829055190086,1.1122714568045922e-05,0.18353763222694397,False,0.8291342872828246,0.7944435717562834,200.0
480,0.036303479224443436,0.03769232705235481,1.3888486137147993e-05,0.21888750791549683,False,0.8751087003648281,0.8381859458684922,200.0
500,0.025449397042393684,0.026503097265958786,1.0537002708588261e-05,0.18728943169116974,False,0.793982946485281,0.8327419780443112,200.0
520,0.03680603951215744,0.03799324110150337,1.1872024515469093e-05,0.24970941245555878,False,0.7780139678418636,0.815701871563991,200.0
540,0.025724120438098907,0.02673174813389778,1.007628543447936e-05,0.19456399977207184,False,0.8065219886004925,0.7928396343092123,200.0
560,0.025018295273184776,0.02612358145415783,1.1052869012928568e-05,0.17005284130573273,False,0.8502450944781303,0.8115936836401622,200.0
580,0.025186561048030853,0.02633969485759735,1.1531340533110779e-05,0.17072264850139618,False,0.8647484949529172,0.8405051926771799,200.0
600,0.02540704421699047,0.026581119745969772,1.1740749869204592e-05,0.15896041691303253,False,0.8732233942300082,0.8627389945536852,200.0
620,0.029931506142020226,0.03117692470550537,1.2454180250642821e-05,0.175448477268219,False,0.9359469348341227,0.8913062746723494,200.0
640,0.025722648948431015,0.02691868133842945,1.1960324627580121e-05,0.17121675610542297,False,0.8170789303183555,0.8754164197941622,200.0
660,0.02537653036415577,0.026419812813401222,1.0432830094941892e-05,0.179412841796875,False,0.8373317525982857,0.8634525392502547,200.0
680,0.02398715168237686,0.02507937140762806,1.0922204637608957e-05,0.15604646503925323,False,0.9015278823375702,0.8519795217514038,200.0
700,0.023387664929032326,0.024553585797548294,1.1659210031211842e-05,0.15499620139598846,False,0.9132101557254791,0.8840232635537784,200.0
720,0.023302560672163963,0.02445240318775177,1.1498431376821827e-05,0.14708547294139862,False,0.921251305103302,0.9119964477221171,200.0
740,0.023488325998187065,0.02465372532606125,1.1653999536065385e-05,0.15353213250637054,False,0.9022862829118967,0.9122492479135593,200.0
760,0.024702489376068115,0.025973940268158913,1.2714511285594199e-05,0.1673511415719986,False,0.8884774689078331,0.9040050189743439,200.0
780,0.028301287442445755,0.02947014570236206,1.1688581253110897e-05,0.16974477469921112,False,0.9465679768174887,0.9124439095457396,200.0
800,0.02400434948503971,0.025060679763555527,1.056330802384764e-05,0.14948511123657227,False,0.8865290640741587,0.9071915032664934,200.0
820,0.02425449527800083,0.025341982021927834,1.0874861800402869e-05,0.1522810161113739,False,0.9047772507071495,0.9126247638662657,200.0
840,0.022470589727163315,0.02362033911049366,1.1497485502331983e-05,0.14866900444030762,False,0.9378264461904764,0.9097109203239283,200.0
860,0.02261686883866787,0.023783132433891296,1.1662626093311701e-05,0.14294582605361938,False,0.9428211875259876,0.9284749614745379,200.0
880,0.022353187203407288,0.02350497432053089,1.151787000708282e-05,0.14499586820602417,False,0.9201395661234856,0.9335957332799832,200.0
900,0.02203097939491272,0.023180387914180756,1.1494076716189738e-05,0.14492829144001007,False,0.9281792846918107,0.9303800127804279,200.0
920,0.02185165323317051,0.023023221641778946,1.1715686014213134e-05,0.1456286609172821,False,0.9508232758045196,0.9330473755399386,200.0
940,0.022043077275156975,0.02323496714234352,1.191890532936668e-05,0.14669325947761536,False,0.9542605810016394,0.94442104716599,200.0
960,0.02190694957971573,0.02309286780655384,1.1859186088258866e-05,0.14784012734889984,False,0.9394051298499108,0.9481629955520233,200.0
980,0.02186751179397106,0.023044880479574203,1.1773677215387579e-05,0.14583371579647064,False,0.9377681407034397,0.9438112838516632,200.0
1000,0.021489806473255157,0.022669117897748947,1.179310947918566e-05,0.14501915872097015,False,0.9461313652992249,0.9411015452841918,200.0
1020,0.02135932818055153,0.022531304508447647,1.1719768735929392e-05,0.14372149109840393,False,0.942909468472004,0.9422696581582228,200.0
1040,0.021671555936336517,0.022834617644548416,1.163061006081989e-05,0.1445145308971405,False,0.9381468759775162,0.9423959032495818,200.0
1060,0.02121133729815483,0.022383537143468857,1.1722007911885157e-05,0.14439965784549713,False,0.9466953904032708,0.942583911617597,200.0
1080,0.021122515201568604,0.022299733012914658,1.1772170182666741e-05,0.14426536858081818,False,0.9379748926758766,0.9409390530188879,200.0
1100,0.02120272070169449,0.02238169126212597,1.1789700693043415e-05,0.14488361775875092,False,0.9402553168535233,0.9416418666442236,200.0
1120,0.02107010781764984,0.022241119295358658,1.1710115359164774e-05,0.1451449990272522,False,0.9412385691404342,0.9398229262232781,200.0
1140,0.02099127322435379,0.02216990292072296,1.1786293725890573e-05,0.14612717926502228,False,0.9337839085757733,0.9384259315232436,200.0
1160,0.020827488973736763,0.022008780390024185,1.1812923730758484e-05,0.14536415040493011,False,0.9374642367660999,0.9374955714941025,200.0
1180,0.02076798863708973,0.021947083994746208,1.1790953976742458e-05,0.14444473385810852,False,0.9381570347249508,0.936468393355608,200.0
1200,0.020739533007144928,0.021919704973697662,1.1801716027548537e-05,0.14488790929317474,False,0.9323054531216621,0.9359755748709043,200.0
1220,0.020684950053691864,0.021870484575629234,1.1855344382638577e-05,0.14552877843379974,False,0.9341061268746853,0.9348562049070994,200.0
1240,0.020675167441368103,0.021853145211935043,1.1779768101405352e-05,0.14561454951763153,False,0.9346714397072793,0.9336943399012089,200.0
1260,0.020591285079717636,0.02177698165178299,1.1856968740175944e-05,0.1456393301486969,False,0.9344469456970692,0.934408170759678,200.0
1280,0.02056722342967987,0.021753551438450813,1.1863279723911546e-05,0.14593859016895294,False,0.9354535201787949,0.9348573018610478,200.0
1300,0.020542683079838753,0.02172958105802536,1.1868974979734048e-05,0.1458503156900406,False,0.9377089767307043,0.9358698142021895,200.0
1320,0.020511161535978317,0.021698784083127975,1.1876233656948898e-05,0.14577306807041168,False,0.936803846642375,0.9366554478506247,200.0
1340,0.020488198846578598,0.02167760394513607,1.189404611068312e-05,0.14620961248874664,False,0.9367947610020638,0.9371025281250477,200.0
1360,0.02047658897936344,0.021665871143341064,1.1892825568793342e-05,0.1458776742219925,False,0.9348761885464192,0.9361582653969527,200.0
1380,0.020462604239583015,0.02165251411497593,1.1899101082235575e-05,0.14597265422344208,False,0.9354938690066338,0.935721606185039,200.0
1400,0.020450565963983536,0.021641114726662636,1.1905494829989038e-05,0.14594951272010803,False,0.9358697426617146,0.9354132667382559,200.0
1420,0.020448656752705574,0.02163817174732685,1.1895155694219284e-05,0.14587582647800446,False,0.9349809953421354,0.9354482023368279,200.0
1440,0.020441414788365364,0.02163127064704895,1.1898567208845634e-05,0.1458195596933365,False,0.9357697290778161,0.9355401556938887,200.0
1460,0.02043793350458145,0.021627895534038544,1.1899617675226182e-05,0.14591211080551147,False,0.935639024630189,0.9354632496833801,200.0
1480,0.02043706737458706,0.021626964211463928,1.1898971933987923e-05,0.1459006369113922,False,0.9356184209734202,0.9356757248938083,200.0
1500,0.020436903461813927,0.02162681706249714,1.1899142009497155e-05,0.14589960873126984,False,0.9356194940805436,0.9356256465613842,200.0
