protocol,dataset,additional_prefix_drop,model,label,split,n_seeds,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,pooled_rmse_mean,pooled_rmse_sd,mean_target_mean,mean_target_sd,n_plants,n_observations
prefix_forecast_20260911,hypocotyl,0.0,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),train,3,0.383253192227806,0.0154301875556172,11.044910778421864,0.444680039989874,0.4570057767566974,0.0126780632078165,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),val,3,0.5699940176170785,0.0119463616189859,10.032166843470083,0.2102616680700112,0.7768100586381199,0.0032587759627651,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),test,3,1.280280372604376,0.0520901514254779,17.15472184328533,0.6979659124672223,1.458630832065494,0.0541173464312426,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.25,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),train,3,0.378181120189764,0.028494143988816,10.750572492554868,0.7376016302935855,0.4836887605375772,0.0345497196780045,3.51676109750427,0.0273966133690391,157,413
prefix_forecast_20260911,hypocotyl,0.25,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),val,3,0.6023392279964561,0.0366449883426051,10.601457985508487,0.6449692948750944,0.8271364965341769,0.0369312040812077,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),test,3,1.2988724901852071,0.1869627346642484,17.403841197534117,2.505149459808456,1.4836383594974265,0.2041159887820207,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),train,3,0.3238119580730174,0.0451363900998048,9.38507191934693,1.3541720974047569,0.4475507674954415,0.0404642215202421,3.4517600045984627,0.032778059391486,157,275
prefix_forecast_20260911,hypocotyl,0.5,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),val,3,0.6884800086667916,0.0947079999398289,12.117576855867824,1.666906018660229,0.9466228116758963,0.1157167610153426,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,phytoode_light,PhytoODE (+ light; prefix head; lambda=100),test,3,1.4224814852341068,0.1658230106057637,19.060101780887184,2.2218942600338667,1.654239993908493,0.2109762768423438,7.463136878964584,7.215341441852081e-09,136,263
prefix_forecast_20260911,hypocotyl,0.0,phytoode,PhytoODE (no light; prefix head; selected lambda=100),train,3,0.4016706129724244,0.032254625568798614,11.575679400883992,0.929540754841332,0.4805387256942171,0.03269911431470441,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,phytoode,PhytoODE (no light; prefix head; selected lambda=100),val,3,0.5806628359690463,0.004991053283455445,10.219943140100483,0.08784492067759116,0.7816217063505424,0.012738412314738634,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,phytoode,PhytoODE (no light; prefix head; selected lambda=100),test,3,1.150074636613034,0.1494800278224387,15.410070256705126,2.002911513205622,1.3004546776657522,0.16943590498770017,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.25,phytoode,PhytoODE (no light; prefix head; selected lambda=100),train,3,0.38929852114331526,0.025832484821566946,11.067834479452122,0.680340775713719,0.4960559587479785,0.013443887036572674,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,phytoode,PhytoODE (no light; prefix head; selected lambda=100),val,3,0.6166907039757353,0.0338923755449638,10.854050814477603,0.5965219950124507,0.8338217841319882,0.06281139931489882,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,phytoode,PhytoODE (no light; prefix head; selected lambda=100),test,3,1.3172819678138656,0.178766406878813,17.650513314567206,2.3953253043558322,1.5004707190065067,0.23402856852166287,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,phytoode,PhytoODE (no light; prefix head; selected lambda=100),train,3,0.3364832157685802,0.029770542655195804,9.753475488598495,0.9462384635272449,0.4548462023531723,0.024698574514190018,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,phytoode,PhytoODE (no light; prefix head; selected lambda=100),val,3,0.6767410374224031,0.09939998784469696,11.910965355861455,1.749487231580359,0.9241192766525682,0.14494331013565806,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,phytoode,PhytoODE (no light; prefix head; selected lambda=100),test,3,1.2243111264044015,0.16925052903156,16.404779201481855,2.267820259656977,1.4174205943645142,0.17363483862193793,7.463136878964584,7.215341441852081e-09,136,263
