model,lambda_ode,additional_prefix_drop,seed,split,rmse,relative_error,mean_target,pooled_rmse,n_plants,n_observations
phytoode,100.0,0.0,1,train,0.3650536016215117,10.520419766926665,3.4699528128063943,0.4431346569523667,157,551
phytoode,100.0,0.0,1,val,0.5805252707153559,10.21752192595747,5.6816640563358085,0.7920221556068646,128,128
phytoode,100.0,0.0,1,test,1.003878160559413,13.451155682339946,7.463136880330713,1.1381425014704567,136,263
phytoode,100.0,0.0,2,train,0.4140836347509694,11.933408236063904,3.4699528128063943,0.49477603071922377,157,551
phytoode,100.0,0.0,2,val,0.5857212498176377,10.30897363888456,5.6816640563358085,0.7854292638994926,128,128
phytoode,100.0,0.0,2,test,1.3026349505624146,17.454255113497144,7.463136880330713,1.4762130595678393,136,263
phytoode,100.0,0.0,3,train,0.42587460254479226,12.273210199661406,3.4699528128063943,0.5037054894110607,157,551
phytoode,100.0,0.0,3,val,0.5757419873741454,10.13333385545942,5.6816640563358085,0.76741369954527,128,128
phytoode,100.0,0.0,3,test,1.1437107987172743,15.324799974278285,7.463136880330713,1.2870084719589605,136,263
phytoode,100.0,0.25,1,train,0.38651330799402234,11.07295935272276,3.490605317710134,0.49763821575253697,157,413
phytoode,100.0,0.25,1,val,0.5893391731660813,10.372650806931787,5.681664061921765,0.8052853892858263,128,128
phytoode,100.0,0.25,1,test,1.2297405258883998,16.47752879796778,7.4631368633388,1.407364685802784,136,263
phytoode,100.0,0.25,2,train,0.3649715007214199,10.384945744005549,3.514428574959966,0.4818909584902661,157,413
phytoode,100.0,0.25,2,val,0.6546072086815257,11.521399403253204,5.6816640563358085,0.9058353494280303,128,128
phytoode,100.0,0.25,2,test,1.5229470993890994,20.406259778014594,7.463136880330713,1.7667231229996376,136,263
phytoode,100.0,0.25,3,train,0.41641075471450345,11.74559834162805,3.5452493998427075,0.5086387020011323,157,413
phytoode,100.0,0.25,3,val,0.6061257300795988,10.668102233247815,5.6816640563358085,0.7903446136821077,128,128
phytoode,100.0,0.25,3,test,1.1991582781640977,16.067751367719247,7.463136880330713,1.3273243482170987,136,263
phytoode,100.0,0.5,1,train,0.37046042040751215,10.824993899774158,3.4222690916734937,0.48271534973692365,157,275
phytoode,100.0,0.5,1,val,0.5622106613276993,9.895176068592608,5.6816640495378525,0.7722931865534594,128,128
phytoode,100.0,0.5,1,test,1.1569032305191673,15.501567883372468,7.463136885399204,1.344332865182496,136,263
phytoode,100.0,0.5,2,train,0.3240164917842684,9.402793160934642,3.4459600061229145,0.4461559161353061,157,275
phytoode,100.0,0.5,2,val,0.7274906827271916,12.804183343362991,5.6816640563358085,0.939038945610989,128,128
phytoode,100.0,0.5,2,test,1.0991507509238314,14.727731362139039,7.463136880330713,1.2922774308254708,136,263
phytoode,100.0,0.5,3,train,0.31497273511395996,9.032639405086684,3.4870509159989793,0.435667341187287,157,275
phytoode,100.0,0.5,3,val,0.7405217682123184,13.033536655628769,5.681664062321186,1.0610256977932566,128,128
phytoode,100.0,0.5,3,test,1.4168793977702057,18.985038358934062,7.463136871163837,1.6156514870855758,136,263
