additional_prefix_drop,model,seed,split,rmse,relative_error,mean_target,pooled_rmse,n_plants,n_observations
0.0,logistic,1,train,0.3779686302427684,11.39796587348246,3.316106000300616,0.4811250942735823,141,500
0.0,logistic,1,val,0.7529687561605815,13.841227772000964,5.4400430985157335,0.9207285639431122,116,116
0.0,logistic,1,test,1.683615577538662,23.40602531184967,7.193086203689206,1.919338073803685,120,232
0.0,rf,1,train,0.03213546361818588,0.9690722677523786,3.316106000300616,0.050190408982808396,141,500
0.0,rf,1,val,0.9437414886601063,17.348051689472783,5.4400430985157335,1.2676663871826561,116,116
0.0,rf,1,test,2.5886717456284956,35.988332022224505,7.193086203689206,2.8755195979307504,120,232
0.0,rf,2,train,0.032152664217185926,0.9695909664609992,3.316106000300616,0.050279788763960324,141,500
0.0,rf,2,val,0.9441156853036677,17.354930249748595,5.4400430985157335,1.2658868762914357,116,116
0.0,rf,2,test,2.5866663999264214,35.960453227986704,7.193086203689206,2.872440586964919,120,232
0.0,rf,3,train,0.03133850975569107,0.9450394454474655,3.316106000300616,0.05098454559571822,141,500
0.0,rf,3,val,0.9432187325074733,17.338442277503685,5.4400430985157335,1.2668710154343563,116,116
0.0,rf,3,test,2.5847052169535734,35.93318839454369,7.193086203689206,2.8706829869306536,120,232
0.0,lstm,1,train,0.3023563881891468,9.117814332887344,3.316106000300616,0.34703314114420597,141,500
0.0,lstm,1,val,0.8914514594877074,16.386845533097556,5.4400430985157335,1.1385908583235052,116,116
0.0,lstm,1,test,1.9288642902650834,26.81553140953327,7.193086203689206,2.251122146336754,120,232
0.0,lstm,2,train,0.32954038293810534,9.93757084086671,3.316106000300616,0.3939481031492636,141,500
0.0,lstm,2,val,0.6490605510455268,11.931165604600027,5.4400430985157335,0.826473980124861,116,116
0.0,lstm,2,test,1.2925787541606117,17.969738128505554,7.193086203689206,1.437911327522118,120,232
0.0,lstm,3,train,0.2995402634627228,9.03289169391957,3.316106000300616,0.3663612658543882,141,500
0.0,lstm,3,val,0.7727188601221503,14.204278277372097,5.4400430985157335,1.0576620487090527,116,116
0.0,lstm,3,test,1.3523406550081882,18.800562327677884,7.193086203689206,1.5789439080127614,120,232
0.0,logistic_pinn,1,train,0.34068899637938393,10.27376677188544,3.316106000300616,0.4352418458917346,141,500
0.0,logistic_pinn,1,val,0.5725702079645005,10.525104261043834,5.4400430985157335,0.7777743373713588,116,116
0.0,logistic_pinn,1,test,1.4466728526821933,20.11199103856451,7.193086203689206,1.661465053226686,120,232
0.0,logistic_pinn,2,train,0.33599361265156136,10.132173477600004,3.316106000300616,0.4290586261358429,141,500
0.0,logistic_pinn,2,val,0.5961313343972994,10.958209771535603,5.4400430985157335,0.8100378859979858,116,116
0.0,logistic_pinn,2,test,1.6147273364958736,22.448324554593945,7.193086203689206,1.8434952316493431,120,232
0.0,logistic_pinn,3,train,0.3191630234826233,9.624632730488415,3.316106000300616,0.4179125689277921,141,500
0.0,logistic_pinn,3,val,0.5446266205840068,10.011439444893428,5.4400430985157335,0.7708558692887583,116,116
0.0,logistic_pinn,3,test,1.465437685619965,20.37286422159612,7.193086203689206,1.69289918774732,120,232
0.0,latent_ode,1,train,0.3661366009782273,11.041160956405971,3.316106000300616,0.4487937421012135,141,500
0.0,latent_ode,1,val,0.5141740914806724,9.451654741870705,5.4400430985157335,0.7142910246534586,116,116
0.0,latent_ode,1,test,1.1245561545533198,15.63384787431791,7.193086203689206,1.2870617201136643,120,232
0.0,latent_ode,2,train,0.38226192230827416,11.527433751322208,3.316106000300616,0.468122068282663,141,500
0.0,latent_ode,2,val,0.5096622434168541,9.368717015420536,5.4400430985157335,0.6934244484676121,116,116
0.0,latent_ode,2,test,0.9609122221798649,13.358830896354755,7.193086203689206,1.1133306006135777,120,232
0.0,latent_ode,3,train,0.37918211463403817,11.43455952854535,3.316106000300616,0.46139634382715133,141,500
0.0,latent_ode,3,val,0.5307754681868285,9.756824690077286,5.4400430985157335,0.708960073151595,116,116
0.0,latent_ode,3,test,1.1282755050760485,15.685555172373382,7.193086203689206,1.3207632254247688,120,232
0.0,phytoode,1,train,0.3727042079326107,11.23921273622809,3.316106000300616,0.45057264509176514,141,500
0.0,phytoode,1,val,0.5319616154278146,9.778628694558606,5.4400430985157335,0.6929488314424767,116,116
0.0,phytoode,1,test,1.131783350755102,15.734322079646848,7.193086203689206,1.2969882326241537,120,232
0.0,phytoode,2,train,0.3836134552410468,11.568190377698148,3.316106000300616,0.4708273139614796,141,500
0.0,phytoode,2,val,0.5209081569116176,9.57544172864628,5.4400430985157335,0.6912062207490144,116,116
0.0,phytoode,2,test,1.3336237094105554,18.540354885870315,7.193086203689206,1.5293938760481174,120,232
0.0,phytoode,3,train,0.3837302707122685,11.571713047697573,3.316106000300616,0.4705927481592712,141,500
0.0,phytoode,3,val,0.5338771412459941,9.813840287251724,5.4400430985157335,0.727775774406157,116,116
0.0,phytoode,3,test,1.3868915996873148,19.280897801224775,7.193086203689206,1.5980005864594113,120,232
0.25,logistic,1,train,0.2849805412112471,8.647478637263296,3.295533335962494,0.43364455514693645,141,375
0.25,logistic,1,val,0.6511415518432042,11.969418992670523,5.4400430985157335,0.8130304959035264,116,116
0.25,logistic,1,test,1.4494246691453843,20.15024744736133,7.193086203689206,1.708757365316549,120,232
0.25,logistic,2,train,0.28689376594705307,8.568767650025254,3.3481333333412016,0.44337992162639417,141,375
