protocol,dataset,additional_prefix_drop,model,label,split,n_seeds,prefix_missing_fraction,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,pooled_rmse_mean,pooled_rmse_sd,mean_target_mean,mean_target_sd,n_plants,n_observations
four_genotypes_20260915,hypocotyl,0.0,logistic,Logi-ODE,train,1,0.11347517730496459,0.3779686302427684,0.0,11.39796587348246,0.0,0.4811250942735823,0.0,3.316106000300616,0.0,141,500
four_genotypes_20260915,hypocotyl,0.0,logistic,Logi-ODE,val,1,0.11347517730496459,0.7529687561605815,0.0,13.841227772000964,0.0,0.9207285639431122,0.0,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.0,logistic,Logi-ODE,test,1,0.11347517730496459,1.683615577538662,0.0,23.40602531184967,0.0,1.919338073803685,0.0,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.0,rf,RF,train,3,0.11347517730496459,0.03187554586368763,0.00046516642303648137,0.9612342265536146,0.014027489561380523,0.050484914447495643,0.00043499499942567765,3.316106000300616,0.0,141,500
four_genotypes_20260915,hypocotyl,0.0,rf,RF,val,3,0.11347517730496459,0.9436919688237491,0.0004505221862404421,17.34714140557502,0.008281592224211765,1.2668080929694827,0.0008914225599749798,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.0,rf,RF,test,3,0.11347517730496459,2.5866811208361633,0.0019833053121324352,35.96065788158497,0.027572383480060265,2.872881057275441,0.0024482058864406936,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.0,lstm,LSTM-NN,train,3,0.11347517730496459,0.31047901152999163,0.016567575247670826,9.362758955891207,0.4996093383676194,0.36911417004928593,0.023578322164940282,3.316106000300616,0.0,141,500
four_genotypes_20260915,hypocotyl,0.0,lstm,LSTM-NN,val,3,0.11347517730496459,0.7710769568851282,0.12120379535532788,14.174096471689893,2.227993292707502,1.007575629052473,0.16197445320058373,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.0,lstm,LSTM-NN,test,3,0.11347517730496459,1.524594566477961,0.3513806744492588,21.19527728857224,4.884977942695055,1.7559924606238777,0.4345544861643486,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.0,logistic_pinn,Logistic-PINN,train,3,0.11347517730496459,0.3319485441711895,0.011318737188670444,10.010190993324619,0.34132615747640016,0.4274043469851232,0.008782279866562916,3.316106000300616,0.0,141,500
four_genotypes_20260915,hypocotyl,0.0,logistic_pinn,Logistic-PINN,val,3,0.11347517730496459,0.5711093876486023,0.025783412947936096,10.49825115915762,0.47395604191023494,0.7862226975527009,0.020912644516316227,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.0,logistic_pinn,Logistic-PINN,test,3,0.11347517730496459,1.5089459582660105,0.09208856999624127,20.977726604918193,1.2802372637910353,1.7326198242077833,0.09729873167089231,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.0,latent_ode,Latent ODE,train,3,0.11347517730496459,0.3758602126401798,0.00856053570998426,11.33438474542451,0.25815024336400066,0.45943738473700924,0.00981194113220032,3.316106000300616,0.0,141,500
four_genotypes_20260915,hypocotyl,0.0,latent_ode,Latent ODE,val,3,0.11347517730496459,0.5182039343614516,0.011118533638915308,9.525732149122843,0.2043831903087107,0.705558515424222,0.010841192123536195,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.0,latent_ode,Latent ODE,test,3,0.11347517730496459,1.0712479606030778,0.09557164732348426,14.892744647682015,1.3286598355302237,1.2403851820506704,0.11131530830561755,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.0,phytoode,PhytoODE,train,3,0.11347517730496459,0.38001597796197534,0.006332447961516555,11.459705387207938,0.19096036016166182,0.4639975690708386,0.011626916752166865,3.316106000300616,0.0,141,500
four_genotypes_20260915,hypocotyl,0.0,phytoode,PhytoODE,val,3,0.11347517730496459,0.5289156378618087,0.007000508779066241,9.722636903485537,0.128684803636505,0.703976942199216,0.020628802287526095,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.0,phytoode,PhytoODE,test,3,0.11347517730496459,1.284099553284324,0.13457167680580656,17.851858255580645,1.870847547145857,1.474794231710561,0.15775915238648225,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.25,logistic,Logi-ODE,train,3,0.3351063829787234,0.29715305701561695,0.019450053390951783,8.903684837150223,0.5134384080708324,0.4453298191217662,0.012772335783293275,3.3365191121782196,0.03658833305470823,141,375
four_genotypes_20260915,hypocotyl,0.25,logistic,Logi-ODE,val,3,0.3351063829787234,0.672848856749535,0.023537978616920318,12.36844717155119,0.4326800025415687,0.8328659512616557,0.023177057033268535,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.25,logistic,Logi-ODE,test,3,0.3351063829787234,1.5778756098953017,0.22987283371190761,21.936003062024167,3.1957469603799553,1.820228340196049,0.21491117031623777,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.25,rf,RF,train,3,0.3351063829787234,0.05837546381436589,0.005765387965126684,1.7496199519425744,0.17130259787540114,0.09751972557553622,0.013078046383913508,3.3365191121782196,0.03658833305470823,141,375
four_genotypes_20260915,hypocotyl,0.25,rf,RF,val,3,0.3351063829787234,1.2015087261512252,0.03133974253489868,22.086382486180046,0.5760936442479561,1.6798897933706856,0.0499284474815853,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.25,rf,RF,test,3,0.3351063829787234,2.9183764128664262,0.07564392932301965,40.57196494280359,1.0516199470016554,3.3263275527340253,0.10397128897626855,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.25,lstm,LSTM-NN,train,3,0.3351063829787234,0.2436180788335377,0.0015658275578452508,7.302371351916462,0.1159874694359954,0.327390087117887,0.008605096705154141,3.3365191121782196,0.03658833305470823,141,375
four_genotypes_20260915,hypocotyl,0.25,lstm,LSTM-NN,val,3,0.3351063829787234,0.9713419371441692,0.07899286347028922,17.855408855293646,1.4520631921434908,1.3336668223480757,0.15523676088830188,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.25,lstm,LSTM-NN,test,3,0.3351063829787234,1.9578665868798641,0.4086940949742255,27.218728254302153,5.6817627844445076,2.2636874231985504,0.512355310484849,7.193086203689206,0.0,120,232
