epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,grad_norm,L_m,L_y
10,0.09934274107217789,0.17772234976291656,0.22545509040355682,0.22545509040355682,-1,1.0662630796432495,0.03833514451980591,0.040044475346803665
20,0.1093166321516037,0.12173323333263397,0.10872367769479752,0.16708938404917717,-1,0.5141744613647461,0.004079295322299004,0.008337303064763546
30,0.07792079448699951,0.0835353285074234,0.1021713986992836,0.14545005559921265,-1,0.8365836143493652,0.002287892857566476,0.003326643258333206
40,0.05917007476091385,0.06357806921005249,0.07077497243881226,0.12678128480911255,-1,0.1698584407567978,0.0013831473188474774,0.0030248425900936127
50,0.05066394805908203,0.05461305007338524,0.059816617518663406,0.11338835135102272,-1,0.3229660391807556,0.0012883723247796297,0.0026607289910316467
60,0.04294463247060776,0.046202052384614944,0.050740499049425125,0.10294704263408978,-1,0.09844252467155457,0.0011755363084375858,0.00208188290707767
70,0.04011589288711548,0.042834389954805374,0.04662623256444931,0.09490121262414115,-1,0.04114193469285965,0.0011205055052414536,0.0015979945892468095
80,0.03785419091582298,0.04124557226896286,0.04501308873295784,0.08866519713774323,-1,0.0886547863483429,0.0011433747131377459,0.002248006407171488
90,0.0364217646420002,0.039811886847019196,0.04412132129073143,0.08371587759918636,-1,0.16546742618083954,0.001082387287169695,0.0023077349178493023
100,0.03529803454875946,0.03857427462935448,0.04304013028740883,0.07964830286800861,-1,0.043279897421598434,0.0009846182074397802,0.002291623270139098
110,0.03435780107975006,0.03728969767689705,0.04303504154086113,0.06140629798173904,-1,0.0812237560749054,0.0009043393074534833,0.002027554903179407
120,0.03703998774290085,0.039981402456760406,0.04316619783639908,0.0548505499958992,-1,0.47491389513015747,0.0008750807028263807,0.0020663344766944647
130,0.03302973508834839,0.03593284264206886,0.046601105481386185,0.049293520674109456,-1,0.17592599987983704,0.0008007257711142302,0.002102383179590106
140,0.03783905506134033,0.04061079025268555,0.04365409165620804,0.046581432595849036,-1,0.7474357485771179,0.0007843299536034465,0.0019874044228345156
150,0.033880800008773804,0.036410003900527954,0.04276346042752266,0.044876116886734964,-1,0.46567824482917786,0.0007792236865498126,0.0017499808454886079
160,0.033003129065036774,0.03570645675063133,0.04164642468094826,0.04396670944988727,-1,0.31425026059150696,0.0007885905797593296,0.0019147366983816028
170,0.0326429083943367,0.03531794995069504,0.04407697916030884,0.043711784109473226,-1,0.3051201105117798,0.0008479614625684917,0.0018270794535055757
180,0.031772006303071976,0.034509528428316116,0.04355704039335251,0.04356617927551269,-1,0.23566970229148865,0.0008141807629726827,0.0019233409548178315
190,0.03173350170254707,0.03430534899234772,0.04371431842446327,0.04352547898888588,-1,0.28086918592453003,0.000835132785141468,0.0017367160180583596
200,0.03229200839996338,0.03502798080444336,0.0411418192088604,0.04333564788103104,-1,0.35748401284217834,0.0007614860078319907,0.0019744839519262314
210,0.03377995267510414,0.03713017702102661,0.05240548774600029,0.044272692501544954,-1,0.7381254434585571,0.0008205129415728152,0.002529712161049247
220,0.040039438754320145,0.042301833629608154,0.03986678272485733,0.04394275099039078,-1,0.8387050032615662,0.0007347692153416574,0.0015276260673999786
230,0.03293853998184204,0.035499416291713715,0.04668443650007248,0.04395108409225941,-1,0.4358503222465515,0.0007595212664455175,0.0018013576045632362
240,0.03198996186256409,0.03466879203915596,0.040923770517110825,0.04367805197834969,-1,0.17363454401493073,0.0007610713946633041,0.0019177580252289772
250,0.031323306262493134,0.034164510667324066,0.04323522001504898,0.04372522793710232,-1,0.10155501961708069,0.0008358790073543787,0.0020053242333233356
260,0.031126152724027634,0.033830657601356506,0.04195776581764221,0.04375636205077171,-1,0.1043146550655365,0.0008494652574881911,0.001855036593042314
270,0.03118005208671093,0.033823102712631226,0.042522113770246506,0.04360087551176548,-1,0.1669924110174179,0.0007957583875395358,0.0018472950905561447
280,0.031178979203104973,0.03367232903838158,0.04183650016784668,0.0434288214892149,-1,0.21571457386016846,0.0007904225494712591,0.0017029274022206664
290,0.031094050034880638,0.03362143784761429,0.042910896241664886,0.04334847927093506,-1,0.19805468618869781,0.0007500324281863868,0.0017773548606783152
