epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,grad_norm,L_m,L_y
10,0.46840864419937134,0.5597716569900513,336.68266938619496,336.68266938619496,10,0.16212120652198792,0.0005373033927753568,0.09082567691802979
20,0.46705353260040283,0.504945695400238,335.1061306202853,335.1061306202853,20,0.10782528668642044,0.00019304666784591973,0.03769912198185921
30,0.46582159399986267,0.478948175907135,334.8547643560517,334.8547643560517,30,0.05254880338907242,3.91658722946886e-05,0.013087405823171139
40,0.46752047538757324,0.4785597622394562,335.9552346009922,335.9552346009922,30,0.04380450397729874,0.00013282056897878647,0.010906467214226723
50,0.4670356214046478,0.4736262857913971,335.46477846307397,335.46477846307397,30,0.031300608068704605,7.717242260696366e-05,0.00651348102837801
60,0.46566447615623474,0.46941232681274414,334.24785192732094,334.24785192732094,60,0.025501808151602745,1.8132335753762163e-05,0.0037297317758202553
70,0.46535441279411316,0.46848538517951965,334.2455321847332,334.2455321847332,70,0.023807676509022713,9.110144674195908e-06,0.0031218731310218573
80,0.4624049961566925,0.46425628662109375,313.8575230967045,313.8575230967045,80,0.37212756276130676,0.0003323945275042206,0.001518882461823523
90,0.4611002206802368,0.4636291563510895,324.60277927960396,324.60277927960396,80,1.2920207977294922,1.3122294149070513e-05,0.0025158082135021687
100,0.3461047410964966,0.3506745994091034,228.99534439440967,228.99534439440967,100,0.6735734343528748,0.0017059097299352288,0.0028639626689255238
110,0.21991944313049316,0.2776848375797272,272.37463504445316,272.37463504445316,100,2.1880173683166504,0.055529817938804626,0.0022355865221470594
120,0.17719677090644836,0.18983720242977142,160.3283182462567,160.3283182462567,120,0.3596786856651306,0.006973037496209145,0.005667400546371937
130,0.12700536847114563,0.1379919797182083,183.66948997117817,183.66948997117817,120,0.3230886161327362,0.007699306588619947,0.0032873053569346666
140,0.0924990102648735,0.10905218124389648,139.64879049560668,139.64879049560668,140,0.2743748128414154,0.011930934153497219,0.004622238222509623
150,0.08248241990804672,0.0999612882733345,92.2826964018774,92.2826964018774,150,0.6204214692115784,0.009007836692035198,0.008471030741930008
160,0.0762370228767395,0.08518783748149872,71.36834032712817,71.36834032712817,160,0.6737837195396423,0.003762387204915285,0.005188429728150368
170,0.0723414495587349,0.0821044072508812,85.7777081210357,85.7777081210357,160,0.9523572325706482,0.0038271502126008272,0.00593580910935998
180,0.0614941269159317,0.06927341967821121,57.07410604946762,57.07410604946762,180,1.4079554080963135,0.005210665985941887,0.002568627241998911
