additional_prefix_drop,model,seed,split,rmse,relative_error,mean_target,pooled_rmse,n_plants,n_observations
0.0,logistic,1,train,0.4091968204333233,11.792575937145875,3.4699528128063943,0.5091033182067283,157,551
0.0,logistic,1,val,0.7686270023084225,13.528202207789837,5.6816640563358085,0.9504173378485885,128,128
0.0,logistic,1,test,1.7082820542668067,22.889598323849953,7.463136880330713,1.9515977794198303,136,263
0.0,rf,1,train,0.026941940678904566,0.7764353618721035,3.4699528128063943,0.044853338115156315,157,551
0.0,rf,1,val,1.0182935898695877,17.92245334769583,5.6816640563358085,1.3603482218720355,128,128
0.0,rf,1,test,2.6082390373154833,34.948294251302876,7.463136880330713,2.8933050679707977,136,263
0.0,rf,2,train,0.029254846044141653,0.8430906015831727,3.4699528128063943,0.04752210418621004,157,551
0.0,rf,2,val,1.01813937249167,17.91973904821616,5.6816640563358085,1.361963479807782,128,128
0.0,rf,2,test,2.6095469662018114,34.96581944087531,7.463136880330713,2.8946555284320317,136,263
0.0,rf,3,train,0.027741405837076943,0.7994750169135736,3.4699528128063943,0.04562093695115534,157,551
0.0,rf,3,val,1.0186137211912567,17.928087811798154,5.6816640563358085,1.360603754846384,128,128
0.0,rf,3,test,2.6074126492238325,34.93722131903724,7.463136880330713,2.893043195599478,136,263
0.0,lstm,1,train,0.27169806155200205,7.830021795952343,3.4699528128063943,0.3330627569301283,157,551
0.0,lstm,1,val,0.8840464083878325,15.559638859710539,5.6816640563358085,1.2241180650442087,128,128
0.0,lstm,1,test,2.2747935835040973,30.480394772061246,7.463136880330713,2.6144670931480296,136,263
0.0,lstm,2,train,0.3065174421021196,8.833475803211787,3.4699528128063943,0.3619595941613902,157,551
0.0,lstm,2,val,0.857223463153001,15.087542217443906,5.6816640563358085,1.122987281320756,128,128
0.0,lstm,2,test,1.7015051800962606,22.79879368929466,7.463136880330713,1.9722794670713932,136,263
0.0,lstm,3,train,0.3071524906906993,8.851777164147759,3.4699528128063943,0.3638934748159688,157,551
0.0,lstm,3,val,0.8723420636455995,15.353636804217992,5.6816640563358085,1.1745856781754964,128,128
0.0,lstm,3,test,2.0317417774316593,27.22369708622612,7.463136880330713,2.3266183095937607,136,263
0.0,logistic_pinn,1,train,0.3744036641655676,10.789877683171174,3.4699528128063943,0.47399848793834565,157,551
0.0,logistic_pinn,1,val,0.6339017598773353,11.156973618854689,5.6816640563358085,0.8394530833241242,128,128
0.0,logistic_pinn,1,test,1.2688065487362608,17.000981880423936,7.463136880330713,1.4677409222445332,136,263
0.0,logistic_pinn,2,train,0.3780022591933307,10.893585002028132,3.4699528128063943,0.4722826585292153,157,551
0.0,logistic_pinn,2,val,0.6284737247130834,11.061437608445924,5.6816640563358085,0.8477197304503608,128,128
0.0,logistic_pinn,2,test,1.428777649788817,19.144465292528626,7.463136880330713,1.6657762035874624,136,263
0.0,logistic_pinn,3,train,0.3479895782831751,10.028654481953359,3.4699528128063943,0.438720394425132,157,551
0.0,logistic_pinn,3,val,0.5853080454485025,10.301701044710773,5.6816640563358085,0.8093964613665051,128,128
0.0,logistic_pinn,3,test,1.3109869012695357,17.56616450014035,7.463136880330713,1.5016684646954763,136,263
0.0,latent_ode,1,train,0.38480990537386056,11.089773438810477,3.4699528128063943,0.46103514456630557,157,551
0.0,latent_ode,1,val,0.6219361504386179,10.946373179967878,5.6816640563358085,0.8164994222913183,128,128
0.0,latent_ode,1,test,1.0365040203357385,13.888315824241028,7.463136880330713,1.1848148608619546,136,263
0.0,latent_ode,2,train,0.4095362835099947,11.80235886777878,3.4699528128063943,0.4845113825519359,157,551
0.0,latent_ode,2,val,0.5830196534504648,10.261424252993638,5.6816640563358085,0.7754284233721495,128,128
0.0,latent_ode,2,test,1.3203571259116118,17.691717934203332,7.463136880330713,1.512514535354681,136,263
0.0,latent_ode,3,train,0.40571020144427966,11.692095637351143,3.4699528128063943,0.4773052081919531,157,551
0.0,latent_ode,3,val,0.675034149299143,11.880923310599304,5.6816640563358085,0.860564027743815,128,128
0.0,latent_ode,3,test,1.0719012389497606,14.362609933830688,7.463136880330713,1.2118929074650384,136,263
0.0,latent_ode_light,1,train,0.3567611092634429,10.281439792113634,3.4699528128063943,0.42689370444555413,157,551
0.0,latent_ode_light,1,val,0.617054351392202,10.860451186023655,5.6816640563358085,0.8529333423576749,128,128
0.0,latent_ode_light,1,test,1.4165239151494753,18.980275155916814,7.463136880330713,1.5913809818794242,136,263
0.0,latent_ode_light,2,train,0.38444781789973803,11.07933849938461,3.4699528128063943,0.44592276835157824,157,551
0.0,latent_ode_light,2,val,0.6065936629120261,10.676338074504665,5.6816640563358085,0.8379164995807963,128,128
0.0,latent_ode_light,2,test,1.5034427582544954,20.144917376724752,7.463136880330713,1.7056508153404795,136,263
0.0,latent_ode_light,3,train,0.3899056353511129,11.236626443797917,3.4699528128063943,0.4628365343225063,157,551
0.0,latent_ode_light,3,val,0.5872262590839528,10.335462520511356,5.6816640563358085,0.8053029732146215,128,128
0.0,latent_ode_light,3,test,1.3974760796140593,18.725049560556005,7.463136880330713,1.590115552727599,136,263
0.0,phytoode,1,train,0.4246291995936637,12.237319136632184,3.4699528128063943,0.5030828923909731,157,551
0.0,phytoode,1,val,0.5579639960411005,9.82043272021507,5.6816640563358085,0.7755361864562941,128,128
0.0,phytoode,1,test,1.8005604950622338,24.126054820294893,7.463136880330713,2.021568501342182,136,263
0.0,phytoode,2,train,0.3230570377979457,9.310127694118895,3.4699528128063943,0.4161564051703055,157,551
0.0,phytoode,2,val,0.572062259453116,10.068568887229274,5.6816640563358085,0.7902743993348704,128,128
0.0,phytoode,2,test,1.6550153109285786,22.1758670310659,7.463136880330713,1.8518253147189143,136,263
0.0,phytoode,3,train,0.3215667001181366,9.267177897386537,3.4699528128063943,0.41782290836323066,157,551
0.0,phytoode,3,val,0.5612151070919353,9.877653826894361,5.6816640563358085,0.7860493219844835,128,128
0.0,phytoode,3,test,1.6528641436983733,22.14704312947199,7.463136880330713,1.8544361204336572,136,263
0.25,logistic,1,train,0.323583879289297,9.270136547593719,3.490605317710134,0.4713059524253023,157,413
0.25,logistic,1,val,0.795274405138527,13.997209206162278,5.681664061921765,1.0210127944291332,128,128
0.25,logistic,1,test,1.6703051617765432,22.380738721027488,7.4631368633388,1.9460627674010025,136,263
0.25,logistic,2,train,0.33339058792685317,9.486338413653801,3.514428574959966,0.48282894125892806,157,413
0.25,logistic,2,val,0.6726352125203869,11.838700877963905,5.6816640563358085,0.8411617179549863,128,128
0.25,logistic,2,test,1.6821964730665844,22.540072626834114,7.463136880330713,1.8730890432548954,136,263
0.25,logistic,3,train,0.333892886447719,9.418036611543684,3.5452493998427075,0.4853475596151944,157,413
0.25,logistic,3,val,0.7958092869394425,14.006623394989532,5.6816640563358085,0.9827236703006179,128,128
0.25,logistic,3,test,1.6312927568450935,21.85800398682767,7.463136880330713,1.8971749614423452,136,263
0.25,rf,1,train,0.04391619193467383,1.2581253948092652,3.490605317710134,0.07661173646856716,157,413
