additional_prefix_drop,seed,split,phytoode,latent_ode_light,difference
0.0,1,val,0.5579639960411005,0.617054351392202,-0.05909035535110152
0.0,1,test,1.8005604950622338,1.4165239151494753,0.3840365799127585
0.0,2,val,0.572062259453116,0.6065936629120261,-0.03453140345891015
0.0,2,test,1.6550153109285786,1.5034427582544954,0.1515725526740832
0.0,3,val,0.5612151070919353,0.5872262590839528,-0.026011151992017423
0.0,3,test,1.6528641436983733,1.3974760796140593,0.255388064084314
0.25,1,val,0.5338466980902012,0.5862222718860721,-0.05237557379587088
0.25,1,test,1.6650164697210836,1.2191412118094467,0.44587525791163696
0.25,2,val,0.5603661027417983,0.682933302012505,-0.1225671992707067
0.25,2,test,1.6573187787902337,1.7912397634496564,-0.1339209846594227
0.25,3,val,0.5466353651056999,0.5946524353614078,-0.048017070255707894
0.25,3,test,1.78233363057417,1.5309402923548892,0.2513933382192808
0.5,1,val,0.5436562832363415,0.8057839120826684,-0.2621276288463269
0.5,1,test,1.5452070321941922,2.058880814558207,-0.5136737823640147
0.5,2,val,0.5465178442262114,0.7665079623593484,-0.21999011813313696
0.5,2,test,1.4419402471703926,1.8238757642994563,-0.3819355171290637
0.5,3,val,0.5927393371462822,0.7871659494638443,-0.1944266123175621
0.5,3,test,1.737213342063508,2.1481934178113806,-0.41098007574787254
