epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse
10,0.09800764918327332,0.09800764918327332,0.14536917209625244,0.14536917209625244,-1,
20,0.09588377177715302,0.09588377177715302,0.1139688715338707,0.12966902181506157,-1,
30,0.0784744992852211,0.0784744992852211,0.10905185341835022,0.12279663234949112,-1,
40,0.058720048516988754,0.058720048516988754,0.07360394299030304,0.1104984600096941,-1,
50,0.05201135575771332,0.05201135575771332,0.07098633795976639,0.10259603559970856,-1,
60,0.04716026782989502,0.04716026782989502,0.059205494821071625,0.09536427880326907,-1,
70,0.03751054406166077,0.03751054406166077,0.04951519891619682,0.08881441024797303,-1,
80,0.036303676664829254,0.036303676664829254,0.06074586883187294,0.08530584257096052,-1,
90,0.03499016538262367,0.03499016538262367,0.05686141178011894,0.08214535026086701,-1,
100,0.03289768844842911,0.03289768844842911,0.055821098387241364,0.07951292507350445,-1,
110,0.031597770750522614,0.031597770750522614,0.04961127042770386,0.06993713490664959,-1,
120,0.031253017485141754,0.031253017485141754,0.04755944758653641,0.06329619251191616,-1,
130,0.031652964651584625,0.031652964651584625,0.047938279807567596,0.0571848351508379,-1,
140,0.032064031809568405,0.032064031809568405,0.04260263219475746,0.05408470407128334,-1,
150,0.0333237424492836,0.0333237424492836,0.05412454903125763,0.052398525178432465,-1,
160,0.03252578526735306,0.03252578526735306,0.04251165688037872,0.05072914138436317,-1,
170,0.03240426257252693,0.03240426257252693,0.05340562388300896,0.05111818388104439,-1,
180,0.03185280039906502,0.03185280039906502,0.041734013706445694,0.049216998368501665,-1,
190,0.03198719397187233,0.03198719397187233,0.05241948738694191,0.04877280592918396,-1,
200,0.03146730363368988,0.03146730363368988,0.04178754985332489,0.04736945107579231,-1,
210,0.031222045421600342,0.031222045421600342,0.051091309636831284,0.04751745499670505,-1,
220,0.030708812177181244,0.030708812177181244,0.04235287383198738,0.046996797621250155,-1,
230,0.030566606670618057,0.030566606670618057,0.049643609672784805,0.047167330607771875,-1,
240,0.03045158088207245,0.03045158088207245,0.042320262640714645,0.04713909365236759,-1,
250,0.030284887179732323,0.030284887179732323,0.04845258966088295,0.04657189771533012,-1,
260,0.030013367533683777,0.030013367533683777,0.04327310621738434,0.046648042649030684,-1,
270,0.02988462708890438,0.02988462708890438,0.04603535309433937,0.04591101557016373,-1,
280,0.029859116300940514,0.029859116300940514,0.04430132731795311,0.046167746931314466,-1,
290,0.029845891520380974,0.029845891520380974,0.04484698176383972,0.04541049636900425,-1,
300,0.02987116575241089,0.02987116575241089,0.044737935066223145,0.045705534890294074,-1,
310,0.030023302882909775,0.030023302882909775,0.04312517121434212,0.044908921048045156,-1,
320,0.030407791957259178,0.030407791957259178,0.046974748373031616,0.04537110850214958,-1,
330,0.02975602075457573,0.02975602075457573,0.042022235691547394,0.04460897110402584,-1,
340,0.029738985002040863,0.029738985002040863,0.042944248765707016,0.04467136971652508,-1,
350,0.030090149492025375,0.030090149492025375,0.04601506143808365,0.044427616894245146,-1,
360,0.029452823102474213,0.029452823102474213,0.042260803282260895,0.044326386600732806,-1,
370,0.030199557542800903,0.030199557542800903,0.04057088866829872,0.043779940158128736,-1,
380,0.029851185157895088,0.029851185157895088,0.045755110681056976,0.043925318494439126,-1,
390,0.029275646433234215,0.029275646433234215,0.04284095764160156,0.04372471608221531,-1,
400,0.029304509982466698,0.029304509982466698,0.04120063781738281,0.043370986357331276,-1,
410,0.029584703966975212,0.029584703966975212,0.0409441813826561,0.043152887374162674,-1,
420,0.02954195998609066,0.02954195998609066,0.04401959851384163,0.04285737238824368,-1,
430,0.029199352487921715,0.029199352487921715,0.040663789957761765,0.042721527814865115,-1,
440,0.029145022854208946,0.029145022854208946,0.040838710963726044,0.04251097403466701,-1,
450,0.029057757928967476,0.029057757928967476,0.041114065796136856,0.042020874470472334,-1,
460,0.029067479074001312,0.029067479074001312,0.04030553624033928,0.04182534776628018,-1,
470,0.02993527613580227,0.02993527613580227,0.038717273622751236,0.04163998626172542,-1,
480,0.029230289161205292,0.029230289161205292,0.04178458824753761,0.04124293401837349,-1,
490,0.0290067158639431,0.0290067158639431,0.04007084667682648,0.04096592292189598,-1,
500,0.028930213302373886,0.028930213302373886,0.0401267446577549,0.04085853360593319,-1,
510,0.028903912752866745,0.028903912752866745,0.04021267592906952,0.04078538306057453,-1,
520,0.02887965366244316,0.02887965366244316,0.03979725390672684,0.04036314859986305,-1,
530,0.02887219749391079,0.02887219749391079,0.03909634053707123,0.040206403657794,-1,
540,0.028933601453900337,0.028933601453900337,0.03836479410529137,0.03995901197195053,-1,
550,0.029020309448242188,0.029020309448242188,0.03794223070144653,0.0396418284624815,-1,
560,0.028791438788175583,0.028791438788175583,0.03891867399215698,0.03950314223766327,-1,
570,0.028829537332057953,0.028829537332057953,0.039300426840782166,0.03956145755946636,-1,
580,0.028804844245314598,0.028804844245314598,0.039009105414152145,0.039283909276127814,-1,
590,0.028772305697202682,0.028772305697202682,0.038738660514354706,0.03915069065988064,-1,
600,0.028817882761359215,0.028817882761359215,0.03885954990983009,0.03902397118508816,600,0.03902397118508816
610,0.028792083263397217,0.028792083263397217,0.03855518624186516,0.03885822221636772,610,0.03885822221636772
620,0.028672723099589348,0.028672723099589348,0.03768676146864891,0.03864717297255993,620,0.03864717297255993
630,0.028689872473478317,0.028689872473478317,0.037312716245651245,0.03846881054341793,630,0.03846881054341793
640,0.028757719323039055,0.028757719323039055,0.03706255555152893,0.03833858668804169,640,0.03833858668804169
650,0.02868332713842392,0.02868332713842392,0.037195056676864624,0.03826386928558349,650,0.03826386928558349
660,0.02861464023590088,0.02861464023590088,0.037565045058727264,0.038128506392240524,660,0.038128506392240524
670,0.02864202670753002,0.02864202670753002,0.037639450281858444,0.03796240873634815,670,0.03796240873634815
680,0.02862974815070629,0.02862974815070629,0.03757230192422867,0.0378187283873558,680,0.0378187283873558
690,0.028589598834514618,0.028589598834514618,0.03747229278087616,0.03769209161400795,690,0.03769209161400795
700,0.028556421399116516,0.028556421399116516,0.03743669390678406,0.03754980601370335,700,0.03754980601370335
710,0.028584539890289307,0.028584539890289307,0.037538472563028336,0.03744813464581966,710,0.03744813464581966
720,0.028612837195396423,0.028612837195396423,0.0376075878739357,0.037440217286348346,720,0.037440217286348346
730,0.028524547815322876,0.028524547815322876,0.037608593702316284,0.037469805032014844,720,0.037440217286348346
740,0.028474316000938416,0.028474316000938416,0.03773501142859459,0.037537050619721415,720,0.037440217286348346
750,0.02846851758658886,0.02846851758658886,0.03792346268892288,0.03760989122092724,720,0.037440217286348346
760,0.028456658124923706,0.028456658124923706,0.0381600446999073,0.03766939118504524,720,0.037440217286348346
770,0.028630176559090614,0.028630176559090614,0.038221973925828934,0.03772764354944229,720,0.037440217286348346
780,0.02845204807817936,0.02845204807817936,0.0388849638402462,0.03785890974104404,720,0.037440217286348346
790,0.028419461101293564,0.028419461101293564,0.03873556852340698,0.03798523731529713,720,0.037440217286348346
800,0.02839539386332035,0.02839539386332035,0.039398353546857834,0.038181403279304506,720,0.037440217286348346
810,0.028375813737511635,0.028375813737511635,0.03963442146778107,0.038390998169779776,720,0.037440217286348346
820,0.028358902782201767,0.028358902782201767,0.0403362438082695,0.03866386376321316,720,0.037440217286348346
830,0.028347304090857506,0.028347304090857506,0.041098665446043015,0.03901287093758583,720,0.037440217286348346
840,0.02838587388396263,0.02838587388396263,0.04246131330728531,0.0394855011254549,720,0.037440217286348346
850,0.02831990458071232,0.02831990458071232,0.04159551113843918,0.039852705970406535,720,0.037440217286348346
860,0.02831222116947174,0.02831222116947174,0.0424695648252964,0.04028365798294544,720,0.037440217286348346
870,0.028301868587732315,0.028301868587732315,0.0424615703523159,0.04070761762559414,720,0.037440217286348346
880,0.028285926207900047,0.028285926207900047,0.04355033114552498,0.04117415435612202,720,0.037440217286348346
890,0.028271708637475967,0.028271708637475967,0.04409358277916908,0.04170995578169823,720,0.037440217286348346
900,0.028259197250008583,0.028259197250008583,0.045041535049676895,0.04227427393198013,720,0.037440217286348346
910,0.02824721857905388,0.02824721857905388,0.04577518254518509,0.04288835003972054,720,0.037440217286348346
920,0.028235480189323425,0.028235480189323425,0.04673730209469795,0.04352845586836338,720,0.037440217286348346
930,0.028224322944879532,0.028224322944879532,0.04767255485057831,0.04418584480881691,720,0.037440217286348346
940,0.028213415294885635,0.028213415294885635,0.04857400804758072,0.044797114282846454,720,0.037440217286348346
950,0.02820431813597679,0.02820431813597679,0.04921726509928703,0.045559289678931233,720,0.037440217286348346
960,0.028193648904561996,0.028193648904561996,0.05025523528456688,0.04633785672485828,720,0.037440217286348346
970,0.02818329632282257,0.02818329632282257,0.05144960805773735,0.04723666049540043,720,0.037440217286348346
980,0.028172628954052925,0.028172628954052925,0.052185844630002975,0.04810021184384823,720,0.037440217286348346
990,0.028163891285657883,0.028163891285657883,0.053370703011751175,0.049027923867106436,720,0.037440217286348346
1000,0.028154032304883003,0.028154032304883003,0.054052919149398804,0.04992906227707863,720,0.037440217286348346
1010,0.028144696727395058,0.028144696727395058,0.055185966193675995,0.05087014064192772,720,0.037440217286348346
1020,0.02813645265996456,0.02813645265996456,0.05593303218483925,0.05178971365094185,720,0.037440217286348346
1030,0.02812742255628109,0.02812742255628109,0.057133749127388,0.05273583307862282,720,0.037440217286348346
1040,0.02811908721923828,0.02811908721923828,0.05799932777881622,0.05367836505174637,720,0.037440217286348346
1050,0.028111185878515244,0.028111185878515244,0.058946121484041214,0.05465125069022179,720,0.037440217286348346
1060,0.028103522956371307,0.028103522956371307,0.059898778796195984,0.0556156050413847,720,0.037440217286348346
1070,0.02809615433216095,0.02809615433216095,0.06084428355097771,0.05655507259070873,720,0.037440217286348346
1080,0.028089093044400215,0.028089093044400215,0.06173914298415184,0.05751040242612362,720,0.037440217286348346
1090,0.02808232791721821,0.02808232791721821,0.06261231750249863,0.05843456387519837,720,0.037440217286348346
1100,0.028075801208615303,0.028075801208615303,0.06348468363285065,0.05937774032354355,720,0.037440217286348346
1110,0.02806955575942993,0.02806955575942993,0.0643247589468956,0.06029161959886551,720,0.037440217286348346
1120,0.028063612058758736,0.028063612058758736,0.0651446059346199,0.06121277697384357,720,0.037440217286348346
1130,0.028057942166924477,0.028057942166924477,0.06593933701515198,0.062093335762619974,720,0.037440217286348346
1140,0.02805253677070141,0.02805253677070141,0.06670292466878891,0.06296369545161724,720,0.037440217286348346
1150,0.02804739773273468,0.02804739773273468,0.06744492799043655,0.06381357610225677,720,0.037440217286348346
1160,0.028042517602443695,0.028042517602443695,0.06813667714595795,0.06463736593723297,720,0.037440217286348346
1170,0.028037836775183678,0.028037836775183678,0.06884196400642395,0.06543713398277759,720,0.037440217286348346
1180,0.028033403679728508,0.028033403679728508,0.06950293481349945,0.06621351316571236,720,0.037440217286348346
1190,0.028029223904013634,0.028029223904013634,0.07012899219989777,0.06696518063545227,720,0.037440217286348346
1200,0.028025289997458458,0.028025289997458458,0.07072840631008148,0.06768955290317535,720,0.037440217286348346
1210,0.028021594509482384,0.028021594509482384,0.07129698991775513,0.0683867760002613,720,0.037440217286348346
1220,0.028018126264214516,0.028018126264214516,0.07183414697647095,0.0690557301044464,720,0.037440217286348346
1230,0.028014877811074257,0.028014877811074257,0.0723450556397438,0.0696963019669056,720,0.037440217286348346
1240,0.02801183983683586,0.02801183983683586,0.07282660901546478,0.07030867040157318,720,0.037440217286348346
1250,0.028009014204144478,0.028009014204144478,0.073277048766613,0.07089188247919083,720,0.037440217286348346
