epoch,selection_eligible,train_objective,val_rmse,val_rmse_smooth,seconds
10,True,0.18125422298908234,149.39109684808554,149.39109684808554,1.7404213100671768
20,True,0.09838945418596268,130.54390509656668,130.54390509656668,3.1381218768656254
30,True,0.0729093849658966,198.0715857630408,198.0715857630408,4.570077747106552
40,True,0.0639418438076973,202.5355263731575,202.5355263731575,5.998556740581989
50,True,0.05989139899611473,198.16445366012334,198.16445366012334,7.339543055742979
60,True,0.055849555879831314,205.42718976695002,205.42718976695002,8.70039627701044
70,True,0.0528116412460804,226.18590153986693,226.18590153986693,10.156549379229546
80,True,0.051962535828351974,247.04940572934868,247.04940572934868,11.540852680802345
90,True,0.05143343284726143,285.7940331406224,285.7940331406224,12.951639607548714
100,True,0.05100906640291214,327.8278991542625,327.8278991542625,14.380123477429152
110,True,0.05039064958691597,336.437819252826,336.437819252826,15.794576168060303
120,True,0.050882380455732346,336.92115977584007,336.92115977584007,17.20352030172944
130,True,0.06480470299720764,336.87653731167916,336.87653731167916,18.599997334182262
140,True,0.05667395889759064,319.3195525036168,319.3195525036168,20.040481254458427
150,True,0.05206253379583359,316.30391320399406,316.30391320399406,21.534418158233166
160,True,0.05059865862131119,332.4962116928172,332.4962116928172,22.929682932794094
170,True,0.04986153915524483,335.40102463869454,335.40102463869454,24.28657729551196
180,True,0.04919112101197243,336.34880890521526,336.34880890521526,25.671441305428743
190,True,0.04857457056641579,336.6624433159912,336.6624433159912,27.062532052397728
200,True,0.047175176441669464,336.722808752321,336.722808752321,28.447571758180857
210,True,0.053227368742227554,336.6213134979737,336.6213134979737,29.971679646521807
220,True,0.048172686249017715,336.2891472110188,336.2891472110188,31.403240788728
230,True,0.046697020530700684,336.4523111278689,336.4523111278689,32.814763844013214
240,True,0.04515386372804642,336.54512689590456,336.54512689590456,34.20215421542525
250,True,0.04483162239193916,336.59170419932485,336.59170419932485,35.64367442205548
260,True,0.044256456196308136,336.64607479525927,336.64607479525927,37.125342052429914
270,True,0.04432499408721924,336.5225550185895,336.5225550185895,38.655375856906176
280,True,0.04383054003119469,336.53019192396283,336.53019192396283,40.16446787491441
290,True,0.044332411140203476,336.3695823304117,336.3695823304117,41.709237549453974
300,True,0.04436677694320679,336.356810713917,336.356810713917,43.22338589653373
310,True,0.04411262646317482,336.34820942117574,336.34820942117574,44.657299380749464
320,True,0.04491371661424637,336.00361035653117,336.00361035653117,46.08229038864374
330,True,0.04345230385661125,336.07518353794813,336.07518353794813,47.48433493450284
340,True,0.041896261274814606,336.08873709014654,336.08873709014654,48.933920092880726
350,True,0.04121650382876396,336.30890411980033,336.30890411980033,50.40423486381769
360,True,0.040770821273326874,336.4720680366504,336.4720680366504,51.913658265024424
370,True,0.04085506126284599,336.44480454511285,336.44480454511285,53.49737632647157
380,True,0.05051024630665779,336.3656726518929,336.3656726518929,55.002856239676476
390,True,0.04066764563322067,336.28320449967026,336.28320449967026,56.458796575665474
400,True,0.0403965599834919,336.485517330755,336.485517330755,57.9187519736588
410,True,0.04038846492767334,336.5163516620064,336.5163516620064,59.32357747107744
420,True,0.04029233753681183,336.57061799984695,336.57061799984695,60.74680055305362
430,True,0.0402180552482605,336.65342499087456,336.65342499087456,62.25122640654445
440,True,0.040080998092889786,336.70049752024056,336.70049752024056,63.78385378792882
450,True,0.0399935320019722,336.75041108266356,336.75041108266356,65.38598802685738
460,True,0.03978961333632469,336.7809587041569,336.7809587041569,66.96299624443054
470,True,0.039829593151807785,336.7604198596716,336.7604198596716,68.46923020109534
480,True,0.03975411877036095,336.779029929421,336.779029929421,69.98458444699645
490,True,0.039879973977804184,336.75937727873327,336.75937727873327,71.49040128663182
500,True,0.040135838091373444,336.7498637276709,336.7498637276709,73.0168563015759
510,True,0.03984769433736801,336.76070656942966,336.76070656942966,74.48974959179759
520,True,0.0408736877143383,336.7819491560483,336.7819491560483,75.86317078396678
530,True,0.040506795048713684,336.7349808847761,336.7349808847761,77.24451288208365
540,True,0.04113646224141121,336.77538089613677,336.77538089613677,78.6795456930995
550,True,0.040942203253507614,336.8676493091798,336.8676493091798,80.21056081354618
560,True,0.041637733578681946,336.9195959044325,336.9195959044325,81.80571695044637
570,True,0.04026627913117409,336.9520983651853,336.9520983651853,83.46325776726007
580,True,0.039719775319099426,336.9748266296411,336.9748266296411,85.07728236541152
590,True,0.04012790322303772,336.92637268053176,336.92637268053176,86.6279871687293
600,True,0.04283970221877098,336.7583346977949,336.7583346977949,88.109648976475
610,True,0.04124211147427559,336.6657274459469,336.6657274459469,89.5688688158989
