epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse,best_epoch
20,0.07697787135839462,7.369800641754409e-06,0.1750531643629074,0.07873208820819855,1.1598993400186302,1.1598993400186302,-1
40,0.06874015182256699,1.371995222143596e-05,0.14732593297958374,0.07022027671337128,1.0979133328050374,1.128906336411834,-1
60,0.0615934394299984,8.894267011783086e-06,0.12333636730909348,0.06283125281333923,0.9842901216372848,1.080700931486984,-1
80,0.055916573852300644,1.0822538570209872e-05,0.09334101527929306,0.056855395436286926,0.9135487245693803,0.9985840596705675,-1
100,0.05110746622085571,9.78570278675761e-06,0.061900265514850616,0.05173135921359062,0.8458354872614146,0.9145581111560265,-1
120,0.04694506153464317,1.0258316251565702e-05,0.04441548511385918,0.047394346445798874,0.7798154344409705,0.8463998820905885,-1
140,0.042829062789678574,1.0521486728976015e-05,0.048305150121450424,0.04331737384200096,0.7154780042171479,0.7803763086398443,-1
160,0.03830203041434288,1.1327167158015072e-05,0.05354210361838341,0.03884311392903328,0.6427957254350186,0.7126963880310456,-1
180,0.03392590209841728,1.3536880032916088e-05,0.061017222702503204,0.03454284369945526,0.5738832659721375,0.644052331874768,-1
200,0.028931427747011185,1.674089435255155e-05,0.0718243345618248,0.029658041894435883,0.47958747974783184,0.5654221570516625,200
220,0.02733842097222805,1.911961953737773e-05,0.07751676440238953,0.028123147785663605,0.44373338077217345,0.49906804216404754,220
240,0.026168009266257286,2.2882801204104908e-05,0.0796937495470047,0.026976389810442924,0.44733635801821947,0.4568857395127416,240
260,0.024526216089725494,2.530413621570915e-05,0.07880445569753647,0.025326913222670555,0.4260404830351472,0.4390367406085134,260
280,0.024180924519896507,2.8294454750721343e-05,0.07898949831724167,0.024984966963529587,0.41522668805345897,0.42953450970227525,280
300,0.023657891899347305,3.173937147948891e-05,0.07949395477771759,0.02446870133280754,0.41050987885519863,0.4172590166479349,300
320,0.023244094103574753,3.5154287616023794e-05,0.0799872875213623,0.024061543866991997,0.40407285388931635,0.40993647359932467,320
340,0.022796927019953728,3.8850874261697754e-05,0.08054393529891968,0.02362179197371006,0.4008530883006752,0.40514527368173003,340
360,0.022596068680286407,4.2386120185256004e-05,0.08092432469129562,0.02342650480568409,0.4006459081582725,0.40185728344942134,360
380,0.02239023707807064,4.5983560994500294e-05,0.08120759576559067,0.02322530560195446,0.399507043927908,0.40033534679561855,380
400,0.02219831757247448,4.9322501581627876e-05,0.08138000220060349,0.023036779835820198,0.39644502047821883,0.3988659908547998,400
420,0.021982094272971153,5.265768777462654e-05,0.08157698810100555,0.02282419241964817,0.39321922804787757,0.39639043081800146,420
