epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse,L_m,L_r,L_y
10,0.09593268483877182,0.14748452603816986,0.2100786566734314,0.2100786566734314,-1,,0.0026597639080137014,0.0,0.04889208450913429
20,0.10148889571428299,0.10703816264867783,0.10907366126775742,0.1595761589705944,-1,,0.00016471608250867575,0.0,0.005384551826864481
30,0.06642521917819977,0.06937098503112793,0.08901821076869965,0.13605684290329614,-1,,0.00010088483395520598,0.0,0.0028448745142668486
40,0.05571978539228439,0.05876924470067024,0.06377032399177551,0.11798521317541599,-1,,0.00010548864520387724,0.0,0.0029439700301736593
50,0.04671630263328552,0.048254165798425674,0.0543551966547966,0.10525920987129211,-1,,8.620882726972923e-05,0.0,0.0014516530791297555
60,0.040866658091545105,0.0419093519449234,0.04476602375507355,0.09517701218525569,-1,,6.299064989434555e-05,0.0,0.0009797023376449943
70,0.038085926324129105,0.039423782378435135,0.043446339666843414,0.0877869161111968,-1,,6.909080548211932e-05,0.0,0.001268767286092043
80,0.036438073962926865,0.03831230103969574,0.04398903623223305,0.08231218112632632,-1,,6.702158134430647e-05,0.0,0.0018072056118398905
90,0.03524506092071533,0.03736399859189987,0.04216417670249939,0.07785129174590111,-1,,7.011503475951031e-05,0.0,0.002048823283985257
100,0.03513398766517639,0.03738676756620407,0.04441220685839653,0.07450738325715064,-1,,7.813821139279753e-05,0.0,0.0021746421698480844
110,0.03459565341472626,0.036712896078825,0.042287908494472504,0.057728308439254764,-1,,7.148319855332375e-05,0.0,0.002045757370069623
120,0.034283481538295746,0.03636802360415459,0.041335251182317734,0.05095446743071079,-1,,7.267465116456151e-05,0.0,0.002011869801208377
130,0.032884418964385986,0.03497553616762161,0.0412803515791893,0.04618068151175976,-1,,7.293366070371121e-05,0.0,0.0020181844010949135
140,0.034490592777729034,0.03657299652695656,0.04588176682591438,0.044391825795173645,-1,,7.419326720992103e-05,0.0,0.0020082099363207817
150,0.0316828191280365,0.03368549048900604,0.045862920582294464,0.04354259818792343,-1,,8.515336958225816e-05,0.0,0.0019175171619281173
160,0.03158649057149887,0.033519867807626724,0.045882511883974075,0.04365424700081348,-1,,7.819230813765898e-05,0.0,0.001855183276347816
170,0.032074857503175735,0.0339156910777092,0.04820869490504265,0.044130482524633405,-1,,8.261997572844848e-05,0.0,0.0017582152504473925
180,0.03134596347808838,0.033395618200302124,0.04495871812105179,0.04422745071351528,-1,,7.898015610408038e-05,0.0,0.001970675541087985
190,0.031483057886362076,0.033526383340358734,0.04077932611107826,0.04408896565437317,-1,,8.124342275550589e-05,0.0,0.0019620798993855715
200,0.03197867050766945,0.033837348222732544,0.047782931476831436,0.04442603811621666,-1,,8.588784839957952e-05,0.0,0.0017727920785546303
210,0.03206004947423935,0.03389069065451622,0.04060756415128708,0.04425800368189812,-1,,8.587517368141562e-05,0.0,0.001744764274917543
220,0.03194061294198036,0.0337916724383831,0.047459814697504044,0.04487046003341675,-1,,8.429538138443604e-05,0.0,0.0017667630454525352
230,0.032086730003356934,0.033953920006752014,0.04075827822089195,0.04481825269758701,-1,,8.285028161481023e-05,0.0,0.001784337917342782
240,0.03265272080898285,0.03449305146932602,0.04696480929851532,0.04492655694484711,-1,,9.569616668159142e-05,0.0,0.0017446356359869242
250,0.031174644827842712,0.03293173760175705,0.04135081544518471,0.04447534643113613,-1,,8.586401236243546e-05,0.0,0.0016712272772565484
260,0.031129643321037292,0.033023934811353683,0.0444435216486454,0.04433144740760327,-1,,8.201366290450096e-05,0.0,0.0018122757319360971
270,0.03208532929420471,0.03394458442926407,0.039694759994745255,0.04348005391657352,-1,,8.621959568699822e-05,0.0,0.0017730387626215816
280,0.031812720000743866,0.03396263346076012,0.04412631690502167,0.04339681379497051,-1,,7.817005825927481e-05,0.0,0.002071741269901395
290,0.03110823966562748,0.03323991969227791,0.04615163430571556,0.043934044614434245,-1,,7.927287515485659e-05,0.0,0.0020524091087281704
300,0.031215427443385124,0.03317239508032799,0.04253549873828888,0.043409301340579985,-1,,8.0798206909094e-05,0.0,0.0018761683022603393
310,0.030652152374386787,0.032478444278240204,0.0429183691740036,0.04364038184285164,-1,,8.551024802727625e-05,0.0,0.0017407810082659125
320,0.03181757777929306,0.03362332284450531,0.04175516217947006,0.04306991659104824,-1,,8.630854426883161e-05,0.0,0.0017194360261783004
330,0.030707858502864838,0.03247697278857231,0.04126942157745361,0.043121030926704405,-1,,8.749149856157601e-05,0.0,0.0016816208371892571
340,0.030916200950741768,0.032633040100336075,0.04527513310313225,0.0429520633071661,-1,,8.993418305180967e-05,0.0,0.0016269047046080232
350,0.031078454107046127,0.03282487764954567,0.04130593314766884,0.042947575077414514,-1,,8.406489359913394e-05,0.0,0.0016623589908704162
360,0.03099837154150009,0.03271634131669998,0.04521942138671875,0.04302516505122185,-1,,8.525473822373897e-05,0.0,0.0016327127814292908
370,0.03074762597680092,0.032444894313812256,0.044635239988565445,0.04351921305060387,-1,,8.82163512869738e-05,0.0,0.0016090525314211845
380,0.030698738992214203,0.03246533125638962,0.04388991370797157,0.04349557273089886,-1,,8.565518510295078e-05,0.0,0.0016809350345283747
390,0.033205337822437286,0.03508812189102173,0.03904561698436737,0.042784970998764035,-1,,8.971259376266971e-05,0.0,0.0017930727917701006
400,0.030712394043803215,0.0326383039355278,0.03978494182229042,0.04250991530716419,-1,,9.163360664388165e-05,0.0,0.0018342764815315604
410,0.030442116782069206,0.03218488395214081,0.040648654103279114,0.042282943800091746,-1,,8.145283936755732e-05,0.0,0.0016613136976957321
420,0.030471861362457275,0.03230751305818558,0.0428161546587944,0.042389043048024176,-1,,8.320690540131181e-05,0.0,0.0017524469876661897
430,0.030230173841118813,0.031956546008586884,0.042200006544589996,0.04248210154473782,-1,,8.846928540151566e-05,0.0,0.0016379008302465081
440,0.030337374657392502,0.032092221081256866,0.043218135833740234,0.04227640181779861,-1,,8.374188473680988e-05,0.0,0.0016711027128621936
450,0.031764909625053406,0.03375145420432091,0.04148801416158676,0.04229460991919041,-1,,7.836571603547782e-05,0.0,0.0019081811187788844
460,0.030947528779506683,0.03316624462604523,0.04544837027788162,0.04231750480830669,-1,,7.318371353903785e-05,0.0,0.002145534148439765
470,0.030303359031677246,0.0324409045279026,0.04034862294793129,0.041888843104243276,-1,,8.014430204639211e-05,0.0,0.002057401929050684
480,0.03140586242079735,0.033596813678741455,0.04153401032090187,0.04165325276553631,-1,,9.725576092023402e-05,0.0,0.002093695569783449
490,0.030195828527212143,0.03228936344385147,0.041958607733249664,0.04194455184042454,-1,,8.05185700301081e-05,0.0,0.0020130162592977285
500,0.029988925904035568,0.03177012875676155,0.04179415851831436,0.04214547351002693,-1,,8.638539293315262e-05,0.0,0.0016948174452409148
510,0.02999236434698105,0.0318007655441761,0.0416942723095417,0.04225003533065319,-1,,8.237767906393856e-05,0.0,0.0017260247841477394
520,0.029974792152643204,0.03170071169734001,0.04228980466723442,0.042197400331497194,-1,,8.23546142783016e-05,0.0,0.0016435642028227448
