protocol,seed,max_absolute_difference_mm,rms_difference_mm
replicate,1,0.00012183970102341846,4.548210199573077e-05
replicate,2,2.5349199859192595e-05,1.1739324691006914e-05
replicate,3,0.00012102198525099084,3.686712443595752e-05
time_holdout,1,0.00030051067005842924,9.918659634422511e-05
time_holdout,2,8.463361882604659e-05,3.182071668561548e-05
time_holdout,3,0.00012429285561665893,4.421233097673394e-05
