protocol,model,seed,split,genotype,rmse
replicate,logistic_pinn,1,test,hy5,0.29840110150469873
replicate,logistic_pinn,1,test,MLB,0.17511823910969637
replicate,logistic_pinn,1,test,EMS57,0.5722085954472331
replicate,logistic_pinn,1,test,phyAB,0.2721086309783879
replicate,logistic_pinn,2,train,Col-0,0.32079521732474997
replicate,logistic_pinn,2,train,hy5,0.27173163006861467
replicate,logistic_pinn,2,train,MLB,0.12206418654737952
replicate,logistic_pinn,2,train,EMS57,0.2352672820804909
replicate,logistic_pinn,2,train,phyAB,0.18555413754320535
replicate,logistic_pinn,2,val,Col-0,0.16762973634942666
replicate,logistic_pinn,2,val,hy5,0.4953844760665708
replicate,logistic_pinn,2,val,MLB,0.13633320759060014
replicate,logistic_pinn,2,val,EMS57,0.3627949742280057
replicate,logistic_pinn,2,val,phyAB,0.36134016682410885
replicate,logistic_pinn,2,test,Col-0,0.47931783819737755
replicate,logistic_pinn,2,test,hy5,0.2917089123726809
replicate,logistic_pinn,2,test,MLB,0.19359339924442573
replicate,logistic_pinn,2,test,EMS57,0.5924487431201109
replicate,logistic_pinn,2,test,phyAB,0.2727830910170638
replicate,logistic_pinn,3,train,Col-0,0.32445519987794036
replicate,logistic_pinn,3,train,hy5,0.26491230826321627
replicate,logistic_pinn,3,train,MLB,0.11941490199640689
replicate,logistic_pinn,3,train,EMS57,0.2473675471751887
replicate,logistic_pinn,3,train,phyAB,0.17940973316008782
replicate,logistic_pinn,3,val,Col-0,0.1645326233556537
replicate,logistic_pinn,3,val,hy5,0.502203447523507
replicate,logistic_pinn,3,val,MLB,0.11066519379036492
replicate,logistic_pinn,3,val,EMS57,0.3719941599466143
replicate,logistic_pinn,3,val,phyAB,0.37848803077823756
replicate,logistic_pinn,3,test,Col-0,0.482392952877506
replicate,logistic_pinn,3,test,hy5,0.2780034706907645
replicate,logistic_pinn,3,test,MLB,0.20453105104671182
replicate,logistic_pinn,3,test,EMS57,0.59447204124315
replicate,logistic_pinn,3,test,phyAB,0.2948981192418469
replicate,lstm,1,train,Col-0,0.2488583574616633
replicate,lstm,1,train,hy5,0.08786181245600402
replicate,lstm,1,train,MLB,0.10767069763121102
replicate,lstm,1,train,EMS57,0.06067169785627944
replicate,lstm,1,train,phyAB,0.07931792723798953
replicate,lstm,1,val,Col-0,0.10193489155247598
replicate,lstm,1,val,hy5,0.43561318375145686
replicate,lstm,1,val,MLB,0.11632783016553537
replicate,lstm,1,val,EMS57,0.36999751826573446
replicate,lstm,1,val,phyAB,0.45833266413354135
replicate,lstm,1,test,Col-0,0.4541346357756923
replicate,lstm,1,test,hy5,0.21608989336405698
replicate,lstm,1,test,MLB,0.1376377786913583
replicate,lstm,1,test,EMS57,0.6515180528288562
replicate,lstm,1,test,phyAB,0.3108450759075225
replicate,lstm,2,train,Col-0,0.19413083352810986
replicate,lstm,2,train,hy5,0.17031639989425082
replicate,lstm,2,train,MLB,0.03262895975927636
replicate,lstm,2,train,EMS57,0.18914799159884205
replicate,lstm,2,train,phyAB,0.03466256581932161
replicate,lstm,2,val,Col-0,0.11013847525304608
replicate,lstm,2,val,hy5,0.2866923427001507
replicate,lstm,2,val,MLB,0.13249049655573003
replicate,lstm,2,val,EMS57,0.3803199789326812
replicate,lstm,2,val,phyAB,0.44700847520450665
replicate,lstm,2,test,Col-0,0.4060308488261145
replicate,lstm,2,test,hy5,0.326844111026138
replicate,lstm,2,test,MLB,0.18885774838841643
replicate,lstm,2,test,EMS57,0.600927822470802
replicate,lstm,2,test,phyAB,0.31927938778024034
replicate,lstm,3,train,Col-0,0.2745819368619989
replicate,lstm,3,train,hy5,0.13459428729906536
replicate,lstm,3,train,MLB,0.09250316909617416
replicate,lstm,3,train,EMS57,0.16858869385617986
replicate,lstm,3,train,phyAB,0.18550653907535739
replicate,lstm,3,val,Col-0,0.15551488525100662
replicate,lstm,3,val,hy5,0.4643993530419344
replicate,lstm,3,val,MLB,0.10675986652878161
replicate,lstm,3,val,EMS57,0.3735392049353133
replicate,lstm,3,val,phyAB,0.3765486044303759
replicate,lstm,3,test,Col-0,0.40839872919505504
replicate,lstm,3,test,hy5,0.268618161845603
replicate,lstm,3,test,MLB,0.1725582562543216
replicate,lstm,3,test,EMS57,0.6846897832932167
replicate,lstm,3,test,phyAB,0.273426996538932
replicate,rf,1,train,Col-0,0.42192102825009314
replicate,rf,1,train,hy5,0.24145303468038273
replicate,rf,1,train,MLB,0.4772460946874708
replicate,rf,1,train,EMS57,0.3255676632049274
replicate,rf,1,train,phyAB,0.4304580910613936
replicate,rf,1,val,Col-0,0.4564932493390058
replicate,rf,1,val,hy5,0.44164425674534447
replicate,rf,1,val,MLB,0.5077346497451779
replicate,rf,1,val,EMS57,0.46268425506755484
replicate,rf,1,val,phyAB,0.6363337984067703
replicate,rf,1,test,Col-0,0.31888770141268935
replicate,rf,1,test,hy5,0.26924114012549394
replicate,rf,1,test,MLB,0.5358914350667726
replicate,rf,1,test,EMS57,0.6929799276653127
replicate,rf,1,test,phyAB,0.4544195938332939
replicate,rf,2,train,Col-0,0.3473972656286294
replicate,rf,2,train,hy5,0.3101405645131173
replicate,rf,2,train,MLB,0.31681427535182327
replicate,rf,2,train,EMS57,0.34307586825832714
replicate,rf,2,train,phyAB,0.468030624573049
replicate,rf,2,val,Col-0,0.3599875569469051
replicate,rf,2,val,hy5,0.4361684159054663
replicate,rf,2,val,MLB,0.3676327938692296
replicate,rf,2,val,EMS57,0.434772546700611
replicate,rf,2,val,phyAB,0.6395032241385548
replicate,rf,2,test,Col-0,0.34373457613303365
replicate,rf,2,test,hy5,0.3199710239755636
replicate,rf,2,test,MLB,0.38735197994925863
replicate,rf,2,test,EMS57,0.6723372751599997
replicate,rf,2,test,phyAB,0.4639048736611429
replicate,rf,3,train,Col-0,0.33431705782585364
replicate,rf,3,train,hy5,0.26653920537654235
replicate,rf,3,train,MLB,0.3178242056731498
replicate,rf,3,train,EMS57,0.3304679660917133
replicate,rf,3,train,phyAB,0.5291494769144371
replicate,rf,3,val,Col-0,0.3281731856996972
replicate,rf,3,val,hy5,0.4519208225852101
replicate,rf,3,val,MLB,0.3489766018290292
replicate,rf,3,val,EMS57,0.4710931142306971
replicate,rf,3,val,phyAB,0.7422548846718183
replicate,rf,3,test,Col-0,0.3845747624989373
replicate,rf,3,test,hy5,0.29710068488592256
replicate,rf,3,test,MLB,0.3816094880837411
replicate,rf,3,test,EMS57,0.7026848862650859
replicate,rf,3,test,phyAB,0.5594557892100451
replicate,logistic,1,train,Col-0,0.3401362905522095
replicate,logistic,1,train,hy5,0.39689954649062076
replicate,logistic,1,train,MLB,0.1624925719245151
replicate,logistic,1,train,EMS57,0.43912894682839293
replicate,logistic,1,train,phyAB,0.5123169910413239
replicate,logistic,1,val,Col-0,0.18997386626145116
replicate,logistic,1,val,hy5,0.5298224068285379
replicate,logistic,1,val,MLB,0.18428140776714672
replicate,logistic,1,val,EMS57,0.5380367126239542
replicate,logistic,1,val,phyAB,0.5999647974476296
replicate,logistic,1,test,Col-0,0.5055112299755785
replicate,logistic,1,test,hy5,0.3991121812340406
replicate,logistic,1,test,MLB,0.17864029978319612
replicate,logistic,1,test,EMS57,0.8815428939094573
replicate,logistic,1,test,phyAB,0.4610692627529378
replicate,latent_ode_matched,1,train,Col-0,0.2824888407126284
replicate,latent_ode_matched,1,train,hy5,0.167024018111172
replicate,latent_ode_matched,1,train,MLB,0.11558556613029622
replicate,latent_ode_matched,1,train,EMS57,0.1897698944338492
replicate,latent_ode_matched,1,train,phyAB,0.15706488653783973
replicate,latent_ode_matched,1,val,Col-0,0.14863815212101553
replicate,latent_ode_matched,1,val,hy5,0.5030658400749993
replicate,latent_ode_matched,1,val,MLB,0.12384457512540559
replicate,latent_ode_matched,1,val,EMS57,0.3415744952577363
replicate,latent_ode_matched,1,val,phyAB,0.3775550922717833
replicate,latent_ode_matched,1,test,Col-0,0.43801751240808184
replicate,latent_ode_matched,1,test,hy5,0.29777843567003925
replicate,latent_ode_matched,1,test,MLB,0.18226134632641863
replicate,latent_ode_matched,1,test,EMS57,0.6525506213501493
replicate,latent_ode_matched,1,test,phyAB,0.300834515857371
replicate,latent_ode_matched,2,train,Col-0,0.30950115284029167
replicate,latent_ode_matched,2,train,hy5,0.1832849753626937
replicate,latent_ode_matched,2,train,MLB,0.12351307363578748
replicate,latent_ode_matched,2,train,EMS57,0.19297217820826965
replicate,latent_ode_matched,2,train,phyAB,0.17602204410365052
replicate,latent_ode_matched,2,val,Col-0,0.16834246521277993
replicate,latent_ode_matched,2,val,hy5,0.512287936900805
replicate,latent_ode_matched,2,val,MLB,0.11766470963875253
replicate,latent_ode_matched,2,val,EMS57,0.32694964383088815
replicate,latent_ode_matched,2,val,phyAB,0.36212348908733094
replicate,latent_ode_matched,2,test,Col-0,0.4798875622311885
replicate,latent_ode_matched,2,test,hy5,0.2736195641549096
replicate,latent_ode_matched,2,test,MLB,0.173048504185495
replicate,latent_ode_matched,2,test,EMS57,0.6463687748824266
replicate,latent_ode_matched,2,test,phyAB,0.27213079709307153
replicate,latent_ode_matched,3,train,Col-0,0.2734516571209092
replicate,latent_ode_matched,3,train,hy5,0.1959140319604794
replicate,latent_ode_matched,3,train,MLB,0.11454584396354664
replicate,latent_ode_matched,3,train,EMS57,0.198096687659105
replicate,latent_ode_matched,3,train,phyAB,0.17509091898805917
replicate,latent_ode_matched,3,val,Col-0,0.15161287930873674
replicate,latent_ode_matched,3,val,hy5,0.5141021639374153
replicate,latent_ode_matched,3,val,MLB,0.11474014665259934
replicate,latent_ode_matched,3,val,EMS57,0.3209588162393408
replicate,latent_ode_matched,3,val,phyAB,0.36448198547472865
