epoch,data_loss,objective,ode,capacity,val_rmse,selection_rmse,best_epoch
20,0.07528036832809448,0.07528036832809448,0.0,0.0,0.8504840396642686,0.8504840396642686,
40,0.04758856073021889,0.04758856073021889,0.0,0.0,0.883230404317379,0.8668572219908238,
60,0.04339177533984184,0.04339177533984184,0.0,0.0,0.6674741330891848,0.8003961923569441,
80,0.04258110001683235,0.04258110001683235,0.0,0.0,0.6951513543128968,0.7486186305731535,
100,0.04240161553025246,0.04240161553025246,0.0,0.0,0.6442266265302897,0.6689507046441237,
120,0.04253881797194481,0.04253881797194481,0.0,0.0,0.6272208117842675,0.6555329308758179,
140,0.041580602526664734,0.041580602526664734,0.0,0.0,0.6275229987502098,0.6329901456882557,
160,0.04018830507993698,0.04018830507993698,0.0,0.0,0.6484080242067576,0.634383944913745,
180,0.038492701947689056,0.038492701947689056,0.0,0.0,0.6587228014171124,0.6448846081246933,
200,0.03717224672436714,0.03717224672436714,0.0,0.0,0.6829333143085241,0.6633547133107981,200.0
220,0.038448773324489594,0.038448773324489594,0.0,0.0,0.683167823985219,0.6749413132369518,200.0
240,0.03520534560084343,0.03520534560084343,0.0,0.0,0.7004961431920529,0.6888657604952654,200.0
260,0.03271104395389557,0.03271104395389557,0.0,0.0,0.8347266777455807,0.7394635483076176,200.0
280,0.035567574203014374,0.035567574203014374,0.0,0.0,0.8137482204288244,0.7829903471221528,200.0
300,0.05050792545080185,0.05050792545080185,0.0,0.0,1.008700664639473,0.885725187604626,200.0
320,0.03407611325383186,0.03407611325383186,0.0,0.0,0.6705090231150389,0.8309859693944455,200.0
340,0.031585998833179474,0.031585998833179474,0.0,0.0,0.7148869389593602,0.798032208904624,200.0
360,0.030915891751646996,0.030915891751646996,0.0,0.0,0.8251564937978983,0.7368508186240992,200.0
380,0.029504939913749695,0.029504939913749695,0.0,0.0,0.822414275854826,0.7874859028706948,200.0
400,0.028194455429911613,0.028194455429911613,0.0,0.0,0.859488266915083,0.8356863455226025,200.0
420,0.02963457629084587,0.02963457629084587,0.0,0.0,0.7602026788890363,0.814035073886315,200.0
440,0.032023411244153976,0.032023411244153976,0.0,0.0,0.9083657924681903,0.8426855794241032,200.0
460,0.02859463356435299,0.02859463356435299,0.0,0.0,0.9122849227637053,0.8602844647069773,200.0
480,0.02673165500164032,0.02673165500164032,0.0,0.0,0.941291580632329,0.9206474319547415,200.0
500,0.027439020574092865,0.027439020574092865,0.0,0.0,1.059895529255271,0.9711573442171018,200.0
520,0.02582661248743534,0.02582661248743534,0.0,0.0,1.0147776702791453,1.005321593388915,200.0
540,0.025101380422711372,0.025101380422711372,0.0,0.0,1.0428146685510875,1.039162622695168,200.0
560,0.025659147650003433,0.025659147650003433,0.0,0.0,0.958963151037693,1.005518496622642,200.0
580,0.0293569453060627,0.0293569453060627,0.0,0.0,1.0565557337254285,1.0194445177714029,200.0
600,0.028569428250193596,0.028569428250193596,0.0,0.0,1.2044265329241752,1.073315139229099,200.0
620,0.02866980992257595,0.02866980992257595,0.0,0.0,1.193587077870965,1.1515231148401897,200.0
640,0.028567880392074585,0.028567880392074585,0.0,0.0,1.304781937211752,1.2342651826689641,200.0
660,0.02622082084417343,0.02622082084417343,0.0,0.0,1.3678196835815908,1.2887295662214358,200.0
680,0.024822896346449852,0.024822896346449852,0.0,0.0,1.1765329017639161,1.2830448408524198,200.0
700,0.023846061900258064,0.023846061900258064,0.0,0.0,1.199529658958316,1.2479607481012742,200.0
720,0.024112289771437645,0.024112289771437645,0.0,0.0,1.3074954674243928,1.2278526760488748,200.0
740,0.023373352363705635,0.023373352363705635,0.0,0.0,1.3687718873023986,1.2919323378950358,200.0
760,0.02343256212770939,0.02343256212770939,0.0,0.0,1.3848138372302057,1.3536937306523324,200.0
780,0.023530326783657074,0.023530326783657074,0.0,0.0,1.3879453068971634,1.3805103438099224,200.0
800,0.022773779928684235,0.022773779928684235,0.0,0.0,1.3214866380989552,1.3647485940754414,200.0
820,0.023540019989013672,0.023540019989013672,0.0,0.0,1.3138011879622937,1.3410777109861374,200.0
840,0.02251572161912918,0.02251572161912918,0.0,0.0,1.2958312222361565,1.3103730160991351,200.0
860,0.02255243808031082,0.02255243808031082,0.0,0.0,1.3737925978302956,1.3278083360095818,200.0
880,0.022158117964863777,0.022158117964863777,0.0,0.0,1.4464448117017747,1.3720228772560756,200.0
900,0.02211562544107437,0.02211562544107437,0.0,0.0,1.424956771582365,1.4150647270381451,200.0
920,0.022516153752803802,0.022516153752803802,0.0,0.0,1.3596208589971066,1.4103408140937488,200.0
940,0.021815074607729912,0.021815074607729912,0.0,0.0,1.352232731074095,1.3789367872178555,200.0
960,0.02173868753015995,0.02173868753015995,0.0,0.0,1.3876439784169197,1.3664991894960403,200.0
980,0.021609608083963394,0.021609608083963394,0.0,0.0,1.4552452916800975,1.3983740003903706,200.0
1000,0.021484777331352234,0.021484777331352234,0.0,0.0,1.4161368325948716,1.419675367563963,200.0
1020,0.021366719156503677,0.021366719156503677,0.0,0.0,1.4339352442622184,1.435105789512396,200.0
1040,0.02156863920390606,0.02156863920390606,0.0,0.0,1.4730538620948792,1.4410419796506566,200.0
1060,0.021497847512364388,0.021497847512364388,0.0,0.0,1.4509810501337053,1.4526567188302677,200.0
1080,0.021389534696936607,0.021389534696936607,0.0,0.0,1.476135253429413,1.4667233885526658,200.0
1100,0.02114284224808216,0.02114284224808216,0.0,0.0,1.4432104668319226,1.4567755901316803,200.0
1120,0.021117214113473892,0.021117214113473892,0.0,0.0,1.4898504209518433,1.4697320470710595,200.0
1140,0.02111908793449402,0.02111908793449402,0.0,0.0,1.4626314164698124,1.465230768084526,200.0
1160,0.02100011520087719,0.02100011520087719,0.0,0.0,1.458382341504097,1.4702880596419174,200.0
1180,0.020982764661312103,0.020982764661312103,0.0,0.0,1.472548214018345,1.4645206573307514,200.0
1200,0.020902685821056366,0.020902685821056366,0.0,0.0,1.4589503728747368,1.4632936427990597,200.0
1220,0.02087283320724964,0.02087283320724964,0.0,0.0,1.4674519567489626,1.4663168478806814,200.0
1240,0.02089758589863777,0.02089758589863777,0.0,0.0,1.464414062023163,1.4636054638822873,200.0
1260,0.020832741633057594,0.020832741633057594,0.0,0.0,1.4677761781811716,1.4665473989844322,200.0
1280,0.020794864743947983,0.020794864743947983,0.0,0.0,1.468027428328991,1.4667392228444416,200.0
1300,0.020787367597222328,0.020787367597222328,0.0,0.0,1.4673661081790925,1.4677232382297516,200.0
1320,0.0207505039870739,0.0207505039870739,0.0,0.0,1.4690493124723434,1.468147616326809,200.0
1340,0.020731931552290916,0.020731931552290916,0.0,0.0,1.4651237435340883,1.4671797213951747,200.0
1360,0.02071867138147354,0.02071867138147354,0.0,0.0,1.4690115391016008,1.467728198369344,200.0
1380,0.020713908597826958,0.020713908597826958,0.0,0.0,1.4669245603680612,1.4670199476679167,200.0
1400,0.020704610273241997,0.020704610273241997,0.0,0.0,1.4674004476070404,1.4677788490255674,200.0
1420,0.02069966308772564,0.02069966308772564,0.0,0.0,1.4695579652488233,1.4679609910746414,200.0
1440,0.020695267245173454,0.020695267245173454,0.0,0.0,1.468961746931076,1.4686400532623132,200.0
1460,0.020693374797701836,0.020693374797701836,0.0,0.0,1.4691079756617547,1.4692092292805512,200.0
1480,0.020692752674221992,0.020692752674221992,0.0,0.0,1.4692479088306427,1.4691058771411578,200.0
1500,0.02069256827235222,0.02069256827235222,0.0,0.0,1.4692645062208176,1.469206796904405,200.0
