dataset,original_lambda_ode,original_lambda_k,previous_tuned_lambda_ode,previous_tuned_lambda_k,retains_previous_tuned_pair,selected_lambda_ode,selected_lambda_k,val_mean,val_sd,best_new_lambda_ode,best_new_lambda_k,best_new_val_mean,best_new_val_sd,overall_lambda_ode,overall_lambda_k,overall_val_mean
wheat,2.0,0.1,3.16227766,0.1,True,3.16227766,0.1,0.03768041389126801,0.0007745386072791769,0.7071067812,0.316227766,0.03817352461623117,0.0018569795175851851,3.16227766,0.1,0.03768041389126801
maize,0.5,0.5,500.0,0.5,True,500.0,0.5,44.94272426221436,3.136983449543783,500.0,0.005,49.828749644961476,6.436121906620172,500.0,0.5,44.94272426221436
arabidopsis,2.0,0.1,0.5,0.1,True,0.5,0.1,3.1914670369315825,0.0331276215732626,1.414213562,0.0316227766,3.2216750336219313,0.025724975053079198,0.5,0.1,3.1914670369315825
