plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
Col-0:row3,Col-0,3,0.034125272,0.044125676,0.024124866,0.29304987,8.628206
Col-0:row4,Col-0,4,0.034125272,0.044125676,0.024124866,0.29304987,8.722614
Col-0:row5,Col-0,5,0.034125272,0.044125676,0.024124866,0.29304987,8.684689
Col-0:row6,Col-0,6,0.034125272,0.044125676,0.024124866,0.29304987,8.682671
Col-0:row7,Col-0,7,0.034125272,0.044125676,0.024124866,0.29304987,8.733353
Col-0:row8,Col-0,8,0.034125272,0.044125676,0.024124866,0.29304987,8.71654
Col-0:row9,Col-0,9,0.034125272,0.044125676,0.024124866,0.29304987,8.74091
Col-0:row10,Col-0,10,0.034125272,0.044125676,0.024124866,0.29304987,8.613352
Col-0:row11,Col-0,11,0.034125272,0.044125676,0.024124866,0.29304987,8.729126
Col-0:row12,Col-0,12,0.034125272,0.044125676,0.024124866,0.29304987,8.731058
Col-0:row13,Col-0,13,0.034125272,0.044125676,0.024124866,0.29304987,8.7026615
Col-0:row14,Col-0,14,0.034125272,0.044125676,0.024124866,0.29304987,8.719888
Col-0:row15,Col-0,15,0.034125272,0.044125676,0.024124866,0.29304987,8.727625
Col-0:row16,Col-0,16,0.034125272,0.044125676,0.024124866,0.29304987,8.726562
Col-0:row17,Col-0,17,0.034125272,0.044125676,0.024124866,0.29304987,8.711283
Col-0:row18,Col-0,18,0.034125272,0.044125676,0.024124866,0.29304987,8.708188
Col-0:row19,Col-0,19,0.034125272,0.044125676,0.024124866,0.29304987,8.6971655
Col-0:row20,Col-0,20,0.034125272,0.044125676,0.024124866,0.29304987,8.734762
Col-0:row21,Col-0,21,0.034125272,0.044125676,0.024124866,0.29304987,8.701268
Col-0:row22,Col-0,22,0.034125272,0.044125676,0.024124866,0.29304987,8.739367
Col-0:row23,Col-0,23,0.034125272,0.044125676,0.024124866,0.29304987,8.72587
Col-0:row24,Col-0,24,0.034125272,0.044125676,0.024124866,0.29304987,8.691246
Col-0:row25,Col-0,25,0.034125272,0.044125676,0.024124866,0.29304987,8.722089
Col-0:row26,Col-0,26,0.034125272,0.044125676,0.024124866,0.29304987,8.733861
Col-0:row27,Col-0,27,0.034125272,0.044125676,0.024124866,0.29304987,8.733112
