plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
Col-0:row3,Col-0,3,0.026372904,11.022091,3
Col-0:row4,Col-0,4,0.025845679,10.955212,3
Col-0:row5,Col-0,5,0.025205053,11.032795,3
Col-0:row6,Col-0,6,0.028561402,10.545755,2
Col-0:row7,Col-0,7,0.026392974,10.9505,3
Col-0:row8,Col-0,8,0.024302732,10.889549,2
Col-0:row9,Col-0,9,0.028221657,10.674464,2
Col-0:row10,Col-0,10,0.0260873,11.024637,3
Col-0:row11,Col-0,11,0.024165435,11.288008,4
Col-0:row12,Col-0,12,0.02441478,10.958564,2
Col-0:row13,Col-0,13,0.025751743,10.956127,3
Col-0:row14,Col-0,14,0.02598473,10.955281,3
Col-0:row15,Col-0,15,0.024098301,11.288297,4
Col-0:row16,Col-0,16,0.024179019,11.287348,4
Col-0:row17,Col-0,17,0.025082577,10.881138,2
Col-0:row18,Col-0,18,0.026374565,10.900714,3
Col-0:row19,Col-0,19,0.02369066,11.292147,4
Col-0:row20,Col-0,20,0.025815856,11.028102,3
Col-0:row21,Col-0,21,0.02355878,11.293406,4
Col-0:row22,Col-0,22,0.02462627,11.280929,4
Col-0:row23,Col-0,23,0.024161397,11.287412,4
Col-0:row24,Col-0,24,0.023756294,10.967281,2
Col-0:row25,Col-0,25,0.024553528,10.960959,2
Col-0:row26,Col-0,26,0.024379779,11.284931,4
Col-0:row27,Col-0,27,0.023080364,11.223844,3
Col-0:row28,Col-0,28,0.02710555,10.47199,1
Col-0:row29,Col-0,29,0.02431485,10.961909,2
Col-0:row30,Col-0,30,0.02633108,10.556129,1
Col-0:row31,Col-0,31,0.02456502,10.959927,2
Col-0:row32,Col-0,32,0.02636109,10.555765,1
Col-0:row33,Col-0,33,0.026599074,10.604307,1
Col-0:row34,Col-0,34,0.023896853,10.966976,2
Col-0:row35,Col-0,35,0.026041545,10.608578,1
hy5:row3,hy5,3,0.039497003,10.636677,2
hy5:row4,hy5,4,0.040278737,11.060592,3
hy5:row5,hy5,5,0.041543085,10.985525,3
hy5:row6,hy5,6,0.038814418,10.9300165,2
hy5:row7,hy5,7,0.050109066,11.195887,4
hy5:row8,hy5,8,0.04652496,11.229566,4
hy5:row9,hy5,9,0.040778928,10.938649,3
hy5:row10,hy5,10,0.040305775,11.063542,3
hy5:row11,hy5,11,0.035475407,10.653533,1
hy5:row12,hy5,12,0.039884232,10.548146,1
hy5:row13,hy5,13,0.043879386,10.971267,3
hy5:row14,hy5,14,0.038951337,10.929827,2
hy5:row15,hy5,15,0.040379792,11.210044,3
hy5:row16,hy5,16,0.04110117,11.277065,4
hy5:row17,hy5,17,0.038718536,11.077615,3
hy5:row18,hy5,18,0.037058767,11.012728,2
hy5:row19,hy5,19,0.04578757,11.235734,4
hy5:row20,hy5,20,0.042571057,11.263776,4
hy5:row21,hy5,21,0.043956798,11.252615,4
hy5:row22,hy5,22,0.03922183,10.76747,2
hy5:row23,hy5,23,0.04108834,11.203637,3
hy5:row24,hy5,24,0.04750796,11.218964,4
hy5:row25,hy5,25,0.041332588,10.934583,3
hy5:row26,hy5,26,0.04567951,10.954997,3
hy5:row27,hy5,27,0.040725447,10.7588625,2
hy5:row28,hy5,28,0.044700947,10.959566,3
hy5:row29,hy5,29,0.036262754,10.706268,1
hy5:row30,hy5,30,0.03809454,10.38871,1
hy5:row31,hy5,31,0.038193908,10.390308,1
hy5:row32,hy5,32,0.036384374,10.705377,1
hy5:row33,hy5,33,0.03813668,10.389388,1
hy5:row34,hy5,34,0.038062215,10.388187,1
hy5:row35,hy5,35,0.03809316,10.388687,1
MLB:row3,MLB,3,0.022217922,11.405804,4
MLB:row4,MLB,4,0.022856617,10.961047,2
MLB:row5,MLB,5,0.022966584,11.00834,2
MLB:row6,MLB,6,0.024133567,11.146334,3
MLB:row7,MLB,7,0.02284952,11.009864,2
MLB:row8,MLB,8,0.021731792,11.41202,4
MLB:row9,MLB,9,0.024032,11.029804,3
MLB:row10,MLB,10,0.023884285,11.032459,3
MLB:row11,MLB,11,0.024914574,10.6037855,1
MLB:row12,MLB,12,0.023386322,11.07634,2
MLB:row13,MLB,13,0.021772265,11.410974,4
MLB:row14,MLB,14,0.020594388,11.349182,3
MLB:row15,MLB,15,0.02177092,11.411069,4
MLB:row16,MLB,16,0.021926496,11.409787,4
MLB:row17,MLB,17,0.020697476,11.34824,3
MLB:row18,MLB,18,0.024102928,11.029331,3
MLB:row19,MLB,19,0.02234006,11.08424,2
MLB:row20,MLB,20,0.021536265,11.414238,4
MLB:row21,MLB,21,0.021674285,11.413572,4
MLB:row22,MLB,22,0.024112843,11.076811,3
MLB:row23,MLB,23,0.022670664,11.400456,4
MLB:row24,MLB,24,0.021889633,11.333821,3
MLB:row25,MLB,25,0.022438683,11.402837,4
MLB:row26,MLB,26,0.023276595,11.154647,3
MLB:row27,MLB,27,0.02154193,11.413302,4
MLB:row28,MLB,28,0.022435885,11.0832815,2
MLB:row29,MLB,29,0.021292355,11.34205,3
MLB:row30,MLB,30,0.020651668,11.348095,3
MLB:row31,MLB,31,0.024757154,10.680374,1
MLB:row32,MLB,32,0.020868704,11.346066,3
MLB:row33,MLB,33,0.022156393,11.08701,2
MLB:row34,MLB,34,0.020694545,11.348528,3
MLB:row35,MLB,35,0.022200406,11.086537,2
MLB:row36,MLB,36,0.022213772,11.086601,2
MLB:row37,MLB,37,0.022746773,11.080927,2
MLB:row38,MLB,38,0.024916861,10.678368,1
MLB:row39,MLB,39,0.022660933,11.081656,2
MLB:row40,MLB,40,0.024706066,10.731505,1
phyAB:row3,phyAB,3,0.06581498,11.32154,4
phyAB:row4,phyAB,4,0.06806158,11.050589,3
phyAB:row5,phyAB,5,0.06585873,11.259191,3
phyAB:row6,phyAB,6,0.0680774,11.306339,4
phyAB:row7,phyAB,7,0.0652303,11.326525,4
phyAB:row8,phyAB,8,0.06832599,11.303807,4
phyAB:row9,phyAB,9,0.06508307,11.020653,3
phyAB:row10,phyAB,10,0.06650525,11.255874,3
phyAB:row11,phyAB,11,0.058493227,11.112097,2
phyAB:row12,phyAB,12,0.06054527,10.693242,1
phyAB:row13,phyAB,13,0.06863286,11.301376,4
phyAB:row14,phyAB,14,0.05633186,10.862226,2
phyAB:row15,phyAB,15,0.061816238,11.288646,3
phyAB:row16,phyAB,16,0.05681564,10.839815,1
phyAB:row17,phyAB,17,0.067425326,11.249879,3
phyAB:row18,phyAB,18,0.067354806,11.24908,3
phyAB:row19,phyAB,19,0.060944714,10.88614,2
phyAB:row20,phyAB,20,0.06932668,11.042398,3
phyAB:row21,phyAB,21,0.067629285,11.308818,4
phyAB:row22,phyAB,22,0.068246566,11.306818,4
phyAB:row23,phyAB,23,0.058051314,11.113746,2
phyAB:row24,phyAB,24,0.05989177,11.16786,3
phyAB:row25,phyAB,25,0.06694393,11.312568,4
phyAB:row26,phyAB,26,0.068300344,11.049643,3
phyAB:row27,phyAB,27,0.06461403,10.742239,2
phyAB:row28,phyAB,28,0.06652442,11.314142,4
phyAB:row29,phyAB,29,0.05278405,10.812119,1
phyAB:row30,phyAB,30,0.06543695,11.26172,3
phyAB:row31,phyAB,31,0.06670843,11.060454,3
phyAB:row32,phyAB,32,0.054974932,10.874391,2
phyAB:row33,phyAB,33,0.06751424,11.310333,4
phyAB:row34,phyAB,34,0.05548693,10.869093,2
phyAB:row35,phyAB,35,0.059108056,11.174345,3
phyAB:row36,phyAB,36,0.05726728,11.118789,2
phyAB:row37,phyAB,37,0.053975996,10.802462,1
phyAB:row38,phyAB,38,0.05622722,10.8434,1
phyAB:row39,phyAB,39,0.057006646,10.838655,1
