plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
MLB:row40,MLB,40,0.025106955,9.321217,1
EMS57:row3,EMS57,3,0.0559889,10.140633,3
EMS57:row4,EMS57,4,0.056926023,10.201589,4
EMS57:row5,EMS57,5,0.057446223,10.149987,3
EMS57:row6,EMS57,6,0.05758645,10.208685,4
EMS57:row7,EMS57,7,0.05696499,10.1952915,4
EMS57:row8,EMS57,8,0.054128382,10.004688,2
EMS57:row9,EMS57,9,0.05455471,10.10232,2
EMS57:row10,EMS57,10,0.05884744,10.187076,3
EMS57:row11,EMS57,11,0.050390244,10.03843,2
EMS57:row12,EMS57,12,0.05384228,10.131343,3
EMS57:row13,EMS57,13,0.051391337,10.069833,2
EMS57:row14,EMS57,14,0.049906887,10.038799,2
EMS57:row15,EMS57,15,0.054229256,10.012575,2
EMS57:row16,EMS57,16,0.05469431,10.0868635,2
EMS57:row17,EMS57,17,0.05489045,10.145868,3
EMS57:row18,EMS57,18,0.04673896,9.958244,1
phyAB:row3,phyAB,3,0.06833952,10.399493,3
phyAB:row4,phyAB,4,0.07420464,10.462822,4
phyAB:row5,phyAB,5,0.070280865,10.328116,3
phyAB:row6,phyAB,6,0.07048076,10.409593,3
phyAB:row7,phyAB,7,0.063632,10.248853,2
phyAB:row8,phyAB,8,0.07530607,10.475218,4
phyAB:row9,phyAB,9,0.06693583,10.337731,2
phyAB:row10,phyAB,10,0.072369255,10.417657,3
phyAB:row11,phyAB,11,0.0620199,10.217683,2
phyAB:row12,phyAB,12,0.074093126,10.422067,3
phyAB:row13,phyAB,13,0.068800874,10.388467,3
phyAB:row14,phyAB,14,0.068829715,10.398852,3
phyAB:row15,phyAB,15,0.062377106,10.235108,2
phyAB:row16,phyAB,16,0.07180036,10.461933,4
phyAB:row17,phyAB,17,0.06928337,10.32209,3
phyAB:row18,phyAB,18,0.070353486,10.396497,3
phyAB:row19,phyAB,19,0.06260808,10.223592,2
phyAB:row20,phyAB,20,0.07582446,10.46973,4
phyAB:row21,phyAB,21,0.07118507,10.408479,3
phyAB:row22,phyAB,22,0.066576384,10.343923,2
phyAB:row23,phyAB,23,0.07314047,10.419288,3
phyAB:row24,phyAB,24,0.07135003,10.408603,3
phyAB:row25,phyAB,25,0.07389974,10.457994,4
phyAB:row26,phyAB,26,0.074766144,10.468869,4
