model,seed,split,genotype,year,rmse,mae,n_scored
RF,3,train,33,2018,0.0068761653351039585,0.0038201499663061337,67
RF,3,train,33,2019,0.0030245639734580703,0.0019073635180264334,59
RF,3,train,106,2018,0.008820606399155809,0.004437372844903313,67
RF,3,train,106,2019,0.0028023673865904186,0.0016621110588903973,59
RF,3,train,122,2018,0.004233483422675615,0.002381967640961126,67
RF,3,train,122,2019,0.0039714370782059525,0.001996884096135686,59
RF,3,train,133,2018,0.005873560696059526,0.0031515019822547096,67
RF,3,train,133,2019,0.005578685936607084,0.002735581092691508,59
RF,3,train,5,2018,0.0044086046199823216,0.002557975123605484,67
RF,3,train,5,2019,0.0008188563915962583,0.0005405064071577761,59
RF,3,train,30,2018,0.004628046331445187,0.002630968915588295,67
RF,3,train,30,2019,0.001142865495266172,0.000693650706569864,59
RF,3,train,218,2018,0.004767633856924774,0.0025688279542107526,67
RF,3,train,218,2019,0.0029442122128795667,0.0017483892221012212,59
RF,3,train,2,2018,0.007411652998551706,0.0033036610091808664,67
RF,3,train,2,2019,0.0045080951752738095,0.002744527146612898,59
RF,3,train,17,2018,0.004665217641628175,0.0026654522604907397,67
RF,3,train,17,2019,0.0034232978485158804,0.00213280148264993,59
RF,3,train,254,2018,0.006214902253958645,0.0033332933383286535,67
RF,3,train,254,2019,0.004778601780820224,0.0022408814077137297,59
RF,3,train,282,2018,0.005951900902568742,0.002631852684055499,67
RF,3,train,282,2019,0.0031290784341048627,0.001885126679008416,59
RF,3,train,294,2018,0.00339045657328655,0.001640650805858333,67
RF,3,train,294,2019,0.003926687151298597,0.0021566152127457613,59
RF,3,train,301,2018,0.0037547993383503274,0.0022031219179366743,67
RF,3,train,301,2019,0.005203336847431992,0.0024829310412162312,59
RF,3,train,302,2018,0.005845247936516168,0.0027384881640145392,67
RF,3,train,302,2019,0.0060679321389901075,0.0034469401983367137,59
RF,3,train,335,2018,0.005787656023785242,0.0033958762329924226,67
RF,3,train,335,2019,0.0051270504292415435,0.0028626081957132256,59
RF,3,train,339,2018,0.006034850148631449,0.003491855796206517,67
RF,3,train,339,2019,0.005403799495281504,0.002976199851397767,59
RF,3,train,341,2018,0.007495182845459313,0.00412817070360695,67
RF,3,train,341,2019,0.0036155829976623546,0.0018760709211056057,59
RF,3,train,6,2018,0.005655476176350118,0.0029010745203960396,67
RF,3,train,6,2019,0.0009443738724751225,0.0006008659875434031,59
RF,3,train,362,2018,0.004393973406035743,0.0023639301404559444,67
RF,3,train,362,2019,0.006741834472505014,0.0030495337578157187,59
RF,3,val,33,2022,0.10624044483546201,0.0717638047256907,42
RF,3,val,106,2022,0.11409422021304243,0.07984273422042212,42
RF,3,val,122,2022,0.056667961151344065,0.038348513962426646,42
RF,3,val,133,2022,0.07386115483547986,0.0501963104633368,42
RF,3,val,5,2022,0.07433042018242565,0.05402390359561378,42
RF,3,val,30,2022,0.0733424807538681,0.04970405035910048,42
RF,3,val,218,2022,0.06259976011277504,0.04106837573962953,42
RF,3,val,2,2022,0.11168447226176684,0.07841763658604775,42
RF,3,val,17,2022,0.0828735200685784,0.05296787121384925,42
RF,3,val,254,2022,0.0755295213769292,0.05103867662685652,42
RF,3,val,282,2022,0.09959023672545887,0.07090010477488987,42
RF,3,val,294,2022,0.0976915131292358,0.06669548310599768,42
RF,3,val,301,2022,0.10206498870678332,0.06975480280128392,42
RF,3,val,302,2022,0.11824960989247361,0.07780053800970396,42
RF,3,val,335,2022,0.07229310251894021,0.049125265443249244,42
RF,3,val,339,2022,0.06195632863301886,0.04243095444485906,42
RF,3,val,341,2022,0.058194847082880016,0.040161016106327774,42
RF,3,val,6,2022,0.12346510333692774,0.08447402049609225,42
RF,3,val,362,2022,0.10793564403760661,0.07708841869223386,42
RF,3,test,33,2021,0.1174900418345556,0.058557252705693535,72
RF,3,test,106,2021,0.11715071417496165,0.059912216011254266,72
RF,3,test,122,2021,0.08346365896149019,0.04451819685617945,72
RF,3,test,133,2021,0.09390023002931305,0.0542654030990669,72
RF,3,test,5,2021,0.09180731471308687,0.05279923427365299,72
RF,3,test,30,2021,0.0917709873193102,0.0511775689368157,72
RF,3,test,218,2021,0.08608401612834699,0.04506236294056088,72
RF,3,test,2,2021,0.10333194943804297,0.059642367299011324,72
RF,3,test,17,2021,0.08643272830393492,0.04864003702131193,72
RF,3,test,254,2021,0.08275419828290773,0.043696811983749695,72
RF,3,test,282,2021,0.10684287972934461,0.05398341252645447,72
RF,3,test,294,2021,0.12277214717229416,0.07029788037392665,72
RF,3,test,301,2021,0.10496370731630303,0.06071905808289682,72
RF,3,test,302,2021,0.1170806747053744,0.06256602955270883,72
RF,3,test,335,2021,0.09006796789013106,0.04754059834685362,72
RF,3,test,339,2021,0.07760037441427499,0.042290741456278175,72
RF,3,test,341,2021,0.0960592137175495,0.05336516836721982,72
RF,3,test,6,2021,0.10356835389302357,0.05633326199909846,72
RF,3,test,362,2021,0.12227941475171306,0.06535058301265316,72
