epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,grad_norm,L_m,L_y
10,0.14820195734500885,0.1483798623085022,162.77627222495377,162.77627222495377,10,1.3100849390029907,0.00017790736455935985,0.0
20,0.10071840137243271,0.1007952094078064,88.85833279377132,88.85833279377132,20,0.9072027206420898,7.680586713831872e-05,0.0
30,0.07624132931232452,0.07627850025892258,109.33126661535859,109.33126661535859,20,0.4304122030735016,3.7173791497480124e-05,0.0
40,0.06569909304380417,0.06572668999433517,111.59878893041432,111.59878893041432,20,0.6008678078651428,2.7595158826443367e-05,0.0
50,0.055799081921577454,0.05583062395453453,100.39022281077862,100.39022281077862,20,0.528373658657074,3.154111254843883e-05,0.0
60,0.052548494189977646,0.052595384418964386,105.86151815578043,105.86151815578043,20,0.3495813310146332,4.689069101004861e-05,0.0
70,0.05108487978577614,0.05113445967435837,104.40200910019935,104.40200910019935,20,0.06955816596746445,4.958050340064801e-05,0.0
80,0.05034030228853226,0.05040522292256355,102.77274180333316,102.77274180333316,20,0.09864687919616699,6.49189023533836e-05,0.0
90,0.049928441643714905,0.04999445006251335,105.78009910062701,105.78009910062701,20,0.06291466951370239,6.600889901164919e-05,0.0
100,0.04958708584308624,0.04964562878012657,102.04965327741712,102.04965327741712,20,0.025256093591451645,5.854291521245614e-05,0.0
110,0.04936728999018669,0.04941624775528908,99.50727404636085,99.50727404636085,20,0.009494436904788017,4.895918027614243e-05,0.0
120,0.04919452965259552,0.04924359545111656,96.33676586447865,96.33676586447865,20,0.018669085577130318,4.90665333927609e-05,0.0
130,0.04900233447551727,0.04905262216925621,90.47326460273534,90.47326460273534,20,0.02290952578186989,5.028851592214778e-05,0.0
140,0.0488847978413105,0.04893413931131363,82.49696655331671,82.49696655331671,140,0.15559335052967072,4.93410843773745e-05,0.0
150,0.04972177371382713,0.049769699573516846,85.6488386009261,85.6488386009261,140,0.4988979995250702,4.792668914888054e-05,0.0
160,0.04846041277050972,0.04850923269987106,80.32911497596622,80.32911497596622,160,0.233075812458992,4.881994391325861e-05,0.0
170,0.047848179936409,0.04789551720023155,74.82582542841911,74.82582542841911,170,0.04671787843108177,4.7337449359474704e-05,0.0
180,0.04752422124147415,0.0475713387131691,71.48537003745675,71.48537003745675,180,0.15933510661125183,4.7116489440668374e-05,0.0
190,0.04706195741891861,0.04710829630494118,74.79246935452312,74.79246935452312,180,0.1790771633386612,4.6339690015884116e-05,0.0
200,0.04727967828512192,0.04732486605644226,79.01975712389857,79.01975712389857,180,0.42372599244117737,4.51888408861123e-05,0.0
210,0.04654819518327713,0.04659290611743927,80.0849360040763,80.0849360040763,180,0.334882527589798,4.471245119930245e-05,0.0
220,0.045823268592357635,0.045867305248975754,95.0464155661431,95.0464155661431,180,0.25142261385917664,4.40369731222745e-05,0.0
230,0.045875225216150284,0.04591899737715721,106.82973049256177,106.82973049256177,180,0.44503921270370483,4.377216100692749e-05,0.0
240,0.045688141137361526,0.04573244974017143,134.81667545937717,134.81667545937717,180,0.30163222551345825,4.4308315409580246e-05,0.0
250,0.04426345229148865,0.044305671006441116,144.51880334894477,144.51880334894477,180,0.05619227886199951,4.221706694806926e-05,0.0
260,0.0489531010389328,0.048998747020959854,188.45178267081678,188.45178267081678,180,0.7982034087181091,4.564430128084496e-05,0.0
270,0.043567411601543427,0.04361037164926529,182.62594464547098,182.62594464547098,180,0.0805041715502739,4.295822509448044e-05,0.0
280,0.04405961185693741,0.044104911386966705,222.48763237086655,222.48763237086655,180,0.39981040358543396,4.529808211373165e-05,0.0
290,0.05038709193468094,0.050425149500370026,236.65276254770637,236.65276254770637,180,1.010636568069458,3.80587880499661e-05,0.0
300,0.047410935163497925,0.047462500631809235,228.29097671246768,228.29097671246768,180,0.8202731609344482,5.1565766625571996e-05,0.0
310,0.04366393759846687,0.04370627924799919,314.70459404458165,314.70459404458165,180,0.5902754068374634,4.234063453623094e-05,0.0
320,0.041335079818964005,0.04138027876615524,327.2683980937028,327.2683980937028,180,0.4780668616294861,4.5197582949185744e-05,0.0
330,0.03941015526652336,0.03945961594581604,332.97895273179176,332.97895273179176,180,0.26557424664497375,4.946109766024165e-05,0.0
340,0.039847273379564285,0.03989650309085846,332.4548472940886,332.4548472940886,180,0.5090196132659912,4.9228983698412776e-05,0.0
350,0.03961547836661339,0.03966471552848816,331.4047858375168,331.4047858375168,180,0.4942314326763153,4.923624510411173e-05,0.0
360,0.03929794207215309,0.03935140371322632,334.54600401116255,334.54600401116255,180,0.46796488761901855,5.346271427697502e-05,0.0
370,0.03889109566807747,0.03894228860735893,333.7606799193585,333.7606799193585,180,0.3952583372592926,5.1194299885537475e-05,0.0
380,0.038077473640441895,0.03813055530190468,334.6543802997029,334.6543802997029,180,0.04653630033135414,5.308039180818014e-05,0.0
390,0.03881024196743965,0.03886489197611809,334.6226597746539,334.6226597746539,180,0.4196630120277405,5.4649852245347574e-05,0.0
400,0.038803789764642715,0.03885522857308388,334.48470025198816,334.48470025198816,180,0.4495985805988312,5.14384955749847e-05,0.0
410,0.03874970227479935,0.0388052761554718,335.2999985457695,335.2999985457695,180,0.4554419219493866,5.5572265409864485e-05,0.0
420,0.0382191501557827,0.038271550089120865,334.5230411659956,334.5230411659956,180,0.3300216794013977,5.2401333960006014e-05,0.0
430,0.03768923878669739,0.03774280846118927,335.00369704309344,335.00369704309344,180,0.06453782320022583,5.356948167900555e-05,0.0
440,0.03819659352302551,0.0382518470287323,335.00721575376036,335.00721575376036,180,0.3689010441303253,5.525523010874167e-05,0.0
450,0.039552878588438034,0.039607662707567215,334.6160915147424,334.6160915147424,180,0.6664732098579407,5.478280581883155e-05,0.0
460,0.03890841081738472,0.03896484524011612,335.04167305377246,335.04167305377246,180,0.5684686303138733,5.643447730108164e-05,0.0
470,0.03878050297498703,0.038837991654872894,335.2073912939215,335.2073912939215,180,0.4779059886932373,5.748882904299535e-05,0.0
