epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse,val_rmse_normalized,selection_rmse_normalized
20,0.09588680416345596,8.720494224689901e-05,0.2060927152633667,0.09616269916296005,0.9544973372071981,0.9544973372071981,0.06957484781742096,0.06957484781742096
40,0.033477783203125,2.7595040592132136e-05,0.20696277916431427,0.03375362977385521,0.5723560552485287,0.7634266962278634,0.0417199544608593,0.05564740113914013
60,0.025385363027453423,1.3163117728254292e-05,0.13647399842739105,0.025567157194018364,0.4116770605053752,0.6461768176537006,0.030007803812623024,0.04710086869696776
80,0.022933736443519592,1.3500824024959002e-05,0.04267587140202522,0.022990772500634193,0.3485542055480182,0.44419577376730734,0.025406677275896072,0.03237814518312613
100,0.02120533399283886,1.7443946489947848e-05,0.027262842282652855,0.02124194987118244,0.32726499187387526,0.36249875264242293,0.023854872211813927,0.026423117766777676
120,0.01985984481871128,2.228085941169411e-05,0.02209565043449402,0.01988968625664711,0.31184728659689426,0.32922216133959586,0.022731050848960876,0.023997533445556957
140,0.019936546683311462,2.3355874873232096e-05,0.015203285031020641,0.01995724067091942,0.3267463554237038,0.3219528779648244,0.023817067965865135,0.023467663675546646
160,0.018573308363556862,2.6132578568649478e-05,0.014399373903870583,0.018592990934848785,0.30784551166556773,0.3154797178953886,0.02243935503065586,0.022995824615160625
180,0.01826396957039833,2.8674521672655828e-05,0.016855759546160698,0.018286969512701035,0.3141472920645028,0.3162463863845914,0.022898701950907707,0.023051708315809567
200,0.0172923244535923,2.9423092200886458e-05,0.01169020589441061,0.017308467999100685,0.32862401051446793,0.31687227141484614,0.023953933268785477,0.02309733008344968
220,0.01636553183197975,2.8355580070638098e-05,0.012750998139381409,0.016383066773414612,0.31723920448869464,0.3200035023558885,0.023124076426029205,0.02332557054857413
240,0.015311220660805702,3.331125481054187e-05,0.017003649845719337,0.015334511175751686,0.3186976522989571,0.32152028910070657,0.023230385035276413,0.023436131576697033
