epoch,data_loss,objective,ode,capacity_diagnostic,capacity_penalty_used,val_rmse,selection_rmse,best_epoch
20,0.06677752733230591,0.06781475245952606,1.0372245924372692e-05,0.2735058665275574,False,0.8112510286122561,0.8112510286122561,
40,0.04721290245652199,0.05012233927845955,2.909435352194123e-05,0.4424588084220886,False,0.5941649272665381,0.7027079779393971,
60,0.04272839426994324,0.04441927745938301,1.690884164418094e-05,0.5048037171363831,False,0.5114240756258369,0.6389466771682104,
80,0.04191409796476364,0.042553819715976715,6.397208835551282e-06,0.49677854776382446,False,0.4813195933997631,0.5289695320973794,
100,0.040838662534952164,0.041377440094947815,5.387768851505825e-06,0.459239661693573,False,0.5205235232487321,0.5044223974247773,
120,0.04012906923890114,0.04066437855362892,5.353084816306364e-06,0.450280100107193,False,0.5007805341631174,0.5008745502705376,
140,0.03917206823825836,0.03965466469526291,4.825953055842547e-06,0.4113849401473999,False,0.5127884597927332,0.5113641724015277,
160,0.0380176305770874,0.038527317345142365,5.096882887301035e-06,0.39349183440208435,False,0.5457923701554537,0.5197871213704348,
180,0.035957928746938705,0.036539871245622635,5.819436410092749e-06,0.4057883024215698,False,0.6432370786815882,0.567272636209925,
200,0.036381226032972336,0.036983564496040344,6.0233883232285734e-06,0.42152419686317444,False,0.5516677389666438,0.5802323959345619,200.0
220,0.033852167427539825,0.034444551914930344,5.923856406298e-06,0.4026622474193573,False,0.5692390096262098,0.588047942424814,200.0
240,0.03331883251667023,0.033895645290613174,5.768109531345544e-06,0.4012382924556732,False,0.5785490366369486,0.5664852617432674,240.0
260,0.03464321792125702,0.03520222753286362,5.590080036199652e-06,0.4093238115310669,False,0.5835243547335267,0.5771041336655617,240.0
280,0.03445617854595184,0.03505996987223625,6.037906132405624e-06,0.38282912969589233,False,0.6059378066658974,0.5893370660121242,240.0
300,0.032636795192956924,0.03319675102829933,5.599544692813652e-06,0.39493605494499207,False,0.5980806593894958,0.59584760692964,240.0
320,0.03194703906774521,0.032512784004211426,5.6574463087599725e-06,0.39677345752716064,False,0.6034823229461909,0.602500263000528,240.0
340,0.033509451895952225,0.034138504415750504,6.290513738349546e-06,0.41911882162094116,False,0.5998588336631656,0.6004739386662841,240.0
360,0.031510550528764725,0.03216325864195824,6.52709150017472e-06,0.4035853445529938,False,0.6220012187361718,0.6084474584485093,240.0
380,0.0315576009452343,0.032284729182720184,7.271299637068296e-06,0.4221583306789398,False,0.6135428453087807,0.611800965902706,240.0
400,0.03380768373608589,0.03464130684733391,8.33621834317455e-06,0.43732884526252747,False,0.6254735072255134,0.6203391904234886,240.0
420,0.03492081165313721,0.035830412060022354,9.095995665120427e-06,0.43035829067230225,False,0.6215885732769967,0.6202016419370969,240.0
440,0.03230766952037811,0.033319901674985886,1.0122319508809596e-05,0.4214130938053131,False,0.6456254574358463,0.6308958459794521,240.0
460,0.027429653331637383,0.028196249157190323,7.665959856240079e-06,0.39944490790367126,False,0.6398316805362702,0.6356819037497043,240.0
480,0.027374833822250366,0.028198126703500748,8.23292248242069e-06,0.4020659327507019,False,0.6497438279539347,0.6450669886420171,240.0
