plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
Col-0:row3,Col-0,3,0.02255399,9.334374,1
Col-0:row4,Col-0,4,0.023269003,9.480633,3
Col-0:row5,Col-0,5,0.022954462,9.47999,3
Col-0:row6,Col-0,6,0.023010984,9.530099,4
Col-0:row7,Col-0,7,0.023192747,9.480928,3
Col-0:row8,Col-0,8,0.02329785,9.528239,4
Col-0:row9,Col-0,9,0.022547701,9.333419,1
Col-0:row10,Col-0,10,0.023109779,9.485133,3
Col-0:row11,Col-0,11,0.02309229,9.485826,3
Col-0:row12,Col-0,12,0.023379933,9.527925,4
Col-0:row13,Col-0,13,0.022697188,9.474599,3
Col-0:row14,Col-0,14,0.023085186,9.482405,3
Col-0:row15,Col-0,15,0.022875315,9.476868,3
Col-0:row16,Col-0,16,0.022163875,9.411601,2
Col-0:row17,Col-0,17,0.022821255,9.482935,3
Col-0:row18,Col-0,18,0.022132091,9.398964,2
Col-0:row19,Col-0,19,0.023188623,9.527898,4
Col-0:row20,Col-0,20,0.02264879,9.42005,2
Col-0:row21,Col-0,21,0.02206194,9.3980665,2
Col-0:row22,Col-0,22,0.022954145,9.475493,3
Col-0:row23,Col-0,23,0.022832895,9.477506,3
Col-0:row24,Col-0,24,0.023021974,9.531469,4
Col-0:row25,Col-0,25,0.022956364,9.479544,3
Col-0:row26,Col-0,26,0.023179784,9.485067,3
Col-0:row27,Col-0,27,0.02340185,9.530903,4
Col-0:row28,Col-0,28,0.023032697,9.482041,3
Col-0:row29,Col-0,29,0.021882668,9.319617,1
Col-0:row30,Col-0,30,0.021902826,9.408389,2
Col-0:row31,Col-0,31,0.021874003,9.319541,1
Col-0:row32,Col-0,32,0.02187139,9.407326,2
Col-0:row33,Col-0,33,0.021639619,9.321608,1
Col-0:row34,Col-0,34,0.02184083,9.408255,2
Col-0:row35,Col-0,35,0.021498358,9.3167095,1
hy5:row3,hy5,3,0.051874336,9.613257,4
hy5:row4,hy5,4,0.051545713,9.628473,3
hy5:row5,hy5,5,0.04667583,9.626552,2
hy5:row6,hy5,6,0.047393546,9.620162,2
hy5:row7,hy5,7,0.052208096,9.606055,3
hy5:row8,hy5,8,0.05083227,9.6180525,3
hy5:row9,hy5,9,0.049191587,9.635509,3
