epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse,best_epoch
20,0.0542186014354229,1.082819107978139e-05,0.2321784794330597,0.05545654892921448,0.7686528882086278,0.7686528882086278,
40,0.03455529361963272,9.483503163210116e-06,0.2349947988986969,0.035734452307224274,0.5054655445739628,0.6370592163912953,
60,0.030931133776903152,1.108874857891351e-05,0.21091294288635254,0.032118313014507294,0.46441597985848787,0.5795114708803595,
80,0.02969467081129551,7.0569121817243285e-06,0.17136135697364807,0.030561601743102074,0.4488417556658387,0.4729077600327631,
100,0.028930384665727615,5.053005679656053e-06,0.13207735121250153,0.029579266905784607,0.43289488170668483,0.4487175390770038,
120,0.028292501345276833,4.878912932326784e-06,0.10765250027179718,0.028859402984380722,0.4233977427855134,0.4350447933860123,
140,0.02771618403494358,5.169813903194154e-06,0.0933791995048523,0.028254812583327293,0.4159969601929188,0.42409652822837235,
160,0.027190258726477623,5.649449576594634e-06,0.09048774093389511,0.027744194492697716,0.41025520003959537,0.4165499676726759,
180,0.02690000832080841,6.1940268096805084e-06,0.0796612873673439,0.02744869329035282,0.40772899862006307,0.4113270529508591,
200,0.025949517264962196,5.9911853895755485e-06,0.0796276330947876,0.026487959548830986,0.4021783967576921,0.4067208651391168,200.0
220,0.025713542476296425,5.907448212383315e-06,0.07775409519672394,0.026242177933454514,0.3972870776727796,0.40239815768351156,220.0
240,0.024141639471054077,6.318851319520036e-06,0.072884701192379,0.024676235392689705,0.3863294738940895,0.3952649827748537,240.0
260,0.02390647865831852,7.256639491970418e-06,0.07452882081270218,0.02449289709329605,0.3710274719968438,0.3848813411879043,260.0
280,0.02232467196881771,8.139018063957337e-06,0.07421262562274933,0.022954260930418968,0.40754010785371064,0.3882990179148813,260.0
300,0.02143918350338936,7.5510097303777e-06,0.07512233406305313,0.022042101249098778,0.35201645624265077,0.37686134536440175,300.0
320,0.019678516313433647,6.760186806786805e-06,0.07925940304994583,0.02025430276989937,0.3452477162964642,0.3682680934642752,320.0
340,0.018959902226924896,6.779254817956826e-06,0.07930835336446762,0.019536789506673813,0.3345854874327779,0.34394988665729764,340.0
360,0.018626390025019646,6.801779363740934e-06,0.07756861299276352,0.019199185073375702,0.3318669342882931,0.3372333793391784,360.0
380,0.018265772610902786,6.819389909651363e-06,0.07786257565021515,0.018840329721570015,0.32767034297063946,0.3313742548972368,380.0
400,0.01790182664990425,6.836987722635968e-06,0.07744083553552628,0.01847599819302559,0.32361615816503764,0.3277178118079901,400.0
420,0.017509324476122856,6.881089120724937e-06,0.07838841527700424,0.01808854378759861,0.321216311570257,0.3241676042353113,420.0
440,0.017192339524626732,6.891404154885095e-06,0.07928169518709183,0.017774755135178566,0.31772814267501237,0.3208535374701023,440.0
460,0.016404440626502037,7.021479177637957e-06,0.08000585436820984,0.01699553057551384,0.31911906016618014,0.3193545048038165,460.0
480,0.016225261613726616,6.7854562075808644e-06,0.08036114275455475,0.01680561900138855,0.30743775800988077,0.31476165361702446,480.0
500,0.016222912818193436,6.581844445463503e-06,0.07999568432569504,0.016791991889476776,0.3017646501474083,0.3094404894411564,500.0
520,0.01517465990036726,6.478456725744763e-06,0.0828486904501915,0.015747128054499626,0.3048242867290974,0.30467556496212883,520.0
540,0.013199168257415295,6.180232958286069e-06,0.0804593563079834,0.013749558478593826,0.3224477266073227,0.3096788878279428,520.0
560,0.025139326229691505,1.1468749107734766e-05,0.08098878711462021,0.02595573104918003,0.3559001590013504,0.32772405744592353,520.0
580,0.015202278271317482,6.283411948970752e-06,0.07748949527740479,0.015748918056488037,0.3628737817294896,0.3470738891127209,520.0
600,0.012612362392246723,6.827302968304139e-06,0.0799717977643013,0.013193642720580101,0.30422843496873975,0.34100079189985993,520.0
620,0.011434526182711124,7.368888873315882e-06,0.08043253421783447,0.012044267728924751,0.30557280853390695,0.32422500841071206,520.0
640,0.011112394742667675,7.4500062510196585e-06,0.08086811751127243,0.011727498844265938,0.30624509974196557,0.30534878108153746,520.0
660,0.011018021032214165,7.699435627728235e-06,0.08166652917861938,0.011647991836071014,0.3080230777151883,0.3066136619970203,520.0
680,0.011015467345714569,7.796835234330501e-06,0.082218699157238,0.011651964858174324,0.31069893575832247,0.3083223710718255,520.0
700,0.010757668875157833,7.872874448366929e-06,0.08260984718799591,0.011399142444133759,0.31100302274152636,0.3099083454050124,520.0
720,0.010458343662321568,7.949153769004624e-06,0.08272004872560501,0.011103961616754532,0.3116192822232843,0.31110708024104433,520.0
740,0.010344799607992172,8.010191777430009e-06,0.08297416567802429,0.010994231328368187,0.31279281571134926,0.31180504022538663,520.0
760,0.01025386992841959,8.053419151110575e-06,0.08344729989767075,0.010906883515417576,0.31414682625606655,0.3128529747302334,520.0
780,0.010096915066242218,8.093195901892614e-06,0.08360005915164948,0.010752375237643719,0.3146128920689225,0.31385084467877944,520.0
800,0.009918306022882462,8.133773008012213e-06,0.08379115164279938,0.010576368309557438,0.3155645661763847,0.31477476150045797,520.0
820,0.009823220781981945,8.160128345480189e-06,0.08395619690418243,0.010483096353709698,0.31684485233575105,0.31567410352701947,520.0
