epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse
20,0.3074907660484314,0.0,0.0,0.3074907660484314,4.067982339262962,4.067982339262962
40,0.12324404716491699,0.0,0.0,0.12324404716491699,1.529253747023642,2.798618043143302
60,0.05363098531961441,0.0,0.0,0.05363098531961441,0.7411052692718804,2.112780451852828
80,0.0363432876765728,0.0,0.0,0.0363432876765728,0.5340104842968285,0.9347898335307836
100,0.03159496188163757,0.0,0.0,0.03159496188163757,0.4975967676825821,0.5909041737504304
120,0.028574157506227493,0.0,0.0,0.028574157506227493,0.4902914962805807,0.5072995827533304
140,0.025975843891501427,0.0,0.0,0.025975843891501427,0.44413305664435027,0.4773404402025043
160,0.02158433571457863,0.0,0.0,0.02158433571457863,0.4286514161881059,0.4543586563710123
180,0.01994079351425171,0.0,0.0,0.01994079351425171,0.4195714452657848,0.430785306032747
200,0.020874949172139168,0.0,0.0,0.020874949172139168,0.4131922884788364,0.4204717166442424
220,0.01844841241836548,0.0,0.0,0.01844841241836548,0.4174142079222947,0.41672598055563864
240,0.01811293140053749,0.0,0.0,0.01811293140053749,0.42521082449890674,0.41860577363334595
260,0.018252870067954063,0.0,0.0,0.018252870067954063,0.4173455453217029,0.41999019258096815
280,0.0185952577739954,0.0,0.0,0.0185952577739954,0.42627140230871735,0.4229425907097757
300,0.017949843779206276,0.0,0.0,0.017949843779206276,0.4204096042905003,0.4213421839736402
320,0.017504751682281494,0.0,0.0,0.017504751682281494,0.41541103340685365,0.42069734666869046
340,0.017113836482167244,0.0,0.0,0.017113836482167244,0.4180598203539848,0.41796015268377956
360,0.017149051651358604,0.0,0.0,0.017149051651358604,0.4209145951028913,0.4181284829545766
380,0.016910670325160027,0.0,0.0,0.016910670325160027,0.416401466505602,0.418458627320826
400,0.01690729893743992,0.0,0.0,0.01690729893743992,0.42979179798066613,0.42236928652971983
420,0.015860935673117638,0.0,0.0,0.015860935673117638,0.4059128262419253,0.4173686969093978
440,0.015049274079501629,0.0,0.0,0.015049274079501629,0.3931805773694068,0.40962840053066607
460,0.014706099405884743,0.0,0.0,0.014706099405884743,0.3796350587066263,0.39290948743931947
480,0.014871671795845032,0.0,0.0,0.014871671795845032,0.3793575207442045,0.3840577189400792
500,0.01405577827244997,0.0,0.0,0.01405577827244997,0.3748252013716847,0.3779392602741718
520,0.014902072958648205,0.0,0.0,0.014902072958648205,0.37098050459660586,0.37505440890416497
540,0.013673628680408001,0.0,0.0,0.013673628680408001,0.35800626285932957,0.36793732294254006
560,0.014198939315974712,0.0,0.0,0.014198939315974712,0.3593768317401409,0.36278786639869215
580,0.011279885657131672,0.0,0.0,0.011279885657131672,0.32682797371409833,0.34807035610452297
600,0.010582469403743744,0.0,0.0,0.010582469403743744,0.3153818900864571,0.3338622318468988
620,0.010578187182545662,0.0,0.0,0.010578187182545662,0.3191390401292592,0.32044963464327153
640,0.009480631910264492,0.0,0.0,0.009480631910264492,0.3135335961151868,0.31601817544363436
660,0.0101960189640522,0.0,0.0,0.0101960189640522,0.3203744303137064,0.3176823555193841
680,0.009666110388934612,0.0,0.0,0.009666110388934612,0.31525662619806827,0.3163882175423205
700,0.008475685492157936,0.0,0.0,0.008475685492157936,0.3161073065008968,0.3172461210042238
720,0.008503617718815804,0.0,0.0,0.008503617718815804,0.3136061684209853,0.31499003370665013
740,0.009194544516503811,0.0,0.0,0.009194544516503811,0.3106676288768649,0.3134603679329157
760,0.009298683144152164,0.0,0.0,0.009298683144152164,0.3116860431991517,0.3119866134990007
780,0.009563775733113289,0.0,0.0,0.009563775733113289,0.31637199098803104,0.31290855435468257
800,0.009237982332706451,0.0,0.0,0.009237982332706451,0.3132171144224703,0.31375838286988433
820,0.007773588877171278,0.0,0.0,0.007773588877171278,0.3108775519374758,0.31348888578265904
840,0.00768715376034379,0.0,0.0,0.00768715376034379,0.31191845345310865,0.31200437327101826
860,0.008537492714822292,0.0,0.0,0.008537492714822292,0.3128979495987296,0.311897984996438
880,0.009375907480716705,0.0,0.0,0.009375907480716705,0.3094297599904239,0.31141538768075405
900,0.008177473209798336,0.0,0.0,0.008177473209798336,0.32725931896828114,0.31652900951914487
920,0.008511840365827084,0.0,0.0,0.008511840365827084,0.30830021293647586,0.31499643063172694
940,0.008841604925692081,0.0,0.0,0.008841604925692081,0.31211598300375043,0.3158918383028358
960,0.007945149205625057,0.0,0.0,0.007945149205625057,0.30996163322031495,0.31012594305351376
980,0.007649742998182774,0.0,0.0,0.007649742998182774,0.3099494696930051,0.3106756953056901
1000,0.007683160249143839,0.0,0.0,0.007683160249143839,0.30895154938101765,0.30962088409811256
1020,0.007617074530571699,0.0,0.0,0.007617074530571699,0.3089130400624126,0.3092713530454784
1040,0.007599531207233667,0.0,0.0,0.007599531207233667,0.30824920789338645,0.30870459911227227
1060,0.007388304453343153,0.0,0.0,0.007388304453343153,0.3082652044650167,0.30847581747360525
1080,0.007610725704580545,0.0,0.0,0.007610725704580545,0.3065533924251795,0.3076892682611942
1100,0.007617812603712082,0.0,0.0,0.007617812603712082,0.30735575081594285,0.3073914492353797
1120,0.007119696121662855,0.0,0.0,0.007119696121662855,0.3073549330998212,0.30708802544698116
1140,0.007167179137468338,0.0,0.0,0.007167179137468338,0.30745980519242583,0.30739016303606326
1160,0.00727893877774477,0.0,0.0,0.00727893877774477,0.30838116683252154,0.30773196837492284
1180,0.007283526007086039,0.0,0.0,0.007283526007086039,0.3071002400815487,0.30764707070216535
1200,0.007181825581938028,0.0,0.0,0.007181825581938028,0.30819569859467444,0.3078923685029149
1220,0.007128601428121328,0.0,0.0,0.007128601428121328,0.3076681694816798,0.30765470271930095
1240,0.00708043435588479,0.0,0.0,0.00708043435588479,0.3084543013181537,0.30810605646483596
1260,0.007178219500929117,0.0,0.0,0.007178219500929117,0.30699672233127057,0.307706397710368
1280,0.007035459857434034,0.0,0.0,0.007035459857434034,0.3081140547506511,0.30785502613335847
1300,0.007115633226931095,0.0,0.0,0.007115633226931095,0.30821764916181565,0.30777614208124576
1320,0.007017140276730061,0.0,0.0,0.007017140276730061,0.3082531942594796,0.30819496605731544
