epoch,data_loss,objective,ode,capacity,val_rmse,selection_rmse,best_epoch
20,0.08374946564435959,0.11158005893230438,1.4371086763276253e-05,0.2064504772424698,1.0994824510365724,1.0994824510365724,
40,0.05793531611561775,0.07194434851408005,1.5990721294656396e-05,0.06013668701052666,1.2364732317328453,1.1679778413847088,
60,0.04915230721235275,0.05737680569291115,9.423463779967278e-06,0.0351276658475399,0.9646863174885512,1.1002140000859897,
80,0.04237600415945053,0.04767266660928726,7.941949661471881e-06,0.013256893493235111,0.6668991622924805,0.9560195705046257,
100,0.042004529386758804,0.04601585865020752,5.542432973015821e-06,0.012401128187775612,0.5923784900680185,0.7413213232830167,
120,0.03946578875184059,0.04215865209698677,3.3720643841661513e-06,0.010068321600556374,0.5737103250771761,0.6109959924792251,
140,0.03793301805853844,0.04028400033712387,2.2718002128385706e-06,0.012150833383202553,0.557955824777484,0.5746815466408928,
160,0.03704270347952843,0.03927468881011009,2.126235358446138e-06,0.01168870646506548,0.5565065220668912,0.5627242239738505,
180,0.034287892282009125,0.03674549236893654,1.6373265907532186e-06,0.016389383003115654,0.5481299551725388,0.5541974340056379,
200,0.03458796814084053,0.037264708429574966,1.7294532881351188e-06,0.018120134249329567,0.5494250523895026,0.5513538432096442,200.0
220,0.030694294720888138,0.032893821597099304,2.245664518341073e-06,0.010766932740807533,0.54651786211133,0.5480242898911238,220.0
240,0.036687206476926804,0.03987745940685272,2.224263653261005e-06,0.020781204104423523,0.5632106157392264,0.5530511767466862,220.0
260,0.030456451699137688,0.033431123942136765,3.2073742204374867e-06,0.01370986457914114,0.5562499063834548,0.5553261280780037,220.0
280,0.03106924518942833,0.033516913652420044,3.158027311656042e-06,0.008686553686857224,0.5660625767707825,0.5618410329644878,220.0
300,0.027882248163223267,0.03030250035226345,3.5091959489363944e-06,0.006656527053564787,0.5777811927199364,0.5666978919580579,220.0
320,0.030792145058512688,0.03359726443886757,4.092714789294405e-06,0.007587641943246126,0.5680058306902647,0.5706165333936613,220.0
340,0.02747362107038498,0.02984921634197235,2.9574036943813553e-06,0.008968936279416084,0.5704797718524933,0.5720889317542315,220.0
360,0.028829777613282204,0.03140086680650711,3.2865079901966965e-06,0.009278370067477226,0.5640707826390863,0.5675187950606148,220.0
380,0.027276212349534035,0.02944205515086651,3.3658961910987273e-06,0.004828949458897114,0.5660857558846474,0.566878770125409,220.0
400,0.02629944123327732,0.028871258720755577,3.5963041682407493e-06,0.007736652623862028,0.5719698884040118,0.5673754756425817,220.0
420,0.025987055152654648,0.028784289956092834,3.690829089464387e-06,0.009518214501440525,0.574882837690413,0.5709794939930241,220.0
440,0.02237534150481224,0.025230083614587784,4.049119979754323e-06,0.008301823399960995,0.576777694478631,0.5745434735243519,220.0
460,0.02240198850631714,0.024776214733719826,3.4470047012291616e-06,0.00650724396109581,0.5740968224927783,0.5752524515539408,220.0
480,0.026901530101895332,0.030812647193670273,3.2095922506414354e-06,0.02306322194635868,0.5697445861622691,0.5735397010445595,220.0
500,0.020620500668883324,0.02331601455807686,3.6239846394892083e-06,0.008835206739604473,0.5769856984093785,0.573609035688142,220.0
