architecture,candidate,epochs,val_rrmse_percent_mean,val_rrmse_percent_sd
c038,c038,1500,20.415014374554,0.6607840601027608
c038,l161,3000,20.22299997029933,0.47094136521854424
c038,l164,4500,19.9806981356416,0.8080475853142783
c052,c052,1500,19.678406516733045,1.5743487125309619
c052,l160,3000,18.640579503083284,1.0260328064546953
c052,l163,4500,19.11099286390338,1.3811396352180507
c056,c056,1500,20.732711922074312,1.8172063798133578
c056,l162,3000,20.668389423738272,1.9049596841036207
c056,l165,4500,21.03480308489353,1.2853611030513927
