model,model_key,n_runs,n_params,seconds_mean,train_rmse_mean,train_rmse_sd,train_mae_mean,train_mae_sd,train_pooled_rmse_mean,train_pooled_rmse_sd,val_rmse_mean,val_rmse_sd,val_mae_mean,val_mae_sd,val_pooled_rmse_mean,val_pooled_rmse_sd,test_rmse_mean,test_rmse_sd,test_mae_mean,test_mae_sd,test_pooled_rmse_mean,test_pooled_rmse_sd,train_rrmse_percent_mean,train_rrmse_percent_sd,train_rmae_percent_mean,train_rmae_percent_sd,val_rrmse_percent_mean,val_rrmse_percent_sd,val_rmae_percent_mean,val_rmae_percent_sd,test_rrmse_percent_mean,test_rrmse_percent_sd,test_rmae_percent_mean,test_rmae_percent_sd
Logi-ODE,logistic,1,804.0,3.771627008914948,47.28625088016508,,40.10157337043965,,48.1947144109062,,124.62530847371362,,93.46928119404276,,127.10697532654216,,128.9824124057761,,98.042835969149,,132.11165494035808,,15.154172160807313,,12.851645784204049,,49.16947871525819,,36.87722733436874,,41.865514316982235,,31.82304995219748,
Temp-ODE,temperature,1,806.0,0.3084985874593258,47.345803330887584,,40.16993847614271,,48.42435658709526,,110.11814754161058,,83.245413765948,,112.70812852969144,,110.29360879203124,,86.2217515390649,,113.60103387443772,,15.173257372132989,,12.873555251804714,,43.44584561532232,,32.8435183064841,,35.79944406240335,,27.986125442730174,
RF,rf,3,,80.32523612057169,7.031094165341653,0.005124802108526,5.401718918594592,0.0118437465363351,9.040967920475971,0.1216342807146485,131.77619549108184,0.9482310339391344,108.0788304829461,0.8408947419577542,134.23915470631133,0.891310901553432,139.60797795750725,0.3097721820096432,117.62803193444944,0.3688457648044729,143.186171095757,0.2721490697847956,2.2533063940818656,0.0016423829759624245,1.731128540178032,0.003795652450760775,51.990778748949694,0.37411362275786564,42.641256580095856,0.3317653261832064,45.31439357450892,0.10054682246233733,38.18007403627694,0.11972111049218057
LSTM-NN,lstm,3,2366.0,16.33275671924154,42.62062619471329,1.7299031847317696,33.80810146338129,1.633850111716044,43.666077439814615,2.263841815728292,40.92247373198706,2.2091516433745757,32.817461359770626,2.272333008462416,43.83271310786549,2.059714598784379,98.76747410696876,10.19612580460963,74.32322013218878,10.14657759396109,102.67488989569485,10.295763987326232,13.658945146506069,0.5543947806179422,10.834730613439852,0.5236119467505722,16.145490236159027,0.8715953126855845,12.947751043347663,0.8965227918945348,32.05825526250044,3.3094903629785155,24.124062951617027,3.293407849994021
Logi-PINN,pinn,3,3170.0,507.272457929949,33.18233847775024,2.071961668099372,25.942042676356067,1.92797735834382,34.052144766194175,2.1638863271090947,48.14495290243306,8.372141083104617,37.8007130145518,6.696540473810808,51.53177991050478,8.955323410945507,108.70548254537329,44.42018762790154,86.8386238089637,32.42844509979563,113.42845387117852,43.25051398279149,10.634187752891537,0.664016775373962,8.313836973812924,0.6178730659895942,18.995036128497137,3.303131746098574,14.913835534317805,2.642042842865703,35.28396508448298,14.418043254210907,28.186351770998492,10.52572600620834
Latent Neural ODE (ours),latent,3,3187.0,214.9133513855437,57.53144920294304,19.402347019288893,47.84127085467842,15.891330049269172,58.70573122204839,19.946054064181507,99.24163265785288,38.65931152703978,86.40364265759648,34.0006271109207,102.093544416816,39.12382301139336,79.61073226909198,13.11718825491598,70.62585927347725,10.61057141246,83.90442211198614,13.041731694375407,18.437526123430654,6.218012669246407,15.332043488939826,5.092811270682724,39.15464205785298,15.252585679065769,34.08956110603775,13.414555450335886,25.840300157448866,4.257617937530092,22.92396201476631,3.4440124129653324
Latent Neural ODE (tuned),latent_tuned,3,9003.0,456.2198497951031,41.897380504492105,14.370437333043828,34.35545475763632,13.404114450899527,42.99116030261818,15.23598697826566,47.24654463297455,2.6005900072494796,40.648311423094384,2.8973251212160296,49.33937197305155,2.3220889773875135,56.68436718577385,4.369631696293635,48.78986444543108,3.111955001798807,59.5546178529209,3.98270455856263,13.427161287558368,4.605399610193809,11.01014494423437,4.2957150180265575,18.640579503083288,1.0260328064546946,16.03732265786599,1.1431062247590147,18.398788964338056,1.4183087052644416,15.836366605067042,1.0100880752000734
