model,model_key,seed,candidate,best_epoch,n_params,epochs,seconds,y_scale,train_rmse,train_mae,train_pooled_rmse,val_rmse,val_mae,val_pooled_rmse,test_rmse,test_mae,test_pooled_rmse,train_rrmse_percent,train_rmae_percent,val_rrmse_percent,val_rmae_percent,test_rrmse_percent,test_rmae_percent
Latent Neural ODE (tuned),latent_tuned,1,l160,190,9003,3000,496.6790282763541,874.58028,58.48367725889038,49.832867973660385,60.56383017794292,49.81507697437153,43.033461730676,51.71199564970223,61.67854509952554,52.34005823368562,64.1389501811219,18.742693643112997,15.970305246940192,19.653964327052726,16.978356214513614,20.01981483174046,16.988699594487667
Latent Neural ODE (tuned),latent_tuned,2,l160,730,9003,3000,485.2911250963807,874.58028,33.17933316963633,26.529890115186898,33.47253150896515,44.61504069773553,37.42404082812348,47.071353203227645,53.56492673207321,46.53377172741364,56.94644784508755,10.633224619724773,8.502228760569459,17.602349962731584,14.765223865628347,17.386271237777613,15.104076983366891
Latent Neural ODE (tuned),latent_tuned,3,l160,910,9003,3000,386.68939601257443,874.58028,34.0291310849496,26.70360618406169,34.937119220946485,47.30951622681658,41.487431710483655,49.23476706622477,54.809629725722786,47.49576337519399,57.57845553255324,10.905565599837331,8.55790082519346,18.66542421946555,16.368387893456003,17.790280823496087,15.41632323734657
