split,curve,genotype,rmse,n_observed
train,0,35S::PIF4,1.7047189317135119,4
train,1,35S::PIF4,1.7118040189390826,4
train,2,Col-0,0.7334695165815209,4
train,3,Col-0,1.6190616178575075,4
train,4,phyb,1.0262179615378788,4
train,5,phyb,0.3353529354402601,4
train,6,pif3,2.7004631152876244,4
train,7,pif3,1.0125124399810534,4
train,8,pif3pif7,1.5969726465236744,4
train,9,pif3pif7,1.1755999657683043,4
train,10,pif4,1.4893340900240135,4
train,11,pif4,3.165084549861689,4
train,12,pif7-1,1.0726680007010232,4
train,13,pif7-1,0.40842914047392387,4
train,14,pif7-2,1.4592903935326897,4
train,15,pif7-2,1.3161997972408124,4
train,16,pifq,1.9546796571005882,4
train,17,pifq,0.6141441491359376,4
val,0,35S::PIF4,4.642845514549251,4
val,1,35S::PIF4,3.216992649080078,4
val,2,Col-0,2.3562245491093465,4
val,3,Col-0,1.759967088616419,4
val,4,phyb,2.482509534415398,4
val,5,phyb,3.9120119787149537,4
val,6,pif3,4.210315379333209,4
val,7,pif3,2.2589939850131295,4
val,8,pif3pif7,2.809798259229264,4
val,9,pif3pif7,3.47569366840739,4
val,10,pif4,2.5524355822875258,4
val,11,pif4,2.597691665703958,4
val,12,pif7-1,3.346220930061304,4
val,13,pif7-1,5.091253501239785,4
val,14,pif7-2,6.60705832299469,4
val,15,pif7-2,2.5252184148695656,4
val,16,pifq,2.309764788173748,4
val,17,pifq,3.2646790243905865,4
test,0,35S::PIF4,5.773975268168923,4
test,1,35S::PIF4,3.3629525781548772,4
test,2,Col-0,3.02688111749553,4
test,3,Col-0,3.1231717394484746,4
test,4,phyb,2.6319875302535887,4
test,5,phyb,1.4023741025694643,4
test,6,pif3,5.156536203392794,4
test,7,pif3,2.082582470879484,4
test,8,pif3pif7,0.860536503518751,4
test,9,pif3pif7,1.0837496083878853,4
test,10,pif4,2.7823906840788593,4
test,11,pif4,1.5825736403008681,4
test,12,pif7-1,2.0643628700580714,4
test,13,pif7-1,1.8286794135000843,4
test,14,pif7-2,4.884566055043379,4
test,15,pif7-2,4.064838530530082,4
test,16,pifq,5.692641527252469,4
test,17,pifq,0.8149272788859119,4
