epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse,val_rmse_normalized,selection_rmse_normalized
20,0.05718119069933891,2.4769522497081198e-05,0.18943779170513153,0.06031404435634613,0.6281944650113582,0.6281944650113582,0.04579010605812073,0.04579010605812073
40,0.03060479275882244,9.47690296015935e-06,0.21892085671424866,0.03326784819364548,0.4158159306552261,0.5220051978332921,0.030309492722153664,0.038049799390137196
60,0.022979844361543655,9.328410669695586e-06,0.12435302883386612,0.024689795449376106,0.36631282765232026,0.4701077411063015,0.026701131835579872,0.03426691020528475
80,0.01989561691880226,8.601216904935427e-06,0.04850184917449951,0.020810695365071297,0.3099074339736253,0.3640120640937239,0.022589651867747307,0.026533425475160282
100,0.020645469427108765,9.491144737694412e-06,0.022163836285471916,0.021341664716601372,0.3189796877000481,0.3317333164419979,0.023250943049788475,0.024180575584371884
120,0.0179225355386734,9.83014251687564e-06,0.01768803596496582,0.01859092339873314,0.29754193078167734,0.3088096841517836,0.02168831042945385,0.02250963511566321
140,0.022210774943232536,1.0103553904627915e-05,0.033437687903642654,0.023050328716635704,0.300342915141955,0.3056215112078935,0.021892478689551353,0.02227724405626456
160,0.037342239171266556,1.6297346519422717e-05,0.04114576056599617,0.038568563759326935,0.7368212545104325,0.44490203347802165,0.05370808765292168,0.032429625590642296
180,0.015226800926029682,1.1242054824833758e-05,0.01834668219089508,0.01597237028181553,0.38983537737652657,0.4756665156763047,0.028415728360414505,0.034672098234295845
200,0.03313801810145378,9.79774722509319e-06,0.0567154698073864,0.034195058047771454,0.3443123287204653,0.4903229868691414,0.025097480043768883,0.03574043201903502
220,0.02097461186349392,1.1736093256331515e-05,0.022290099412202835,0.02178431674838066,0.44866892797127367,0.39427221135608853,0.032704200595617294,0.028739136333266895
240,0.014385150745511055,1.1301533959340304e-05,0.01673145592212677,0.015117541886866093,0.29984635702706874,0.36427587123960253,0.021856283769011497,0.026552654802799225
260,0.013468833640217781,1.1973075743298978e-05,0.013848054222762585,0.014205968007445335,0.2908025444895029,0.3464392764959484,0.021197065711021423,0.025252516691883404
