dataset,model,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,n_seeds
wheat,LSTM-NN,train,0.034333333333333334,0.0005773502691896258,11.46944926458134,0.1928705714668774,3
wheat,LSTM-NN,val,0.074,0.010440306508910542,22.201408216521955,3.1322906312153265,3
wheat,LSTM-NN,test,0.05666666666666667,0.012741009902410928,19.132041612064118,4.301674087634944,3
wheat,Logi-PINN,train,0.034333333333333334,0.00251661147842358,11.46944926458134,0.8407033302070577,3
wheat,Logi-PINN,val,0.06633333333333334,0.0032145502536643227,19.901262320215626,0.9644262488395364,3
wheat,Logi-PINN,test,0.06566666666666666,0.0030550504633038945,22.17065998574489,1.0314591633685732,3
wheat,Logi-ODE,train,0.0972973345187225,,32.503306073053004,,1
wheat,Logi-ODE,val,0.0599008141782931,,17.971384163166366,,1
wheat,Logi-ODE,test,0.1059042303935416,,35.75583781381523,,1
wheat,Temp-ODE,train,0.089822876314801,,30.00637638906917,,1
wheat,Temp-ODE,val,0.0574134174229856,,17.22511780153077,,1
wheat,Temp-ODE,test,0.0934332723601909,,31.545339789643982,,1
wheat,RF,train,0.004874553600395099,0.0001463367058662425,1.628401316714968,0.04888547835375209,3
wheat,RF,val,0.0880853248284839,5.4914062832623554e-05,26.427273708136585,0.016475263861821902,3
wheat,RF,test,0.0992905763479741,0.00047150581242727264,33.52290773603417,0.15919180277098025,3
arabidopsis,Logi-ODE,train,4.94420677423477,,23.49990893748529,,1
arabidopsis,Logi-ODE,val,5.27441576123237,,26.19453808213966,,1
arabidopsis,Logi-ODE,test,5.17875999212265,,26.003955566765008,,1
arabidopsis,Temp-ODE,train,3.67778092622756,,17.480562768684894,,1
arabidopsis,Temp-ODE,val,4.1743230074644,,20.731104246630263,,1
arabidopsis,Temp-ODE,test,4.121226817369459,,20.69379527192765,,1
arabidopsis,RF,train,0.15279362754274664,0.017500856058080477,0.7262310209585289,0.08318190206690587,3
arabidopsis,RF,val,3.2166210313638004,0.008028206063508599,15.974831320878565,0.039870794981225775,3
arabidopsis,RF,test,2.877542686959103,0.009632991231474382,14.44892064644303,0.048369856170073944,3
arabidopsis,LSTM-NN,train,1.7013594197730166,0.12163520862083314,8.086593716701262,0.5781344625547155,3
arabidopsis,LSTM-NN,val,3.3427546421686767,0.10257502695125673,16.601253624548864,0.5094223837074593,3
arabidopsis,LSTM-NN,test,2.9508156081040666,0.06447782470499117,14.816843815039173,0.323760608952842,3
arabidopsis,Logi-PINN,train,1.7214055483539832,0.034144363320289674,8.181873347532386,0.16228880898279313,3
arabidopsis,Logi-PINN,val,3.31590647498766,0.07456879780542604,16.467916517749668,0.3703339483039146,3
arabidopsis,Logi-PINN,test,2.987346177299813,0.1257088623133987,15.000273690074854,0.6312182211414556,3
maize,Logi-ODE,train,47.28625088016508,,15.154172160807311,,1
maize,Logi-ODE,val,124.62530847371362,,49.169478715258194,,1
maize,Logi-ODE,test,128.9824124057761,,41.86551431698224,,1
maize,Temp-ODE,train,47.345803330887584,,15.173257372132989,,1
maize,Temp-ODE,val,110.11814754161058,,43.44584561532233,,1
maize,Temp-ODE,test,110.29360879203124,,35.79944406240335,,1
maize,RF,train,7.031094165341653,0.005124802108526302,2.2533063940818656,0.0016423829759624922,3
maize,RF,val,131.77619549108184,0.9482310339391447,51.99077874894969,0.3741136227578613,3
maize,RF,test,139.60797795750725,0.30977218200964324,45.31439357450892,0.10054682246233258,3
maize,LSTM-NN,train,42.62062619471329,1.7299031847317679,13.658945146506065,0.5543947806179411,3
maize,LSTM-NN,val,40.922473731987054,2.2091516433745717,16.145490236159027,0.8715953126855839,3
maize,LSTM-NN,test,98.76747410696875,10.196125804609634,32.05825526250043,3.3094903629785217,3
maize,Logi-PINN,train,33.18233847775024,2.0719616680993718,10.634187752891535,0.6640167753739606,3
maize,Logi-PINN,val,48.14495290243306,8.372141083104621,18.995036128497137,3.303131746098577,3
maize,Logi-PINN,test,108.70548254537329,44.42018762790154,35.28396508448298,14.418043254210911,3
wheat,Original PhytoODE,train,0.022441050037741602,0.00019311050637910526,7.496693733547819,0.06451081035066283,3
