dataset,lambda_ode,seed,best_epoch,data_loss,weighted_ode_loss,raw_ode_loss,weighted_maximum_height_loss,weighted_ode_to_data_ratio,selected_positive
wheat,0.01,1,1320,0.0292433835566043,1.6623775081825443e-05,0.0016623775081825443,0.0015006499597802,0.0005684627789273428,False
wheat,0.1,1,1250,0.0292588267475366,5.012433030060493e-05,0.0005012433030060492,0.0015014280797913,0.001713135346577937,False
wheat,0.5,1,1220,0.029252789914608,6.065172055969015e-05,0.0001213034411193803,0.0015058474382385,0.002073365334955707,False
wheat,1.0,1,1270,0.0292532723397016,6.40305588603951e-05,6.40305588603951e-05,0.0014961584238335,0.0021888340598906226,False
wheat,10.0,1,1500,0.0293245371431112,0.0001630087790545,1.630087790545e-05,0.0014526157174259,0.005558784381113185,False
wheat,100.0,1,610,0.0294446349143981,0.0009220357169397,9.220357169396999e-06,0.0006191820139065,0.03131421801018272,False
wheat,100.0,2,610,0.0295794047415256,0.0008103898726403,8.103898726402999e-06,0.0009204150992445,0.027397098749002848,False
wheat,100.0,3,680,0.0291732065379619,0.0009323200210928,9.323200210928e-06,0.0002657195727806,0.03195809208972658,False
wheat,1.414213562,1,1230,0.0292139761149883,6.659935024799779e-05,4.7092852195401156e-05,0.0015481304144486,0.002279708519848787,False
wheat,3.16227766,1,1200,0.0292478557676076,8.314011938637123e-05,2.629121422132528e-05,0.0015157175948843,0.002842605627126008,True
wheat,3.16227766,2,840,0.0292438901960849,6.746352300979197e-05,2.1333839170148003e-05,0.0015564595814794,0.002306927107079065,True
wheat,3.16227766,3,920,0.0292197372764349,6.592203862965107e-05,2.084637900824024e-05,0.0015637023607268,0.0022560791018068392,True
wheat,5.0,1,1180,0.0292862281203269,0.0001049987549777,2.099975099554e-05,0.0015056345146149,0.0035852604352563508,False
wheat,50.0,1,890,0.0290354173630476,0.0004967752611264,9.935505222528e-06,0.0006751675973646,0.01710928604589749,False
wheat,500.0,1,600,0.0298084132373332,0.0026350815314799,5.2701630629598e-06,0.0006208268459886,0.08840059719044766,False
maize,0.01,1,390,0.0607699453830719,1.2613327271537855e-05,0.0012613327271537855,0.0144210513681173,0.00020755864090428209,False
maize,0.1,1,750,0.0525003150105476,6.828936602687463e-05,0.0006828936602687463,0.0236713215708732,0.0013007420243698522,False
maize,1.0,1,230,0.0570430196821689,0.0001351483952021,0.0001351483952021,0.0209262371063232,0.002369236340486829,False
maize,10.0,1,350,0.0507130809128284,0.0002698949247132,2.6989492471320002e-05,0.0063497703522443,0.005321998187748189,False
maize,100.0,1,230,0.0530159510672092,0.0020372946746647,2.0372946746647e-05,0.0044195326045155,0.03842795674988434,False
maize,2.0,1,740,0.0488563850522041,0.0001146872964454,5.73436482227e-05,0.0085548385977745,0.002347437214661997,False
maize,223.6067977,1,400,0.0478300489485263,0.0025797351263463,1.153692621548732e-05,0.0139409461989998,0.05393544817657529,False
maize,223.6067977,2,450,0.0456792302429676,0.0013288420159369,5.942762159313818e-06,0.0085413437336683,0.029090726986177217,False
maize,223.6067977,3,320,0.0496830902993679,0.0023380438797175,1.0456050101188404e-05,0.0093005346134305,0.04705914760192053,False
maize,5.0,1,140,0.0775075778365135,0.0002269721007905,4.53944201581e-05,0.0300297513604164,0.0029283859349759525,False
maize,50.0,1,550,0.0629768148064613,0.0018867237959057,3.7734475918114e-05,0.0339863896369934,0.029959022248170694,False
maize,50.0,2,540,0.0475966483354568,0.0006919316365383,1.3838632730765999e-05,0.0058317049406468,0.014537402542751108,False
maize,50.0,3,580,0.048514787107706,0.0006954113487154,1.3908226974308e-05,0.0082338107749819,0.014334008045248994,False
maize,500.0,1,490,0.0631089061498642,0.0028942385688424,5.7884771376848e-06,0.013800592161715,0.04586101622438956,True
maize,500.0,2,340,0.0455815978348255,0.0015716195339336,3.1432390678672e-06,0.0018017599359154,0.03447925497541121,True
maize,500.0,3,230,0.0500965677201747,0.002667307620868,5.334615241736e-06,0.0094587747007608,0.053243320695478144,True
maize,5000.0,1,350,0.0824897289276123,0.0431918203830719,8.638364076614379e-06,0.0189536456018686,0.5236024041365716,False
arabidopsis,0.01,1,650,0.0343424417078495,1.5965624697855674e-06,0.00015965624697855674,0.0004612245538737,4.6489486198083816e-05,False
