dataset,variant,seed,split,rmse,relative_error,unit,source
maize,no_ode_residual,3,train,32.59564968974754,10.446167287476763,relative UAV height,experiments/results/physics_ablation_20260908/maize/no_ode_residual_seed3
maize,no_ode_residual,3,val,48.10530910218127,18.9793951241414,relative UAV height,experiments/results/physics_ablation_20260908/maize/no_ode_residual_seed3
maize,no_ode_residual,3,test,54.70479530217074,17.756253338831566,relative UAV height,experiments/results/physics_ablation_20260908/maize/no_ode_residual_seed3
maize,no_biological_loss,3,train,44.49743797878962,14.260420805073345,relative UAV height,experiments/results/physics_ablation_20260908/maize/no_biological_loss_seed3
maize,no_biological_loss,3,val,51.57918456159949,20.349972638076697,relative UAV height,experiments/results/physics_ablation_20260908/maize/no_biological_loss_seed3
maize,no_biological_loss,3,test,61.912529269451966,20.095762144504192,relative UAV height,experiments/results/physics_ablation_20260908/maize/no_biological_loss_seed3
arabidopsis,no_ode_residual,1,train,1.3688791355845265,6.506308595404321,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed1
arabidopsis,no_ode_residual,1,val,3.307534662666499,16.426339257520198,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed1
arabidopsis,no_ode_residual,1,test,2.835341686199669,14.237017999807431,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed1
arabidopsis,no_biological_loss,1,train,1.18551244400163,5.634763218940378,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed1
arabidopsis,no_biological_loss,1,val,3.244257551583023,16.11208365632417,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed1
arabidopsis,no_biological_loss,1,test,3.022882019707089,15.178708772679949,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed1
arabidopsis,no_ode_residual,2,train,1.4835628871706226,7.051402650314588,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed2
arabidopsis,no_ode_residual,2,val,3.115847370633276,15.4743551329594,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed2
arabidopsis,no_ode_residual,2,test,2.8206211828253167,14.163102368218144,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed2
arabidopsis,no_biological_loss,2,train,1.1604223947304673,5.515509737030613,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed2
arabidopsis,no_biological_loss,2,val,3.2581472468956663,16.18106459550052,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed2
arabidopsis,no_biological_loss,2,test,2.917312089438548,14.64861357999572,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed2
arabidopsis,no_ode_residual,3,train,1.3942223848722832,6.626765541813981,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed3
arabidopsis,no_ode_residual,3,val,3.301093046454978,16.394348006014496,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed3
arabidopsis,no_ode_residual,3,test,2.9010959512177497,14.567187961044548,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_ode_residual_seed3
arabidopsis,no_biological_loss,3,train,1.216690281779793,5.782952075537687,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed3
arabidopsis,no_biological_loss,3,val,3.33094080085902,16.542582080610917,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed3
arabidopsis,no_biological_loss,3,test,3.0392978690349306,15.261137195151973,cm,experiments/results/physics_ablation_20260908/arabidopsis/no_biological_loss_seed3
wheat,tuned,1,train,0.022386184487818178,7.478365258560828,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed1
wheat,tuned,1,val,0.03811263869340638,11.43451688974493,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed1
wheat,tuned,1,test,0.030775371466045358,10.390512132619596,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed1
wheat,tuned,2,train,0.02226628409368027,7.438311137569524,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed2
wheat,tuned,2,val,0.03814238433504768,11.443441148295483,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed2
wheat,tuned,2,test,0.029561579499577904,9.980706513604694,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed2
wheat,tuned,3,train,0.02227562433332661,7.441431353241643,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed3
wheat,tuned,3,val,0.036786218645349984,11.03656563361684,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed3
wheat,tuned,3,test,0.030628078969927964,10.340782612063194,m,experiments/results/lambda_ode_tuning_20260908/wheat/final/seed3
maize,tuned,1,train,41.37593132426252,13.2600486384643,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed1
maize,tuned,1,val,46.00662516908356,18.1513835730184,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed1
maize,tuned,1,test,68.152634751375,22.12119507384851,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed1
maize,tuned,2,train,35.282587420282944,11.307269958887371,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed2
maize,tuned,2,val,41.41214890593116,16.338685930817736,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed2
maize,tuned,2,test,53.16041187430474,17.254972541672753,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed2
maize,tuned,3,train,40.94680762098913,13.122524213147344,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed3
maize,tuned,3,val,47.40939871162836,18.704831702352674,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed3
maize,tuned,3,test,60.26432613635284,19.560783223122456,relative UAV height,experiments/results/lambda_ode_tuning_20260908/maize/final/seed3
arabidopsis,tuned,1,train,1.3912816895586158,6.612788360996179,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed1
arabidopsis,tuned,1,val,3.229714874025894,16.039859785789265,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed1
arabidopsis,tuned,1,test,2.781703001630965,13.967683647123403,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed1
arabidopsis,tuned,2,train,1.4214844955157513,6.756342872783174,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed2
arabidopsis,tuned,2,val,3.172859383148438,15.757496129151724,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed2
arabidopsis,tuned,2,test,2.8036360635644866,14.077815487338038,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed2
arabidopsis,tuned,3,train,1.4504051118719203,6.893803112983404,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed3
arabidopsis,tuned,3,val,3.1718268536204155,15.75236823721694,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed3
arabidopsis,tuned,3,test,2.813665003675249,14.12817350999572,cm,experiments/results/lambda_ode_tuning_20260908/arabidopsis/final/seed3
