dataset,model,seed,split,rmse,relative_error,unit
wheat,LSTM-NN,1,train,0.034,11.358095388226182,m
wheat,LSTM-NN,1,val,0.069,20.70131306675696,m
wheat,LSTM-NN,1,test,0.065,21.945577143250016,m
wheat,LSTM-NN,2,train,0.035,11.692157017291658,m
wheat,LSTM-NN,2,val,0.086,25.801636575957943,m
wheat,LSTM-NN,2,test,0.042,14.180219077176934,m
wheat,LSTM-NN,3,train,0.034,11.358095388226182,m
wheat,LSTM-NN,3,val,0.067,20.10127500685096,m
wheat,LSTM-NN,3,test,0.063,21.2703286157654,m
wheat,Logi-PINN,1,train,0.032,10.68997213009523,m
wheat,Logi-PINN,1,val,0.07,21.00133209670996,m
wheat,Logi-PINN,1,test,0.069,23.296074198219248,m
wheat,Logi-PINN,2,train,0.037,12.360280275422609,m
wheat,Logi-PINN,2,val,0.065,19.50123694694496,m
wheat,Logi-PINN,2,test,0.065,21.945577143250016,m
wheat,Logi-PINN,3,train,0.034,11.358095388226182,m
wheat,Logi-PINN,3,val,0.064,19.20121791699196,m
wheat,Logi-PINN,3,test,0.063,21.2703286157654,m
wheat,Logi-ODE,0,train,0.0972973345187225,32.503306073053004,m
wheat,Logi-ODE,0,val,0.0599008141782931,17.971384163166366,m
wheat,Logi-ODE,0,test,0.1059042303935416,35.75583781381523,m
wheat,Temp-ODE,0,train,0.089822876314801,30.00637638906917,m
wheat,Temp-ODE,0,val,0.0574134174229856,17.22511780153077,m
wheat,Temp-ODE,0,test,0.0934332723601909,31.545339789643982,m
wheat,RF,1,train,0.0048925410974185,1.6344102492734152,m
wheat,RF,1,val,0.0880770506799962,26.42479130613362,m
wheat,RF,1,test,0.0988160260371485,33.36268803673299,m
wheat,RF,2,train,0.0050110650715386,1.67400456115129,m
wheat,RF,2,val,0.0881439064446662,26.44484930779668,m
wheat,RF,2,test,0.0992967254922497,33.52498383634286,m
wheat,RF,3,train,0.0047200546322282,1.5767891397201983,m
wheat,RF,3,val,0.0880350173607893,26.41218051047946,m
wheat,RF,3,test,0.0997589775145241,33.68105133502665,m
arabidopsis,Logi-ODE,0,train,4.94420677423477,23.49990893748529,cm
arabidopsis,Logi-ODE,0,val,5.27441576123237,26.19453808213966,cm
arabidopsis,Logi-ODE,0,test,5.17875999212265,26.003955566765008,cm
arabidopsis,Temp-ODE,0,train,3.67778092622756,17.480562768684894,cm
arabidopsis,Temp-ODE,0,val,4.1743230074644,20.731104246630263,cm
arabidopsis,Temp-ODE,0,test,4.121226817369459,20.69379527192765,cm
arabidopsis,RF,1,train,0.14585354365408,0.6932446700939013,cm
arabidopsis,RF,1,val,3.22581566870212,16.02049500929698,cm
arabidopsis,RF,1,test,2.86771655082702,14.399580957451777,cm
arabidopsis,RF,2,train,0.13982723467051,0.6646015087518148,cm
arabidopsis,RF,2,val,3.21304649114608,15.957078941449655,cm
arabidopsis,RF,2,test,2.87794135510921,14.450922467125398,cm
arabidopsis,RF,3,train,0.17270010430365,0.8208468840298702,cm
arabidopsis,RF,3,val,3.2110009342432,15.946920011889056,cm
arabidopsis,RF,3,test,2.88697015494108,14.496258514751917,cm
arabidopsis,LSTM-NN,1,train,1.76464710384607,8.387401284121676,cm
arabidopsis,LSTM-NN,1,val,3.24254520237445,16.1035795492184,cm
arabidopsis,LSTM-NN,1,test,2.87658050656318,14.444089278258202,cm
arabidopsis,LSTM-NN,2,train,1.77830252796411,8.452305774959106,cm
arabidopsis,LSTM-NN,2,val,3.3381767570972403,16.57851829417904,cm
arabidopsis,LSTM-NN,2,test,2.98300851136446,14.978493095411658,cm
arabidopsis,LSTM-NN,3,train,1.56112862750887,7.420074091023005,cm
arabidopsis,LSTM-NN,3,val,3.44754196703434,17.12166303024915,cm
arabidopsis,LSTM-NN,3,test,2.99285780638456,15.02794907144766,cm
arabidopsis,Logi-PINN,1,train,1.7410235479474,8.275118073133951,cm
arabidopsis,Logi-PINN,1,val,3.24925333261489,16.136894399809947,cm
arabidopsis,Logi-PINN,1,test,2.87706777453422,14.446535982621276,cm
arabidopsis,Logi-PINN,2,train,1.7412139102816495,8.27602286893321,cm
arabidopsis,Logi-PINN,2,val,3.30202579498291,16.398980351650874,cm
arabidopsis,Logi-PINN,2,test,2.96074356883764,14.866694792913632,cm
arabidopsis,Logi-PINN,3,train,1.6819791868329,7.994479100529999,cm
arabidopsis,Logi-PINN,3,val,3.39644029736518,16.867874801788187,cm
arabidopsis,Logi-PINN,3,test,3.12422718852758,15.687590294689652,cm
maize,Logi-ODE,0,train,47.28625088016508,15.154172160807311,relative UAV height
maize,Logi-ODE,0,val,124.62530847371362,49.169478715258194,relative UAV height
maize,Logi-ODE,0,test,128.9824124057761,41.86551431698224,relative UAV height
maize,Temp-ODE,0,train,47.345803330887584,15.173257372132989,relative UAV height
maize,Temp-ODE,0,val,110.11814754161058,43.44584561532233,relative UAV height
maize,Temp-ODE,0,test,110.29360879203124,35.79944406240335,relative UAV height
maize,RF,1,train,7.0257575970788535,2.2515961448509145,relative UAV height
maize,RF,1,val,132.87085164638168,52.42266271527821,relative UAV height
maize,RF,1,test,139.9204486507237,45.41581628816802,relative UAV height
maize,RF,2,train,7.035977032059888,2.2548712422461645,relative UAV height
maize,RF,2,val,131.24979634014556,51.78309403254116,relative UAV height
maize,RF,2,test,139.3009767190082,45.21474615354676,relative UAV height
maize,RF,3,train,7.031547866886218,2.253451795148518,relative UAV height
maize,RF,3,val,131.20793848671823,51.76657949902972,relative UAV height
maize,RF,3,test,139.60250850278982,45.31261828181197,relative UAV height
maize,LSTM-NN,1,train,41.06141220230436,13.159252385149594,relative UAV height
maize,LSTM-NN,1,val,39.00496828334065,15.388960567359872,relative UAV height
maize,LSTM-NN,1,test,90.91212312833436,29.50854090434185,relative UAV height
maize,LSTM-NN,2,train,42.31893590388135,13.562260242936585,relative UAV height
maize,LSTM-NN,2,val,40.42426707999495,15.948928545191634,relative UAV height
maize,LSTM-NN,2,test,110.2899555302962,35.79825827529782,relative UAV height
maize,LSTM-NN,3,train,44.48153047795415,14.255322811432022,relative UAV height
maize,LSTM-NN,3,val,43.33818583262557,17.098581595925573,relative UAV height
maize,LSTM-NN,3,test,95.1003436622757,30.86796660786163,relative UAV height
maize,Logi-PINN,1,train,34.46989142548634,11.046819303775012,relative UAV height
maize,Logi-PINN,1,val,42.63958170271339,16.822955390327426,relative UAV height
maize,Logi-PINN,1,test,60.79275967845464,19.732303832869132,relative UAV height
maize,Logi-PINN,2,train,30.792228499320363,9.868211651546972,relative UAV height
maize,Logi-PINN,2,val,44.01571200745287,17.365891737342217,relative UAV height
maize,Logi-PINN,2,test,148.5184296613295,48.206575821834015,relative UAV height
maize,Logi-PINN,3,train,34.284895508444016,10.98753230335262,relative UAV height
maize,Logi-PINN,3,val,57.77956499713292,22.79626125782177,relative UAV height
maize,Logi-PINN,3,test,116.80525829633572,37.91301559874579,relative UAV height
wheat,Original PhytoODE,1,train,0.0223687253892421,7.472532843648488,m
wheat,Original PhytoODE,1,val,0.0380007810890674,11.400957479798285,m
wheat,Original PhytoODE,1,test,0.0307869222015142,10.394411941177944,m
wheat,Original PhytoODE,2,train,0.0222945418208837,7.447750959952791,m
wheat,Original PhytoODE,2,val,0.0387300811707973,11.619761382863532,m
wheat,Original PhytoODE,2,test,0.0299458280205726,10.110438137599598,m
wheat,Original PhytoODE,3,train,0.022659882903099,7.569797397042179,m
wheat,Original PhytoODE,3,val,0.0373889915645122,11.217408980105825,m
