split,curve,genotype,rmse,n_observed
train,0,35S::PIF4,1.5279051970033544,4
train,1,35S::PIF4,1.3410486252310838,4
train,2,Col-0,0.5022651533746098,4
train,3,Col-0,1.260166831795585,4
train,4,phyb,1.132407501501625,4
train,5,phyb,0.12401981640974279,4
train,6,pif3,2.5430508503991085,4
train,7,pif3,0.34008040252526167,4
train,8,pif3pif7,1.354581246429672,4
train,9,pif3pif7,1.0223953675043862,4
train,10,pif4,1.3501189071685773,4
train,11,pif4,2.6374800269645315,4
train,12,pif7-1,0.8309106164589534,4
train,13,pif7-1,0.5150358525551226,4
train,14,pif7-2,1.005275964048824,4
train,15,pif7-2,1.379889760966094,4
train,16,pifq,2.111763484647598,4
train,17,pifq,0.3608283870452086,4
val,0,35S::PIF4,4.785548124719093,4
val,1,35S::PIF4,3.2303535068242066,4
val,2,Col-0,2.4469852154188443,4
val,3,Col-0,1.64652147335768,4
val,4,phyb,2.3835860454110045,4
val,5,phyb,3.9692041618185203,4
val,6,pif3,4.396833101552232,4
val,7,pif3,1.1559480878275101,4
val,8,pif3pif7,3.5412620199445075,4
val,9,pif3pif7,3.959392933966534,4
val,10,pif4,1.7943442961981777,4
val,11,pif4,2.2443851513052695,4
val,12,pif7-1,3.770581561889035,4
val,13,pif7-1,5.26834824911035,4
val,14,pif7-2,6.222661661078883,4
val,15,pif7-2,2.4115653656379425,4
val,16,pifq,2.488215724086724,4
val,17,pifq,2.680899248347899,4
test,0,35S::PIF4,5.599976240938458,4
test,1,35S::PIF4,3.703953546353389,4
test,2,Col-0,2.8242636079584478,4
test,3,Col-0,3.162804809411027,4
test,4,phyb,2.500323756390483,4
test,5,phyb,1.6096710170293829,4
test,6,pif3,5.394287643522552,4
test,7,pif3,2.4986069386058407,4
test,8,pif3pif7,1.5237290709979168,4
test,9,pif3pif7,1.3324317630746347,4
test,10,pif4,2.649141768746367,4
test,11,pif4,1.745910544629699,4
test,12,pif7-1,2.184205184124558,4
test,13,pif7-1,1.7096693341447369,4
test,14,pif7-2,5.0842309486512125,4
test,15,pif7-2,4.467446114206621,4
test,16,pifq,5.982242462704091,4
test,17,pifq,0.438981603238181,4
