observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:V15,Col-0:row15,Col-0,15,V15,48,2.396,val,12
12L12D:AA15,Col-0:row15,Col-0,15,AA15,60,4.8,test,12
12L12D:AF15,Col-0:row15,Col-0,15,AF15,72,3.677,test,12
12L12D:B16,Col-0:row16,Col-0,16,B16,0,0.969,train,13
12L12D:G16,Col-0:row16,Col-0,16,G16,12,1.84,train,13
12L12D:L16,Col-0:row16,Col-0,16,L16,24,2.201,train,13
12L12D:Q16,Col-0:row16,Col-0,16,Q16,36,1.76,train,13
12L12D:V16,Col-0:row16,Col-0,16,V16,48,3.204,val,13
12L12D:AA16,Col-0:row16,Col-0,16,AA16,60,5.375,test,13
12L12D:AF16,Col-0:row16,Col-0,16,AF16,72,3.968,test,13
12L12D:B17,Col-0:row17,Col-0,17,B17,0,0.901,train,14
12L12D:G17,Col-0:row17,Col-0,17,G17,12,1.148,train,14
12L12D:L17,Col-0:row17,Col-0,17,L17,24,1.457,train,14
12L12D:Q17,Col-0:row17,Col-0,17,Q17,36,2.853,train,14
12L12D:V17,Col-0:row17,Col-0,17,V17,48,2.559,val,14
12L12D:AA17,Col-0:row17,Col-0,17,AA17,60,3.889,test,14
12L12D:AF17,Col-0:row17,Col-0,17,AF17,72,3.875,test,14
12L12D:B18,Col-0:row18,Col-0,18,B18,0,0.68,train,15
12L12D:G18,Col-0:row18,Col-0,18,G18,12,1.735,train,15
12L12D:L18,Col-0:row18,Col-0,18,L18,24,1.523,train,15
12L12D:Q18,Col-0:row18,Col-0,18,Q18,36,2.292,train,15
12L12D:V18,Col-0:row18,Col-0,18,V18,48,2.99,val,15
12L12D:AA18,Col-0:row18,Col-0,18,AA18,60,5.987,test,15
12L12D:AF18,Col-0:row18,Col-0,18,AF18,72,4.904,test,15
12L12D:B19,Col-0:row19,Col-0,19,B19,0,0.671,train,16
12L12D:G19,Col-0:row19,Col-0,19,G19,12,1.302,train,16
12L12D:L19,Col-0:row19,Col-0,19,L19,24,1.662,train,16
12L12D:Q19,Col-0:row19,Col-0,19,Q19,36,2.191,train,16
12L12D:V19,Col-0:row19,Col-0,19,V19,48,2.739,val,16
12L12D:AA19,Col-0:row19,Col-0,19,AA19,60,4.522,test,16
12L12D:AF19,Col-0:row19,Col-0,19,AF19,72,5.165,test,16
12L12D:B20,Col-0:row20,Col-0,20,B20,0,1.307,train,17
12L12D:G20,Col-0:row20,Col-0,20,G20,12,1.571,train,17
12L12D:L20,Col-0:row20,Col-0,20,L20,24,1.864,train,17
12L12D:Q20,Col-0:row20,Col-0,20,Q20,36,2.367,train,17
12L12D:AA20,Col-0:row20,Col-0,20,AA20,60,4.72,test,17
12L12D:AF20,Col-0:row20,Col-0,20,AF20,72,6.199,test,17
