observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:B25,Col-0:row25,Col-0,25,B25,0,1.139,train,22
12L12D:G25,Col-0:row25,Col-0,25,G25,12,1.078,train,22
12L12D:L25,Col-0:row25,Col-0,25,L25,24,2.41,train,22
12L12D:Q25,Col-0:row25,Col-0,25,Q25,36,1.965,train,22
12L12D:B26,Col-0:row26,Col-0,26,B26,0,0.968,train,23
12L12D:G26,Col-0:row26,Col-0,26,G26,12,1.853,train,23
12L12D:L26,Col-0:row26,Col-0,26,L26,24,2.164,train,23
12L12D:Q26,Col-0:row26,Col-0,26,Q26,36,2.054,train,23
12L12D:B27,Col-0:row27,Col-0,27,B27,0,1.083,train,24
12L12D:G27,Col-0:row27,Col-0,27,G27,12,1.254,train,24
12L12D:L27,Col-0:row27,Col-0,27,L27,24,2.211,train,24
12L12D:Q27,Col-0:row27,Col-0,27,Q27,36,2.47,train,24
12L12D:B28,Col-0:row28,Col-0,28,B28,0,1.238,train,25
12L12D:G28,Col-0:row28,Col-0,28,G28,12,1.362,train,25
12L12D:L28,Col-0:row28,Col-0,28,L28,24,1.393,train,25
12L12D:Q28,Col-0:row28,Col-0,28,Q28,36,2.125,train,25
12L12D:B29,Col-0:row29,Col-0,29,B29,0,0.82,train,26
12L12D:G29,Col-0:row29,Col-0,29,G29,12,1.413,train,26
12L12D:L29,Col-0:row29,Col-0,29,L29,24,1.863,train,26
12L12D:G30,Col-0:row30,Col-0,30,G30,12,1.193,train,27
12L12D:L30,Col-0:row30,Col-0,30,L30,24,1.743,train,27
12L12D:G31,Col-0:row31,Col-0,31,G31,12,1.375,train,28
12L12D:L31,Col-0:row31,Col-0,31,L31,24,2.19,train,28
12L12D:G32,Col-0:row32,Col-0,32,G32,12,1.234,train,29
12L12D:L32,Col-0:row32,Col-0,32,L32,24,1.574,train,29
12L12D:G33,Col-0:row33,Col-0,33,G33,12,1.377,train,30
12L12D:L33,Col-0:row33,Col-0,33,L33,24,1.724,train,30
12L12D:G34,Col-0:row34,Col-0,34,G34,12,0.917,train,31
12L12D:L34,Col-0:row34,Col-0,34,L34,24,1.747,train,31
12L12D:L35,Col-0:row35,Col-0,35,L35,24,1.124,train,32
12L12D:C3,hy5:row3,hy5,3,C3,0,1.864,train,33
12L12D:H3,hy5:row3,hy5,3,H3,12,5.683,train,33
12L12D:M3,hy5:row3,hy5,3,M3,24,5.924,train,33
12L12D:R3,hy5:row3,hy5,3,R3,36,5.487,train,33
12L12D:C4,hy5:row4,hy5,4,C4,0,2.489,train,34
12L12D:H4,hy5:row4,hy5,4,H4,12,5.596,train,34
12L12D:M4,hy5:row4,hy5,4,M4,24,5.185,train,34
12L12D:R4,hy5:row4,hy5,4,R4,36,9.375,train,34
12L12D:C5,hy5:row5,hy5,5,C5,0,2.121,train,35
12L12D:H5,hy5:row5,hy5,5,H5,12,4.803,train,35
12L12D:M5,hy5:row5,hy5,5,M5,24,4.566,train,35
12L12D:R5,hy5:row5,hy5,5,R5,36,6.671,train,35
12L12D:C6,hy5:row6,hy5,6,C6,0,3.125,train,36
12L12D:H6,hy5:row6,hy5,6,H6,12,4.461,train,36
12L12D:M6,hy5:row6,hy5,6,M6,24,4.375,train,36
12L12D:R6,hy5:row6,hy5,6,R6,36,6.73,train,36
12L12D:C7,hy5:row7,hy5,7,C7,0,2.274,train,37
12L12D:H7,hy5:row7,hy5,7,H7,12,7.417,train,37
12L12D:M7,hy5:row7,hy5,7,M7,24,6.201,train,37
12L12D:R7,hy5:row7,hy5,7,R7,36,8.185,train,37
12L12D:C8,hy5:row8,hy5,8,C8,0,2.345,train,38
12L12D:H8,hy5:row8,hy5,8,H8,12,5.318,train,38
12L12D:M8,hy5:row8,hy5,8,M8,24,6.586,train,38
12L12D:R8,hy5:row8,hy5,8,R8,36,7.364,train,38
12L12D:C9,hy5:row9,hy5,9,C9,0,2.447,train,39
12L12D:H9,hy5:row9,hy5,9,H9,12,4.698,train,39
12L12D:M9,hy5:row9,hy5,9,M9,24,4.818,train,39
12L12D:R9,hy5:row9,hy5,9,R9,36,6.498,train,39
12L12D:C10,hy5:row10,hy5,10,C10,0,2.781,train,40
12L12D:H10,hy5:row10,hy5,10,H10,12,4.767,train,40
12L12D:M10,hy5:row10,hy5,10,M10,24,5.827,train,40
12L12D:R10,hy5:row10,hy5,10,R10,36,7.862,train,40
12L12D:C11,hy5:row11,hy5,11,C11,0,2.685,train,41
12L12D:H11,hy5:row11,hy5,11,H11,12,4.577,train,41
12L12D:M11,hy5:row11,hy5,11,M11,24,6.069,train,41
12L12D:R11,hy5:row11,hy5,11,R11,36,8.466,train,41
12L12D:C12,hy5:row12,hy5,12,C12,0,2.674,train,42
12L12D:H12,hy5:row12,hy5,12,H12,12,4.228,train,42
12L12D:M12,hy5:row12,hy5,12,M12,24,5.498,train,42
12L12D:R12,hy5:row12,hy5,12,R12,36,7.577,train,42
12L12D:C13,hy5:row13,hy5,13,C13,0,2.499,train,43
12L12D:H13,hy5:row13,hy5,13,H13,12,4.147,train,43
12L12D:M13,hy5:row13,hy5,13,M13,24,7.196,train,43
12L12D:R13,hy5:row13,hy5,13,R13,36,5.341,train,43
12L12D:C14,hy5:row14,hy5,14,C14,0,2.621,train,44
12L12D:H14,hy5:row14,hy5,14,H14,12,5.273,train,44
12L12D:M14,hy5:row14,hy5,14,M14,24,4.95,train,44
12L12D:R14,hy5:row14,hy5,14,R14,36,6.201,train,44
12L12D:C15,hy5:row15,hy5,15,C15,0,2.986,train,45
12L12D:H15,hy5:row15,hy5,15,H15,12,4.568,train,45
12L12D:M15,hy5:row15,hy5,15,M15,24,5.27,train,45
12L12D:R15,hy5:row15,hy5,15,R15,36,7.152,train,45
12L12D:C16,hy5:row16,hy5,16,C16,0,2.524,train,46
12L12D:H16,hy5:row16,hy5,16,H16,12,4.867,train,46
12L12D:M16,hy5:row16,hy5,16,M16,24,5.308,train,46
12L12D:R16,hy5:row16,hy5,16,R16,36,5.498,train,46
12L12D:C17,hy5:row17,hy5,17,C17,0,2.818,train,47
12L12D:H17,hy5:row17,hy5,17,H17,12,4.216,train,47
12L12D:M17,hy5:row17,hy5,17,M17,24,5.19,train,47
12L12D:R17,hy5:row17,hy5,17,R17,36,6.474,train,47
12L12D:C18,hy5:row18,hy5,18,C18,0,2.307,train,48
12L12D:H18,hy5:row18,hy5,18,H18,12,4.323,train,48
12L12D:M18,hy5:row18,hy5,18,M18,24,5.676,train,48
12L12D:R18,hy5:row18,hy5,18,R18,36,6.256,train,48
12L12D:C19,hy5:row19,hy5,19,C19,0,2.699,train,49
12L12D:H19,hy5:row19,hy5,19,H19,12,5.062,train,49
12L12D:M19,hy5:row19,hy5,19,M19,24,5.7,train,49
12L12D:R19,hy5:row19,hy5,19,R19,36,8.05,train,49
12L12D:C20,hy5:row20,hy5,20,C20,0,2.586,train,50
12L12D:H20,hy5:row20,hy5,20,H20,12,4.874,train,50
12L12D:M20,hy5:row20,hy5,20,M20,24,5.362,train,50
12L12D:R20,hy5:row20,hy5,20,R20,36,6.455,train,50
12L12D:C21,hy5:row21,hy5,21,C21,0,2.867,train,51
12L12D:H21,hy5:row21,hy5,21,H21,12,3.947,train,51
12L12D:M21,hy5:row21,hy5,21,M21,24,5.017,train,51
