protocol,dataset,additional_prefix_drop,model,label,split,n_seeds,prefix_missing_fraction,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,pooled_rmse_mean,pooled_rmse_sd,mean_target_mean,mean_target_sd,n_plants,n_observations
four_genotypes_20260915,hypocotyl,0.0,logistic,Logi-ODE,train,1,0.1134751773049645,0.3779686302427684,0.0,11.39796587348246,0.0,0.4811250942735823,0.0,3.316106000300616,0.0,141.0,500.0
four_genotypes_20260915,hypocotyl,0.0,logistic,Logi-ODE,val,1,0.1134751773049645,0.7529687561605815,0.0,13.841227772000964,0.0,0.9207285639431122,0.0,5.4400430985157335,0.0,116.0,116.0
four_genotypes_20260915,hypocotyl,0.0,logistic,Logi-ODE,test,1,0.1134751773049645,1.683615577538662,0.0,23.40602531184967,0.0,1.919338073803685,0.0,7.193086203689206,0.0,120.0,232.0
four_genotypes_20260915,hypocotyl,0.0,rf,RF,train,3,0.1134751773049645,0.0318755458636876,0.0004651664230364,0.9612342265536146,0.0140274895613805,0.0504849144474956,0.0004349949994256,3.316106000300616,0.0,141.0,500.0
four_genotypes_20260915,hypocotyl,0.0,rf,RF,val,3,0.1134751773049645,0.9436919688237492,0.0004505221862404,17.34714140557502,0.0082815922242117,1.2668080929694827,0.0008914225599749,5.4400430985157335,0.0,116.0,116.0
four_genotypes_20260915,hypocotyl,0.0,rf,RF,test,3,0.1134751773049645,2.586681120836164,0.0019833053121324,35.96065788158497,0.0275723834800602,2.872881057275441,0.0024482058864406,7.193086203689206,0.0,120.0,232.0
four_genotypes_20260915,hypocotyl,0.0,lstm,LSTM-NN,train,3,0.1134751773049645,0.3104790115299916,0.0165675752476708,9.362758955891207,0.4996093383676194,0.3691141700492859,0.0235783221649402,3.316106000300616,0.0,141.0,500.0
four_genotypes_20260915,hypocotyl,0.0,lstm,LSTM-NN,val,3,0.1134751773049645,0.7710769568851282,0.1212037953553278,14.174096471689891,2.227993292707502,1.007575629052473,0.1619744532005837,5.4400430985157335,0.0,116.0,116.0
four_genotypes_20260915,hypocotyl,0.0,lstm,LSTM-NN,test,3,0.1134751773049645,1.524594566477961,0.3513806744492588,21.19527728857224,4.884977942695055,1.7559924606238777,0.4345544861643486,7.193086203689206,0.0,120.0,232.0
four_genotypes_20260915,hypocotyl,0.0,logistic_pinn,Logistic-PINN,train,3,0.1134751773049645,0.3319485441711895,0.0113187371886704,10.01019099332462,0.3413261574764001,0.4274043469851232,0.0087822798665629,3.316106000300616,0.0,141.0,500.0
