model,model_key,seed,seconds,n_params,target_unit,converged,train_rmse,train_mae,train_pooled_rmse,val_rmse,val_mae,val_pooled_rmse,test_rmse,test_mae,test_pooled_rmse,nfev,n_trees,n_tree_nodes
Logi-ODE,logistic,0,0.16097209230065346,38.0,m,True,0.09729733451872254,0.06159817284683897,0.09986160149222219,0.05990081417829319,0.03986454164508415,0.06689045797463294,0.10590423039354163,0.06659496486787604,0.10958217050885151,,,
Temp-ODE,temperature,0,0.07459252327680588,40.0,m,True,0.08982287631480103,0.055733416023675555,0.09207429183951082,0.05741341742298567,0.03851316201253939,0.06335905381426268,0.09343327236019099,0.05828904882545006,0.09690825948823123,13.0,,
RF,rf,1,0.8467667885124683,,m,,0.004892541097418576,0.002620973830592432,0.005276572090491469,0.08807705067999624,0.05995561395105213,0.09064357113744934,0.09881602603714851,0.053610524870694655,0.09977298679406192,,100.0,364588.0
RF,rf,2,0.843481045216322,,m,,0.0050110650715386885,0.0026732327441777353,0.005457676267629093,0.08814390644466627,0.06047767801732496,0.09068327568226793,0.0992967254922497,0.05390610369623328,0.100300284529107,,100.0,365000.0
RF,rf,3,0.8265173025429249,,m,,0.004720054632228261,0.002528573157494349,0.005081378940616995,0.0880350173607893,0.06030539375619006,0.09062577651383538,0.09975897751452413,0.05424832551817824,0.10074007981528199,,100.0,365272.0
