seed,max_absolute_difference_mm,rms_difference_mm
1,5.012422661820892e-06,1.3855762972525554e-06
2,1.1934339454455767e-05,2.8290176032896852e-06
3,5.728483301936649e-06,1.2663452935157693e-06
