protocol,model,split,n_seeds,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,individual_rmse_mean,individual_rmse_sd
replicate,phytoode,train,3,0.21118705496777057,0.010309495374165482,3.6399522776841984,0.1776911523989725,0.7552632626092087,0.002109477622428287
replicate,phytoode,val,3,0.3002909283242297,0.0014834322243206795,5.141196625329944,0.02539742638295275,0.7181670755445865,0.0008018965443193396
replicate,phytoode,test,3,0.33677124057841895,0.0024970889202163156,5.811644881663024,0.04309214176753131,0.7793889056978595,0.0002662877380307065
replicate,latent_ode_matched,train,3,0.21946791554551023,0.010757730041121565,3.782678532026486,0.1854167812125988,0.7567784612189404,0.0018654701322327425
replicate,latent_ode_matched,val,3,0.3003060434156034,0.0016798054794064665,5.141455406563183,0.028759477717590715,0.7182628666079384,0.0013909933459175829
replicate,latent_ode_matched,test,3,0.3404400901657229,0.005153543639492182,5.874958040141238,0.08893445136063372,0.7807104660836576,0.0017421778556466234
replicate,latent_ode,train,3,0.2123274568406525,0.023738592228088044,3.6596078782384343,0.4091507543529703,0.7542160187169379,0.003054812633246015
replicate,latent_ode,val,3,0.3112868247149502,0.006074039163975404,5.329454278439635,0.10399191819153134,0.7228226222286006,0.005256817684776975
replicate,latent_ode,test,3,0.3368364883355606,0.00293958292358064,5.812770859027306,0.05072823921279387,0.7803698228201004,0.001981161596006746
replicate,light_pinn,train,3,0.20449296925925656,0.01896197389290813,3.524575165552788,0.3268224942642085,0.754971660968005,0.005218840266318337
replicate,light_pinn,val,3,0.3182072247338512,0.0030558347135276435,5.447936503066454,0.05231808767726513,0.7254007433859545,0.0012081746718577116
replicate,light_pinn,test,3,0.34682145193145497,0.01498427997304293,5.985080889052447,0.2585829890378152,0.7837446606298023,0.006698069396618418
replicate,lstm,train,3,0.14822465755268527,0.01011835934463771,2.5547526099561138,0.17439679315837783,0.7414991355378405,0.0015482553280241555
replicate,lstm,val,3,0.31927303756158204,0.010143506258301823,5.46618398507912,0.17366412110820542,0.7268506396287954,0.005120019861732027
replicate,lstm,test,3,0.351958412753123,0.004131321669028988,6.073729171534272,0.07129401664785281,0.7870109620034699,0.0011705315707574778
replicate,rf,train,3,0.29025145748743286,0.007668342801425853,5.0026809358356426,0.13216909459897053,0.7859370711659489,0.003708241625105254
replicate,rf,val,3,0.3914333451616095,0.004165240278062964,6.701620340037756,0.0713119086905758,0.7744711585149057,0.0038126962229191323
replicate,rf,test,3,0.40059068625957545,0.01094201577977042,6.912973944698319,0.18882583290769808,0.8145651166256034,0.0046475877557755965
replicate,light_logistic,train,1,0.36093950517188933,0.0,6.221037431281603,0.0,0.8222020042789151,0.0
replicate,light_logistic,val,1,0.4464864998929633,0.0,7.644169936517745,0.0,0.8049586478470798,0.0
replicate,light_logistic,test,1,0.46524102031864756,0.0,8.028641607966977,0.0,0.8476575395238997,0.0
replicate,logistic,train,1,0.33757206200280115,0.0,5.818283682951909,0.0,0.8085954929447535,0.0
replicate,logistic,val,1,0.40247765061584895,0.0,6.890706791124757,0.0,0.7734597204606195,0.0
replicate,logistic,test,1,0.4385021741362471,0.0,7.567210642868466,0.0,0.8305057484063132,0.0
replicate,latent_ode_initial_control,train,3,0.17290933432527447,0.01906160877226856,2.980209773777053,0.32853976905702253,0.7458636273515208,0.004034846650088997
replicate,latent_ode_initial_control,val,3,0.31371563258978996,0.009017670987852078,5.371037215757737,0.15438901171541003,0.7205563647095409,0.00263916424989413
replicate,latent_ode_initial_control,test,3,0.3347028155079445,0.002010219500845182,5.775950171053888,0.03469025993146163,0.7799845171699253,0.0007346830260403844
