genotype,plant_number,day_after_sowing,length_cm,condition,day_temperature_c,night_temperature_c,temperature_c,length_m
pif7-2,2,39,23.3,nAT,21.0,18.0,19.5,0.233
pif7-2,2,49,36.2,nAT,21.0,18.0,19.5,0.36200000000000004
pif7-2,3,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,3,36,10.4,nAT,21.0,18.0,19.5,0.10400000000000001
pif7-2,3,39,22.2,nAT,21.0,18.0,19.5,0.222
pif7-2,3,49,40.0,nAT,21.0,18.0,19.5,0.4
pif7-2,4,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,4,36,10.1,nAT,21.0,18.0,19.5,0.10099999999999999
pif7-2,4,39,22.7,nAT,21.0,18.0,19.5,0.22699999999999998
pif7-2,4,49,42.0,nAT,21.0,18.0,19.5,0.42
pif7-2,5,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,5,36,16.4,nAT,21.0,18.0,19.5,0.16399999999999998
pif7-2,5,39,27.8,nAT,21.0,18.0,19.5,0.278
pif7-2,5,49,37.8,nAT,21.0,18.0,19.5,0.37799999999999995
pif7-2,6,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,6,36,8.8,nAT,21.0,18.0,19.5,0.08800000000000001
pif7-2,6,39,18.8,nAT,21.0,18.0,19.5,0.188
pif7-2,6,49,36.6,nAT,21.0,18.0,19.5,0.366
pif7-2,7,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,7,36,15.9,nAT,21.0,18.0,19.5,0.159
pif7-2,7,39,23.4,nAT,21.0,18.0,19.5,0.23399999999999999
pif7-2,7,49,40.0,nAT,21.0,18.0,19.5,0.4
pif7-2,8,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,8,36,18.5,nAT,21.0,18.0,19.5,0.185
pif7-2,8,39,24.1,nAT,21.0,18.0,19.5,0.24100000000000002
pif7-2,8,49,34.3,nAT,21.0,18.0,19.5,0.34299999999999997
pif7-2,9,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,9,36,5.8,nAT,21.0,18.0,19.5,0.057999999999999996
pif7-2,9,39,18.4,nAT,21.0,18.0,19.5,0.184
pif7-2,9,49,39.7,nAT,21.0,18.0,19.5,0.397
pif7-2,10,29,0.0,nAT,21.0,18.0,19.5,0.0
pif7-2,10,36,5.6,nAT,21.0,18.0,19.5,0.055999999999999994
pif7-2,10,39,17.1,nAT,21.0,18.0,19.5,0.171
pif7-2,10,49,37.0,nAT,21.0,18.0,19.5,0.37
pifq,1,29,0.0,nAT,21.0,18.0,19.5,0.0
pifq,1,36,4.8,nAT,21.0,18.0,19.5,0.048
pifq,1,39,14.6,nAT,21.0,18.0,19.5,0.146
pifq,1,49,37.0,nAT,21.0,18.0,19.5,0.37
pifq,2,29,0.0,nAT,21.0,18.0,19.5,0.0
pifq,2,36,12.2,nAT,21.0,18.0,19.5,0.122
pifq,2,39,19.9,nAT,21.0,18.0,19.5,0.19899999999999998
pifq,2,49,35.9,nAT,21.0,18.0,19.5,0.359
pifq,3,29,0.0,nAT,21.0,18.0,19.5,0.0
pifq,3,36,14.5,nAT,21.0,18.0,19.5,0.145
pifq,3,39,19.8,nAT,21.0,18.0,19.5,0.198
pifq,3,49,35.0,nAT,21.0,18.0,19.5,0.35
pifq,4,29,0.0,nAT,21.0,18.0,19.5,0.0
pifq,4,36,11.3,nAT,21.0,18.0,19.5,0.113
pifq,4,39,19.5,nAT,21.0,18.0,19.5,0.195
pifq,4,49,33.0,nAT,21.0,18.0,19.5,0.33
pifq,5,29,1.4,nAT,21.0,18.0,19.5,0.013999999999999999
pifq,5,36,17.4,nAT,21.0,18.0,19.5,0.174
pifq,5,39,23.4,nAT,21.0,18.0,19.5,0.23399999999999999
pifq,5,49,33.8,nAT,21.0,18.0,19.5,0.33799999999999997
pifq,6,29,0.6,nAT,21.0,18.0,19.5,0.006
pifq,6,36,13.8,nAT,21.0,18.0,19.5,0.138
pifq,6,39,21.3,nAT,21.0,18.0,19.5,0.213
pifq,6,49,32.0,nAT,21.0,18.0,19.5,0.32
pifq,7,29,1.5,nAT,21.0,18.0,19.5,0.015
pifq,7,36,17.4,nAT,21.0,18.0,19.5,0.174
pifq,7,39,21.0,nAT,21.0,18.0,19.5,0.21
pifq,7,49,34.9,nAT,21.0,18.0,19.5,0.349
pifq,8,29,0.0,nAT,21.0,18.0,19.5,0.0
pifq,8,36,18.6,nAT,21.0,18.0,19.5,0.18600000000000003
pifq,8,39,19.3,nAT,21.0,18.0,19.5,0.193
pifq,8,49,31.5,nAT,21.0,18.0,19.5,0.315
pifq,9,29,0.0,nAT,21.0,18.0,19.5,0.0
pifq,9,36,15.9,nAT,21.0,18.0,19.5,0.159
pifq,9,39,21.1,nAT,21.0,18.0,19.5,0.21100000000000002
pifq,9,49,33.5,nAT,21.0,18.0,19.5,0.335
pifq,10,29,0.0,nAT,21.0,18.0,19.5,0.0
pifq,10,36,10.8,nAT,21.0,18.0,19.5,0.10800000000000001
pifq,10,39,19.5,nAT,21.0,18.0,19.5,0.195
pifq,10,49,36.1,nAT,21.0,18.0,19.5,0.361
