genotype,replicate,source_row,flight_code,height_relative,date,year,dap,published_gdd_f,station_gdd_f,is_ground_flight,trajectory_id,height_raw,plot_id,block,entry,stand,field_range,field_row,has_loess_height,mapping_count,ambiguous_plot_mapping,unmapped_plot_metadata,observed,temperature_c,tmin_c,tmax_c,daily_gdd_c,thermal_integral_c,genotype_index,split
790,2,6,06282018,324.897025,2018-06-28,2018,45,946,946,False,YC18:2110,6.07843137,YC18:2110,1,64,>15,14,43,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,17,train
790,2,6,07092018,400.394224,2018-07-09,2018,56,1267,1267,False,YC18:2110,24.7058824,YC18:2110,1,64,>15,14,43,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,17,train
790,2,6,07122018,486.000244,2018-07-12,2018,59,1356,1356,False,YC18:2110,13.4509804,YC18:2110,1,64,>15,14,43,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,17,train
790,2,6,07172018,493.829701,2018-07-17,2018,64,1495,1495,False,YC18:2110,19.1823529,YC18:2110,1,64,>15,14,43,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,17,train
790,2,6,07242018,521.96233,2018-07-24,2018,71,1662.5,1662.5,False,YC18:2110,13.0980392,YC18:2110,1,64,>15,14,43,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,17,train
790,2,6,07312018,469.768864,2018-07-31,2018,78,1812,1812,False,YC18:2110,25.3333333,YC18:2110,1,64,>15,14,43,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,17,train
790,2,6,08092018,483.766748,2018-08-09,2018,87,2031.5,2031.5,False,YC18:2110,37.7803922,YC18:2110,1,64,>15,14,43,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,17,train
790,2,6,08172018,553.893824,2018-08-17,2018,95,2248.5,2248.5,False,YC18:2110,44.9058824,YC18:2110,1,64,>15,14,43,True,1,False,False,True,25,20,30,15,1244.444444,17,train
793,1,9,06052018,55.2112284,2018-06-05,2018,22,430,430,False,YC18:1259,2,YC18:1259,1,37,>15,6,30,True,1,False,False,True,22.77777778,15.55555556,30,12.77777778,235.2777778,18,train
793,1,9,06132018,55.9213809,2018-06-13,2018,30,585,585,False,YC18:1259,16.0112823,YC18:1259,1,37,>15,6,30,True,1,False,False,True,20.83333333,14.44444444,27.22222222,10.83333333,322.3611111,18,train
793,1,9,06282018,398.26087,2018-06-28,2018,45,946,946,False,YC18:1259,7.45098039,YC18:1259,1,37,>15,6,30,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,18,train
793,1,9,07092018,446.217118,2018-07-09,2018,56,1267,1267,False,YC18:1259,27.5333333,YC18:1259,1,37,>15,6,30,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,18,train
793,1,9,07122018,522.839912,2018-07-12,2018,59,1356,1356,False,YC18:1259,14.4705882,YC18:1259,1,37,>15,6,30,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,18,train
793,1,9,07172018,475.677686,2018-07-17,2018,64,1495,1495,False,YC18:1259,18.4772549,YC18:1259,1,37,>15,6,30,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,18,train
793,1,9,07242018,504.92823,2018-07-24,2018,71,1662.5,1662.5,False,YC18:1259,12.6705882,YC18:1259,1,37,>15,6,30,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,18,train
793,1,9,07312018,479.476935,2018-07-31,2018,78,1812,1812,False,YC18:1259,25.8568627,YC18:1259,1,37,>15,6,30,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,18,train
793,1,9,08092018,476.535856,2018-08-09,2018,87,2031.5,2031.5,False,YC18:1259,37.2156863,YC18:1259,1,37,>15,6,30,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,18,train
793,1,9,08172018,568.003581,2018-08-17,2018,95,2248.5,2248.5,False,YC18:1259,46.0498039,YC18:1259,1,37,>15,6,30,True,1,False,False,True,25,20,30,15,1244.444444,18,train
793,2,10,06052018,37.8900587,2018-06-05,2018,22,430,430,False,YC18:2200,1.37254902,YC18:2200,1,37,>15,15,48,True,1,False,False,True,22.77777778,15.55555556,30,12.77777778,235.2777778,18,train
793,2,10,06132018,75.6924033,2018-06-13,2018,30,585,585,False,YC18:2200,21.6720764,YC18:2200,1,37,>15,15,48,True,1,False,False,True,20.83333333,14.44444444,27.22222222,10.83333333,322.3611111,18,train
793,2,10,06282018,364.723112,2018-06-28,2018,45,946,946,False,YC18:2200,6.82352941,YC18:2200,1,37,>15,15,48,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,18,train
793,2,10,07092018,445.581572,2018-07-09,2018,56,1267,1267,False,YC18:2200,27.4941176,YC18:2200,1,37,>15,15,48,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,18,train
