year,genotype,genotype_index,date,dap,split,height_relative,n_replicates,temperature_c,station_gdd_f
2018,4226,8,2018-08-09,87,train,594.678083,2,26.66666667,2031.5
2018,4226,8,2018-08-17,95,train,702.4066355,2,25,2248.5
2018,4F-306 108,9,2018-06-05,22,train,45.4680704,1,22.77777778,430
2018,4F-306 108,9,2018-06-13,30,train,48.7552462,1,20.83333333,585
2018,4F-306 108,9,2018-06-28,45,train,351.832037,2,23.88888889,946
2018,4F-306 108,9,2018-07-09,56,train,349.772954,2,28.88888889,1267
2018,4F-306 108,9,2018-07-12,59,train,381.8573345,2,28.88888889,1356
2018,4F-306 108,9,2018-07-17,64,train,453.295585,2,24.44444444,1495
2018,4F-306 108,9,2018-07-24,71,train,494.457729,2,23.33333333,1662.5
2018,4F-306 108,9,2018-07-31,78,train,491.9483535,2,23.05555556,1812
2018,4F-306 108,9,2018-08-09,87,train,478.8959385,2,26.66666667,2031.5
2018,4F-306 108,9,2018-08-17,95,train,542.3259515,2,25,2248.5
2018,4N506,10,2018-06-05,22,train,53.5873687,2,22.77777778,430
2018,4N506,10,2018-06-13,30,train,74.6523864,2,20.83333333,585
2018,4N506,10,2018-06-28,45,train,386.417849,2,23.88888889,946
2018,4N506,10,2018-07-09,56,train,483.5808905,2,28.88888889,1267
2018,4N506,10,2018-07-12,59,train,564.638767,2,28.88888889,1356
2018,4N506,10,2018-07-17,64,train,592.943941,2,24.44444444,1495
2018,4N506,10,2018-07-24,71,train,656.3598165,2,23.33333333,1662.5
2018,4N506,10,2018-07-31,78,train,646.390321,2,23.05555556,1812
2018,4N506,10,2018-08-09,87,train,625.929093,2,26.66666667,2031.5
2018,4N506,10,2018-08-17,95,train,718.0303975,2,25,2248.5
2018,6F629,11,2018-06-05,22,train,34.6423394,1,22.77777778,430
2018,6F629,11,2018-06-13,30,train,106.033397,1,20.83333333,585
2018,6F629,11,2018-06-28,45,train,384.6361555,2,23.88888889,946
2018,6F629,11,2018-07-09,56,train,455.0512135,2,28.88888889,1267
2018,6F629,11,2018-07-12,59,train,547.5083215,2,28.88888889,1356
2018,6F629,11,2018-07-17,64,train,572.0711435,2,24.44444444,1495
2018,6F629,11,2018-07-24,71,train,587.6842635,2,23.33333333,1662.5
2018,6F629,11,2018-07-31,78,train,571.896324,2,23.05555556,1812
2018,6F629,11,2018-08-09,87,train,550.7077325,2,26.66666667,2031.5
2018,6F629,11,2018-08-17,95,train,638.799057,2,25,2248.5
2018,6M502,12,2018-06-05,22,train,56.2938015,1,22.77777778,430
2018,6M502,12,2018-06-13,30,train,107.956046,1,20.83333333,585
2018,6M502,12,2018-06-28,45,train,360.530892,1,23.88888889,946
2018,6M502,12,2018-07-09,56,train,376.688344,1,28.88888889,1267
2018,6M502,12,2018-07-12,59,train,492.659722,1,28.88888889,1356
2018,6M502,12,2018-07-17,64,train,490.649565,1,24.44444444,1495
2018,6M502,12,2018-07-24,71,train,536.027184,1,23.33333333,1662.5
2018,6M502,12,2018-07-31,78,train,511.219058,1,23.05555556,1812
2018,6M502,12,2018-08-09,87,train,518.063269,1,26.66666667,2031.5
2018,6M502,12,2018-08-17,95,train,593.572376,1,25,2248.5
2018,6M502A,13,2018-06-05,22,train,41.13777795,2,22.77777778,430
2018,6M502A,13,2018-06-13,30,train,120.730587,2,20.83333333,585
2018,6M502A,13,2018-06-28,45,train,379.395881,2,23.88888889,946
2018,6M502A,13,2018-07-09,56,train,470.07553,2,28.88888889,1267
2018,6M502A,13,2018-07-12,59,train,543.881031,2,28.88888889,1356
2018,6M502A,13,2018-07-17,64,train,580.7635155,2,24.44444444,1495
2018,6M502A,13,2018-07-24,71,train,607.1328305,2,23.33333333,1662.5
2018,6M502A,13,2018-07-31,78,train,609.063331,2,23.05555556,1812
2018,6M502A,13,2018-08-09,87,train,590.4977235,2,26.66666667,2031.5
2018,6M502A,13,2018-08-17,95,train,687.20128,2,25,2248.5
2018,764,14,2018-06-05,22,train,77.9452636,1,22.77777778,430
2018,764,14,2018-06-13,30,train,69.8071601,1,20.83333333,585
2018,764,14,2018-06-28,45,train,394.06865,2,23.88888889,946
