Date,RN,Rainfall,AirTMax(F),AirTMin(F),AirTSmp(F),AirTAvg(F),WindMphMax,WindMphAvg,WindDir
1/1/18 0:00,4114,0,-12.43,-13.16,-12.67,-12.77,17.84,10.08,291.3
1/1/18 1:00,4115,0,-12.43,-12.98,-12.79,-12.76,16.83,10.36,312.5
1/1/18 2:00,4116,0,-12.61,-13.28,-13.1,-12.93,15.16,8.88,277.4
1/1/18 3:00,4117,0,-12.67,-13.34,-13.1,-13.03,12.81,7.924,302.1
1/1/18 4:00,4118,0,-13.04,-14.07,-13.95,-13.55,11.13,7.006,302.3
1/1/18 5:00,4119,0,-13.65,-14.19,-14.07,-13.94,11.47,6.634,313.7
1/1/18 6:00,4120,0,-13.58,-14.38,-14.07,-14.01,13.82,7.437,317.3
1/1/18 7:00,4121,0,-13.95,-14.93,-14.81,-14.45,13.82,6.692,286.4
1/1/18 8:00,4122,0,-14.56,-15.36,-15.11,-14.9,10.13,6.231,323
1/1/18 9:00,4123,0,-12.67,-15.11,-12.67,-14.11,10.8,5.785,289.9
1/1/18 10:00,4124,0,-10.47,-13.04,-10.6,-11.87,10.46,5.677,318.6
1/1/18 11:00,4125,0,-8.53,-10.84,-8.96,-9.59,9.46,5.695,259.3
1/1/18 12:00,4126,0,-6.578,-9.26,-6.762,-8.1,10.46,6.316,295.6
1/1/18 13:00,4127,0,-3.651,-7.006,-3.651,-5.259,10.8,6.389,298.8
1/1/18 14:00,4128,0,-1.214,-4.018,-1.581,-2.493,10.13,6.216,282.7
1/1/18 15:00,4129,0,-0.054,-1.581,-0.054,-0.634,10.46,5.463,275.3
1/1/18 16:00,4130,0,0.373,-0.421,-0.299,-0.012,10.46,6.198,282.4
1/1/18 17:00,4131,0,-0.115,-2.852,-2.668,-1.741,8.79,5.081,245.6
1/1/18 18:00,4132,0,-2.485,-4.556,-4.556,-3.576,9.79,5.42,279.1
1/1/18 19:00,4133,0,-4.189,-5.35,-4.984,-4.862,6.773,3.815,240
1/1/18 20:00,4134,0,-4.556,-5.9,-5.717,-5.278,8.45,4.406,258.3
1/1/18 21:00,4135,0,-5.473,-6.815,-6.631,-6.182,7.443,4.038,247
1/1/18 22:00,4136,0,-6.323,-7.423,-7.239,-6.878,8.11,3.486,252.6
1/1/18 23:00,4137,0,-7.056,-7.849,-7.787,-7.462,7.443,4.331,241.2
1/2/18 0:00,4138,0,-7.176,-8.15,-7.846,-7.689,8.11,4.938,242.7
1/2/18 1:00,4139,0,-7.54,-8.33,-8.27,-7.942,8.45,5.29,235.7
1/2/18 2:00,4140,0,-8.03,-9.31,-8.82,-8.72,7.443,4.058,239.2
1/2/18 3:00,4141,0,-8.7,-9.43,-8.95,-9.13,11.47,5.258,245.8
1/2/18 4:00,4142,0,-8.58,-9.37,-9.25,-8.96,12.47,7.037,229.9
1/2/18 5:00,4143,0,-9.13,-10.6,-10.41,-9.86,12.14,6.638,234.7
1/2/18 6:00,4144,0,-10.23,-11.33,-11.27,-10.78,12.14,7.27,213.6
1/2/18 7:00,4145,0,-10.59,-11.33,-11.02,-11,12.81,6.899,212.7
1/2/18 8:00,4146,0,-10.1,-11.2,-10.47,-10.7,14.82,7.213,219.8
1/2/18 9:00,4147,0,-7.478,-10.47,-7.478,-9.08,13.48,6.293,219.9
1/2/18 10:00,4148,0,-2.112,-7.845,-2.295,-5.106,17.17,7.955,232.1
