comparison,metric,mean_paired_difference_m,t_statistic,p_value_two_sided
Tuned bottleneck - Original,val_rmse,-0.0019778281450271813,-1.2097197715692751,0.29298982994547307
Tuned bottleneck - Original,test_rmse,-0.0004044566303491405,-0.965849664601112,0.38881400815770173
Tuned micro - Original,val_rmse,-0.00045659989118578134,-0.3814567320230491,0.7222613445630442
Tuned micro - Original,test_rmse,0.0018846727907657582,2.7634314304083385,0.050670966467985565
