seed,best_epoch,train_rmse,val_rmse,test_rmse,n_params,seconds
1,1280,0.0223687253892421,0.0380007810890674,0.0307869222015142,1655,235.27293157577515
2,870,0.0222945418208837,0.0387300811707973,0.0299458280205726,1655,234.0636911392212
3,910,0.022659882903099,0.0373889915645122,0.0311546381562948,1655,237.43150997161865
