dataset,model,n_seeds,parameters,train_rmse_mean,train_rmse_sd,val_rmse_mean,val_rmse_sd,test_rmse_mean,test_rmse_sd,test_mae_mean,test_mae_sd,unit
wheat,Tuned Latent Neural ODE,3,1655.0,0.02244105,0.00019311,0.03803995,0.0006714,0.03062913,0.00061966,,,m
wheat,Micro Latent Neural ODE,3,393.0,0.02473075,0.00063855,0.04152693,0.00386957,0.03289569,0.00140669,,,m
wheat,Original Latent Neural ODE,3,4647.0,0.0230874,0.00062663,0.04210075,0.00252474,0.03162878,0.0002115,,,m
wheat,LSTM-NN reference,3,451.0,0.03433333,0.00057735,0.074,0.01044031,0.05666667,0.01274101,,,m
wheat,Logi-PINN reference,3,463.0,0.03433333,0.00251661,0.06633333,0.00321455,0.06566667,0.00305505,,,m
