epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse,L_m,L_r,L_y
10,0.09610633552074432,0.1449042707681656,0.20846620202064514,0.20846620202064514,-1,,0.0,0.0,0.04879793897271156
20,0.09974894672632217,0.10502283275127411,0.11123529076576233,0.15985074639320374,-1,,0.0,0.0,0.005273884627968073
30,0.06671187281608582,0.06966845691204071,0.09106723964214325,0.1369229108095169,-1,,0.0,0.0,0.0029565810691565275
40,0.0563102662563324,0.05912506952881813,0.06422562897205353,0.11874859035015106,-1,,0.0,0.0,0.0028148030396550894
50,0.046345945447683334,0.04812915623188019,0.05437014624476433,0.10587290152907372,-1,,0.0,0.0,0.0017832095036283135
60,0.04033975675702095,0.04156102240085602,0.044131651520729065,0.0955826931943496,-1,,0.0,0.0,0.0012212651781737804
70,0.03773985803127289,0.039368826895952225,0.04249773919582367,0.08799912833741733,-1,,0.0,0.0,0.001628968515433371
80,0.036169182509183884,0.038243524730205536,0.044366504997015,0.08254505041986704,-1,,0.0,0.0,0.002074342919513583
90,0.034645576030015945,0.03683581203222275,0.04337397962808609,0.07819270922078027,-1,,0.0,0.0,0.002190234838053584
100,0.03574899584054947,0.038134489208459854,0.04570958390831947,0.07494439668953419,-1,,0.0,0.0,0.002385493367910385
110,0.03733590617775917,0.04040902853012085,0.04489170387387276,0.05858694687485695,-1,,0.0,0.0,0.0030731218867003918
120,0.035544928163290024,0.037653565406799316,0.04530217498540878,0.05199363529682159,-1,,0.0,0.0,0.0021086360793560743
130,0.032823801040649414,0.03488367795944214,0.046475429087877274,0.047534454241395,-1,,0.0,0.0,0.00205987854860723
140,0.03266679123044014,0.034790076315402985,0.04062739387154579,0.04517463073134422,-1,,0.0,0.0,0.002123284852132201
150,0.032134316861629486,0.0342559777200222,0.04231499508023262,0.04396911561489105,-1,,0.0,0.0,0.002121659694239497
160,0.03288058936595917,0.03504498302936554,0.04069051519036293,0.04362500198185444,-1,,0.0,0.0,0.0021643934305757284
170,0.03371857479214668,0.03566949442028999,0.04633324593305588,0.04400855265557766,-1,,0.0,0.0,0.0019509181147441268
180,0.03256143257021904,0.03457717224955559,0.04820049926638603,0.044391952082514764,-1,,0.0,0.0,0.0020157380495220423
