plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
Col-0:row3,Col-0,3,0.019984579,9.924153,2
Col-0:row4,Col-0,4,0.019174848,10.037696,4
Col-0:row5,Col-0,5,0.018424118,10.032089,4
Col-0:row6,Col-0,6,0.019626021,9.828261,1
Col-0:row7,Col-0,7,0.01954872,9.922989,2
Col-0:row8,Col-0,8,0.0190939,10.035302,4
Col-0:row9,Col-0,9,0.019733386,10.038979,4
Col-0:row10,Col-0,10,0.0197504,9.9228115,2
Col-0:row11,Col-0,11,0.01940421,10.03603,4
Col-0:row12,Col-0,12,0.020621499,9.956689,3
Col-0:row13,Col-0,13,0.018145466,9.917054,2
Col-0:row14,Col-0,14,0.019483536,9.951363,3
Col-0:row15,Col-0,15,0.020228092,9.953579,3
Col-0:row16,Col-0,16,0.019695226,9.875384,2
Col-0:row17,Col-0,17,0.021179693,9.912356,3
Col-0:row18,Col-0,18,0.019282823,9.921648,2
Col-0:row19,Col-0,19,0.019524638,9.951819,3
Col-0:row20,Col-0,20,0.019463804,9.921938,2
Col-0:row21,Col-0,21,0.020709543,9.865485,2
Col-0:row22,Col-0,22,0.0217473,9.916488,3
Col-0:row23,Col-0,23,0.021162469,9.957382,3
Col-0:row24,Col-0,24,0.020022735,9.952156,3
Col-0:row25,Col-0,25,0.020072933,9.953079,3
Col-0:row26,Col-0,26,0.01989742,9.952739,3
Col-0:row27,Col-0,27,0.021009447,9.9109,3
Col-0:row28,Col-0,28,0.018778352,10.034058,4
Col-0:row29,Col-0,29,0.020507962,9.954094,3
Col-0:row30,Col-0,30,0.019890202,9.829688,1
Col-0:row31,Col-0,31,0.0202647,9.831637,1
Col-0:row32,Col-0,32,0.021063803,9.784939,1
Col-0:row33,Col-0,33,0.019874485,9.829604,1
Col-0:row34,Col-0,34,0.019893512,9.829705,1
Col-0:row35,Col-0,35,0.019386426,9.82693,1
hy5:row3,hy5,3,0.049223967,10.027911,4
hy5:row4,hy5,4,0.045734208,9.934135,3
hy5:row5,hy5,5,0.04041504,9.909065,2
hy5:row6,hy5,6,0.04660641,10.026781,4
hy5:row7,hy5,7,0.057794914,10.048857,4
hy5:row8,hy5,8,0.05362272,10.036868,4
hy5:row9,hy5,9,0.042023033,9.804551,2
hy5:row10,hy5,10,0.04594973,9.931954,3
hy5:row11,hy5,11,0.048402697,9.910896,3
hy5:row12,hy5,12,0.04989691,10.031591,4
hy5:row13,hy5,13,0.046863087,9.937027,3
hy5:row14,hy5,14,0.044448625,10.001337,3
hy5:row15,hy5,15,0.046340037,9.904809,3
hy5:row16,hy5,16,0.04693504,10.02387,4
hy5:row17,hy5,17,0.04137724,9.793842,2
hy5:row18,hy5,18,0.04805789,10.025766,4
hy5:row19,hy5,19,0.05252825,10.037711,4
hy5:row20,hy5,20,0.044895507,9.939393,3
hy5:row21,hy5,21,0.05013114,10.034337,4
hy5:row22,hy5,22,0.04567147,9.934458,3
hy5:row23,hy5,23,0.039265636,9.763028,1
hy5:row24,hy5,24,0.051403653,9.918888,3
hy5:row25,hy5,25,0.050106984,10.030701,4
hy5:row26,hy5,26,0.048463006,9.947739,3
hy5:row27,hy5,27,0.05389277,10.0398,4
hy5:row28,hy5,28,0.047021925,9.947305,3
hy5:row29,hy5,29,0.040401872,9.834367,2
hy5:row30,hy5,30,0.04122562,9.80515,1
hy5:row31,hy5,31,0.03904943,9.692004,1
hy5:row32,hy5,32,0.037507977,9.801027,1
hy5:row33,hy5,33,0.03891674,9.691745,1
hy5:row34,hy5,34,0.038744424,9.691406,1
hy5:row35,hy5,35,0.038815998,9.691547,1
MLB:row3,MLB,3,0.021469211,9.730203,1
MLB:row4,MLB,4,0.020932596,9.853378,3
MLB:row5,MLB,5,0.019023243,9.9803095,4
MLB:row6,MLB,6,0.01846819,9.861043,2
MLB:row7,MLB,7,0.01954197,9.8947935,3
MLB:row8,MLB,8,0.02124559,9.7282915,1
MLB:row9,MLB,9,0.019641299,9.818228,2
MLB:row10,MLB,10,0.020260839,9.724069,1
MLB:row11,MLB,11,0.019416923,9.816371,2
MLB:row12,MLB,12,0.019713484,9.980732,4
MLB:row13,MLB,13,0.019219583,9.894206,3
MLB:row14,MLB,14,0.018594036,9.978772,4
MLB:row15,MLB,15,0.019217318,9.89395,3
MLB:row16,MLB,16,0.018882036,9.98015,4
MLB:row17,MLB,17,0.018704824,9.979241,4
MLB:row18,MLB,18,0.018893098,9.980261,4
MLB:row19,MLB,19,0.01910707,9.8654585,2
MLB:row20,MLB,20,0.01849885,9.977811,4
MLB:row21,MLB,21,0.019502567,9.81709,2
MLB:row22,MLB,22,0.02056679,9.898252,3
