epoch,data_loss,objective,ode,capacity,val_rmse,selection_rmse,best_epoch
20,0.13251058757305145,0.13651929795742035,2.414265509287361e-05,0.28015854954719543,1.948244296848774,1.948244296848774,
40,0.1080794408917427,0.10998174548149109,5.6575099733890966e-06,0.1619424968957901,1.5957366193532945,1.7719904581010342,
60,0.0993310958147049,0.10124904662370682,1.0626439689076506e-05,0.13866277039051056,1.4221566773951053,1.6553791978657246,
80,0.09261208772659302,0.09417258948087692,1.0924200068984646e-05,0.10142918676137924,1.3185061188340188,1.4454664718608063,
100,0.08512529730796814,0.08626072853803635,9.864619642030448e-06,0.06422054022550583,1.1882688305079938,1.3096438755790394,
120,0.07492142915725708,0.07581478357315063,8.533952495781705e-06,0.04666617140173912,1.0362872440814972,1.18102073114117,
140,0.06196821480989456,0.06281304359436035,6.993100669205887e-06,0.04951716586947441,0.8466290096342564,1.0237283614079158,
160,0.051398441195487976,0.052331987768411636,7.041517619654769e-06,0.05814702436327934,0.758906508564949,0.8806075874269009,
180,0.04825283959507942,0.04899173974990845,7.3291616899950895e-06,0.037244200706481934,0.7403450461924076,0.7819601881305377,
200,0.046160485595464706,0.046856626868247986,7.693756742810365e-06,0.031145472079515457,0.8096801428645849,0.7696438992073139,200.0
220,0.04483187571167946,0.04554584622383118,8.104821972665377e-06,0.030873123556375504,0.7868658138811588,0.7789636676460505,200.0
240,0.04530870169401169,0.04601174592971802,7.79462334321579e-06,0.03133125603199005,0.8017141825258732,0.7994200464238724,200.0
260,0.04449957609176636,0.04518658667802811,8.293621249322314e-06,0.02723294496536255,0.813002267897129,0.8005274214347204,200.0
280,0.04404770955443382,0.04473288729786873,8.710247129783966e-06,0.024966442957520485,0.7508135638833047,0.788510004768769,200.0
300,0.043618712574243546,0.04430770501494408,8.449638698948547e-06,0.02665100246667862,0.7651079230904579,0.7763079182902972,200.0
320,0.043713707476854324,0.04440996050834656,8.057492777879816e-06,0.029337896034121513,0.7984309039711952,0.7714507969816526,200.0
340,0.04341163858771324,0.04410884529352188,8.29853343020659e-06,0.02822788618505001,0.7428752897083759,0.7688047055900097,340.0
360,0.04313059151172638,0.04383086785674095,8.570358659198973e-06,0.02717602252960205,0.7678299666196108,0.7697120534330607,340.0
380,0.04324743524193764,0.04395081102848053,8.821955816529226e-06,0.026227883994579315,0.7375217728912831,0.7494090097397567,380.0
400,0.04314611479640007,0.04385438933968544,8.684299245942384e-06,0.02740594930946827,0.7412516070902347,0.7488677822003762,400.0
420,0.04266735911369324,0.043376632034778595,8.693862582731526e-06,0.027458112686872482,0.735431217133999,0.7380681990385056,420.0
440,0.04281299188733101,0.043525803834199905,8.744396836846136e-06,0.027559448033571243,0.701717696800828,0.7261335070083539,440.0
460,0.04280444234609604,0.043525949120521545,8.693637937540188e-06,0.028682442381978035,0.7360503284037113,0.7243997474461794,460.0
