epoch,data_loss,objective,ode,capacity_diagnostic,capacity_penalty_used,val_rmse,selection_rmse,best_epoch
20,0.09012670814990997,0.09012743830680847,0.0002441118995193392,0.4737061858177185,False,1.0461795747876168,1.0461795747876168,
40,0.05660262331366539,0.05660281330347061,6.29717469564639e-05,0.34541094303131104,False,0.529188720189035,0.7876841474883258,
60,0.05088908225297928,0.050889331847429276,8.380520739592612e-05,0.4008682668209076,False,0.556027594357729,0.7104652964447936,
80,0.048121556639671326,0.048121895641088486,0.00011252417607465759,0.4150400757789612,False,0.5453904915377498,0.5435356020281713,
100,0.04615665227174759,0.04615712910890579,0.0001586609287187457,0.4158036708831787,False,0.5783096622079611,0.5599092493678133,
120,0.04469231516122818,0.044692959636449814,0.00021523128089029342,0.41227683424949646,False,0.6093914946317673,0.577697216125826,
140,0.04405052959918976,0.04405134543776512,0.00027245073579251766,0.40691813826560974,False,0.5791146714016795,0.5889386094138026,
160,0.043413594365119934,0.043414629995822906,0.00034561456413939595,0.40012240409851074,False,0.5702848955988884,0.5862636872107785,
180,0.043523382395505905,0.04352463036775589,0.000416256720200181,0.3933272063732147,False,0.5731515939682722,0.5741837203229467,
200,0.04316750541329384,0.043168988078832626,0.0004943882231600583,0.3836946487426758,False,0.5830406338125468,0.5754923744599025,200.0
220,0.04219026118516922,0.042191989719867706,0.0005762444343417883,0.3750933110713959,False,0.5866857640892268,0.5809593306233486,200.0
240,0.04146403446793556,0.04146603122353554,0.0006656817276962101,0.3658909499645233,False,0.5898746092170477,0.586533669039607,200.0
260,0.041264042258262634,0.04126625508069992,0.0007381920586340129,0.36635783314704895,False,0.5981977711468935,0.591586048151056,200.0
280,0.04040283337235451,0.04040532186627388,0.0008297370513901114,0.36536705493927,False,0.5880963276326656,0.5920562359988689,200.0
300,0.03973226994276047,0.03973503038287163,0.0009203864610753953,0.3669409453868866,False,0.5978420003652573,0.5947120330482721,200.0
320,0.04066082835197449,0.04066372290253639,0.0009647973929531872,0.3653353750705719,False,0.6568929391503334,0.6142770890494188,200.0
340,0.0385005958378315,0.03850381076335907,0.0010714855743572116,0.3676557242870331,False,0.6257891438007355,0.6268413611054421,200.0
360,0.037665631622076035,0.037669118493795395,0.001162059372290969,0.3685832917690277,False,0.656318755298853,0.6463336127499739,200.0
