epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,grad_norm,L_m,L_y
10,0.1277051568031311,0.13612841069698334,179.85816593167664,179.85816593167664,10,0.6283504366874695,0.0,0.008423259481787682
20,0.0845637321472168,0.08778387308120728,81.15932869329662,81.15932869329662,20,0.5928044319152832,0.0,0.0032201402354985476
30,0.06430858373641968,0.06757831573486328,60.16060175611228,60.16060175611228,30,0.25672733783721924,0.0,0.003269735723733902
40,0.07657469809055328,0.08094649016857147,65.72258861048788,65.72258861048788,30,1.959951400756836,0.0,0.004371792543679476
50,0.06756868958473206,0.07147112488746643,61.49083729147017,61.49083729147017,30,1.6856545209884644,0.0,0.003902433905750513
60,0.05866210162639618,0.06015412509441376,51.623320226362196,51.623320226362196,60,1.2016258239746094,0.0,0.0014920234680175781
70,0.057734858244657516,0.05983493849635124,54.4117355266048,54.4117355266048,60,1.2859326601028442,0.0,0.0021000809501856565
80,0.05169898644089699,0.05282259359955788,53.63064691986278,53.63064691986278,60,0.5070592761039734,0.0,0.0011236087884753942
90,0.050248946994543076,0.05160310119390488,51.16844542103023,51.16844542103023,90,0.14335793256759644,0.0,0.0013541540829464793
100,0.049982599914073944,0.051454540342092514,54.16967429724589,54.16967429724589,90,0.31862306594848633,0.0,0.0014719399623572826
110,0.04952918365597725,0.050792038440704346,57.72014132790953,57.72014132790953,90,0.06878291815519333,0.0,0.001262856530956924
120,0.049349065870046616,0.050493910908699036,61.51172800702214,61.51172800702214,90,0.045627839863300323,0.0,0.0011448453878983855
130,0.049094900488853455,0.050214268267154694,66.94891792307854,66.94891792307854,90,0.07651740312576294,0.0,0.0011193692917004228
140,0.0487653873860836,0.04991014674305916,77.68283603827358,77.68283603827358,90,0.010602690279483795,0.0,0.001144759589806199
150,0.048492949455976486,0.049654219299554825,84.3234315185389,84.3234315185389,90,0.08676045387983322,0.0,0.0011612697271630168
160,0.049094218760728836,0.050239987671375275,85.63157737026572,85.63157737026572,90,0.42101991176605225,0.0,0.0011457703076303005
170,0.04833366721868515,0.0494951568543911,82.79057689394564,82.79057689394564,90,0.283993124961853,0.0,0.0011614892864599824
180,0.04798952117562294,0.049155451357364655,69.2556999265936,69.2556999265936,90,0.23264917731285095,0.0,0.00116593053098768
190,0.047431960701942444,0.048659585416316986,71.00371719233662,71.00371719233662,90,0.14502155780792236,0.0,0.0012276258785277605
200,0.04910799488425255,0.05022868141531944,59.37390276069581,59.37390276069581,90,0.4749284088611603,0.0,0.0011206857161596417
210,0.047966014593839645,0.04912497103214264,58.976249358551506,58.976249358551506,90,0.3455105721950531,0.0,0.001158957602456212
220,0.04669599235057831,0.04797138273715973,60.241923069302736,60.241923069302736,90,0.11759600043296814,0.0,0.0012753893388435245
230,0.04902423173189163,0.05026048794388771,78.95558626714379,78.95558626714379,90,0.76131272315979,0.0,0.001236255164258182
240,0.04629732668399811,0.04746909439563751,83.75940174702824,83.75940174702824,90,0.05996916443109512,0.0,0.0011717660818248987
250,0.04595567286014557,0.04718436673283577,104.96542635540872,104.96542635540872,90,0.04557955265045166,0.0,0.0012286952696740627
260,0.04584503918886185,0.04707854613661766,139.86576462113678,139.86576462113678,90,0.1196521744132042,0.0,0.0012335070641711354
270,0.05121955648064613,0.052343737334012985,159.05143027428747,159.05143027428747,90,0.6386298537254333,0.0,0.0011241816682741046
280,0.0459086075425148,0.0470767542719841,143.70936957294165,143.70936957294165,90,0.18719017505645752,0.0,0.001168145565316081
290,0.04527916759252548,0.04656858369708061,235.51009383928658,235.51009383928658,90,0.025102052837610245,0.0,0.0012894152896478772
300,0.04506278410553932,0.04625100642442703,283.0907250256026,283.0907250256026,90,0.11592250317335129,0.0,0.001188224065117538
310,0.04457110911607742,0.045690152794122696,327.5189042286623,327.5189042286623,90,0.11282844841480255,0.0,0.0011190433287993073
320,0.04467620328068733,0.0458127036690712,331.99530368099215,331.99530368099215,90,0.4089701175689697,0.0,0.0011364987585693598
330,0.04433414340019226,0.045306507498025894,335.1627688297606,335.1627688297606,90,0.5134468078613281,0.0,0.0009723639232106507
340,0.0597134567797184,0.06207282841205597,276.0272652328777,276.0272652328777,90,1.5937870740890503,0.0,0.0023593732621520758
350,0.04783047363162041,0.05050694942474365,283.7419471442127,283.7419471442127,90,0.8602634072303772,0.0,0.0026764748618006706
360,0.05118384212255478,0.05450509488582611,245.72759555119873,245.72759555119873,90,1.1719404458999634,0.0,0.003321254625916481
370,0.04406255483627319,0.045181527733802795,292.31540297445775,292.31540297445775,90,0.39355432987213135,0.0,0.001118972897529602
380,0.04159609228372574,0.04273059591650963,328.212741843127,328.212741843127,90,0.14171549677848816,0.0,0.0011345024686306715
390,0.04166598245501518,0.04263070225715637,334.8158239580047,334.8158239580047,90,0.25527364015579224,0.0,0.0009647213155403733
400,0.0410429984331131,0.04195702448487282,334.92164592324616,334.92164592324616,90,0.18776299059391022,0.0,0.0009140278561972082
410,0.040827181190252304,0.04165947437286377,333.7662577273786,333.7662577273786,90,0.17741836607456207,0.0,0.000832291436381638
420,0.04074477404356003,0.04146261140704155,332.57940965169666,332.57940965169666,90,0.15150462090969086,0.0,0.0007178388186730444
430,0.04068371281027794,0.04134369641542435,332.53986976961016,332.53986976961016,90,0.2688658833503723,0.0,0.0006599818007089198
440,0.040387436747550964,0.04092005640268326,332.6311998598087,332.6311998598087,90,0.07689245045185089,0.0,0.0005326209939084947
450,0.04204285144805908,0.04333338513970375,330.426923110925,330.426923110925,90,0.8287919759750366,0.0,0.0012905328767374158
460,0.04011469706892967,0.04074046388268471,327.8408532224214,327.8408532224214,90,0.11157798022031784,0.0,0.0006257686181925237
470,0.04039808362722397,0.040939684957265854,327.57051198511004,327.57051198511004,90,0.33533939719200134,0.0,0.0005416015046648681
480,0.04055677354335785,0.04106321930885315,326.6786621859312,326.6786621859312,90,0.4726733863353729,0.0,0.0005064464639872313
490,0.041749246418476105,0.04301716387271881,326.1398563569975,326.1398563569975,90,0.8768768310546875,0.0,0.0012679172214120626
500,0.04005942493677139,0.040644992142915726,326.10341815320254,326.10341815320254,90,0.5293484330177307,0.0,0.0005855677300132811
510,0.03919602185487747,0.03978709131479263,325.7136753339279,325.7136753339279,90,0.2228233963251114,0.0,0.0005910679465159774
520,0.03875838965177536,0.03926830738782883,325.5022920486796,325.5022920486796,90,0.07946380227804184,0.0,0.0005099174450151622
530,0.03918123617768288,0.03992115706205368,325.0368578532815,325.0368578532815,90,0.5238314867019653,0.0,0.0007399215828627348
540,0.03845638036727905,0.0389145128428936,326.5404420180309,326.5404420180309,90,0.1102851927280426,0.0,0.0004581309331115335
550,0.038332778960466385,0.038919009268283844,325.8057612953067,325.8057612953067,90,0.15512804687023163,0.0,0.0005862312973476946
560,0.039537593722343445,0.04027829319238663,326.39938081707356,326.39938081707356,90,0.6826435327529907,0.0,0.0007406989461742342
570,0.03815333545207977,0.03871198743581772,325.51769618204355,325.51769618204355,90,0.04976571723818779,0.0,0.00055865035392344
580,0.03917862847447395,0.03989100083708763,326.8703406914449,326.8703406914449,90,0.6118293404579163,0.0,0.0007123717805370688
590,0.0388888455927372,0.03962457552552223,327.22992685707806,327.22992685707806,90,0.5577747225761414,0.0,0.0007357304566539824
600,0.038354240357875824,0.03921119123697281,326.6030750679016,326.6030750679016,90,0.4050895869731903,0.0,0.0008569505298510194
610,0.03800249099731445,0.038593586534261703,326.9124088323069,326.9124088323069,90,0.10746021568775177,0.0,0.0005910944892093539
620,0.03868968412280083,0.039428241550922394,328.21837178019405,328.21837178019405,90,0.5090090036392212,0.0,0.0007385577191598713
630,0.038971830159425735,0.03995247185230255,328.5547083909023,328.5547083909023,90,0.6299930214881897,0.0,0.000980640179477632
640,0.0381731279194355,0.038832888007164,328.2465214655292,328.2465214655292,90,0.3104022443294525,0.0,0.0006597588653676212
650,0.03793361783027649,0.03858238458633423,328.86941144714,328.86941144714,90,0.19683675467967987,0.0,0.0006487678037956357
660,0.03786188364028931,0.03844704106450081,328.9490125017822,328.9490125017822,90,0.07482356578111649,0.0,0.0005851560272276402
670,0.037892669439315796,0.03852977231144905,329.4439517377353,329.4439517377353,90,0.20017516613006592,0.0,0.0006371025810949504
680,0.03873618319630623,0.03945697098970413,329.96357407740356,329.96357407740356,90,0.5788800716400146,0.0,0.0007207886665128171
690,0.03776083141565323,0.03840157389640808,329.0205335541523,329.0205335541523,90,0.0880560427904129,0.0,0.0006407424807548523
700,0.03809751570224762,0.03879862278699875,329.6988106481123,329.6988106481123,90,0.38161760568618774,0.0,0.000701107841450721
710,0.03832985460758209,0.039103489369153976,330.4811112551952,330.4811112551952,90,0.4866419732570648,0.0,0.0007736349361948669
720,0.0382373183965683,0.039109013974666595,330.29899842979074,330.29899842979074,90,0.481855183839798,0.0,0.0008716945885680616
730,0.03760816901922226,0.03824148327112198,329.7581595680273,329.7581595680273,90,0.09975243359804153,0.0,0.0006333158235065639
