model,n_runs,n_params,train_rmse_cm_mean,train_rmse_cm_sd,train_mae_cm_mean,train_mae_cm_sd,val_rmse_cm_mean,val_rmse_cm_sd,val_mae_cm_mean,val_mae_cm_sd,test_rmse_cm_mean,test_rmse_cm_sd,test_mae_cm_mean,test_mae_cm_sd
Logi-ODE,1,18,4.94420677423477,,4.35798093676567,,5.27441576123237,,4.76859509944915,,5.17875999212265,,4.50167134404182,
Temp-ODE,1,20,3.67778092622756,,3.1904753297567296,,4.1743230074644,,3.6717724055051795,,4.121226817369459,,3.49989905953407,
RF,3,-1,0.15279362754274667,0.017500856058080497,0.12612683155263002,0.014398955802050502,3.2166210313638004,0.008028206063508396,2.711257648964717,0.004403728446784338,2.8775426869591034,0.00963299123147455,2.3471917957067436,0.0012685416484318698
LSTM-NN,3,401,1.7013594197730166,0.12163520862083305,1.42678068950772,0.13247460658445545,3.3427546421686767,0.10257502695125674,2.854047405223047,0.07692290451814782,2.9508156081040666,0.06447782470499104,2.5005526219805034,0.026066078163087435
Latent Neural ODE (ours),3,4607,1.4012999832630098,0.08785663447770445,1.2279390046993832,0.07719440729525393,3.2455373555421807,0.005841194212176822,2.7854429557919467,0.016328993760869884,2.8659799446662233,0.09280767885552296,2.4634374305605835,0.08791374935865295
Logi-PINN,3,419,1.7214055483539834,0.034144363320289646,1.4557143673300734,0.038877918218388645,3.31590647498766,0.07456879780542597,2.82980600992838,0.03210516222534942,2.987346177299813,0.12570886231339876,2.52301432192325,0.06314439198886576
