model,model_key,seed,target_unit,y_scale,n_params,seconds,best_epoch,fit_objective,successful_fits,train_rmse,train_mae,train_pooled_rmse,val_rmse,val_mae,val_pooled_rmse,test_rmse,test_mae,test_pooled_rmse,nfev,n_trees,n_tree_nodes,selection_val_smooth,epochs,device,cuda_visible_devices,gpu_name,peak_gpu_memory_mib,batch_size,selection
Logi-ODE,logistic,0,relative UAV height,874.58028,804.0,3.7716270089149475,0,curve-balanced observed MSE,402.0,47.28625088016508,40.10157337043965,48.1947144109062,124.62530847371362,93.46928119404276,127.10697532654216,128.9824124057761,98.04283596914901,132.11165494035808,,,,,,,,,,,
Temp-ODE,temperature,0,relative UAV height,874.58028,806.0,0.3084985874593258,0,curve-balanced observed MSE,,47.345803330887584,40.16993847614271,48.42435658709526,110.11814754161058,83.245413765948,112.70812852969144,110.29360879203124,86.2217515390649,113.60103387443772,18.0,,,,,,,,,,
RF,rf,1,relative UAV height,874.58028,,82.60366574674845,0,,,7.0257575970788535,5.412765653122704,8.905997483607226,132.87085164638168,109.03225632111844,135.26808364879716,139.9204486507237,117.99025435798671,143.44829204282755,,100.0,1740098.0,,,,,,,,
RF,rf,2,relative UAV height,874.58028,,79.01348753273487,0,,,7.035977032059888,5.389213318577611,9.142100339738418,131.24979634014556,107.44293733461892,133.74503837292534,139.3009767190082,117.25290168977608,142.904995423075,,100.0,1741236.0,,,,,,,,
RF,rf,3,relative UAV height,874.58028,,79.35855508223176,0,,,7.031547866886218,5.403177784083462,9.074805938082278,131.20793848671823,107.76129779310092,133.7043420972115,139.60250850278982,117.64093975558558,143.20522582136846,,100.0,1740382.0,,,,,,,,
LSTM-NN,lstm,1,relative UAV height,874.58028,2366.0,16.409428104758263,200,,,41.06141220230436,32.84329164726623,41.94956581285546,39.00496828334065,30.891287731668122,42.19909190998975,90.91212312833437,68.19513197950623,95.48953822911488,,,,39.00496964577332,3000.0,cuda,1,NVIDIA RTX A5000,117.630859375,1533.0,validation only; averaging window 1; PINN after warm-up
LSTM-NN,lstm,2,relative UAV height,874.58028,2366.0,16.26721065491438,220,,,42.31893590388135,32.88646837280755,42.81694617283309,40.42426707999495,32.23753531997079,43.152564934881504,110.2899555302962,86.03526620696802,114.47005298306857,,,,40.424267657788846,3000.0,cuda,2,NVIDIA RTX A5000,117.630859375,1533.0,validation only; averaging window 1; PINN after warm-up
LSTM-NN,lstm,3,relative UAV height,874.58028,2366.0,16.321631398051977,160,,,44.48153047795415,35.69454437007011,46.2317203337553,43.33818583262557,35.323561027672966,46.146482478725204,95.1003436622757,68.73926221009208,98.0650784749011,,,,43.338186896549466,3000.0,cuda,6,NVIDIA RTX A5000,117.630859375,1533.0,validation only; averaging window 1; PINN after warm-up
Logi-PINN,pinn,1,relative UAV height,874.58028,3170.0,503.9000459127128,870,,,34.46989142548634,27.13229666761918,35.33876442205185,42.63958170271339,33.2605706600032,45.76148795158775,60.79275967845464,51.37338977974537,66.7599691329044,,,,42.6395794742918,3000.0,cuda,1,NVIDIA RTX A5000,191.6796875,1533.0,validation only; averaging window 1; PINN after warm-up
Logi-PINN,pinn,2,relative UAV height,874.58028,3170.0,512.532215770334,510,,,30.792228499320363,23.71763109186409,31.553879027058766,44.01571200745287,34.6500845259424,46.985531981262746,148.5184296613295,114.97638056458737,152.16225334273733,,,,44.01570811932921,3000.0,cuda,2,NVIDIA RTX A5000,191.6796875,1533.0,validation only; averaging window 1; PINN after warm-up
Logi-PINN,pinn,3,relative UAV height,874.58028,3170.0,505.3851121068001,510,,,34.284895508444016,26.976200269584943,35.2637908494719,57.779564997132915,45.4914838577098,61.84831979866386,116.80525829633572,94.16610108255837,121.36313913789385,,,,57.779561925264005,3000.0,cuda,6,NVIDIA RTX A5000,191.6796875,1533.0,validation only; averaging window 1; PINN after warm-up
Latent Neural ODE (ours),latent,1,relative UAV height,874.58028,3187.0,201.73296849057078,30,,,67.69677071657482,57.149095993138765,68.26640431166616,111.15255860198322,97.61695331551125,114.03596694105538,74.2944413412267,66.80265502338979,78.0930080571408,,,,111.1525512565434,1500.0,cuda,1,NVIDIA RTX A5000,288.16943359375,1533.0,validation only; averaging window 1; PINN after warm-up
Latent Neural ODE (ours),latent,2,relative UAV height,874.58028,3187.0,220.19073642790318,20,,,69.73898071661043,56.88252765748194,72.07175024210005,130.54391720371737,113.38132239938582,133.85438100816216,94.55152467057961,82.6182132378184,98.84164465493866,,,,130.54390509656668,1500.0,cuda,2,NVIDIA RTX A5000,288.16943359375,1533.0,validation only; averaging window 1; PINN after warm-up
Latent Neural ODE (ours),latent,3,relative UAV height,874.58028,3187.0,222.81634923815727,240,,,35.158596175643865,29.49218891341456,35.77903911237895,56.02842216785807,48.21265225789232,58.390285301230456,69.98623079546965,62.45670955922356,74.77861362387895,,,,56.028416916705964,1500.0,cuda,6,NVIDIA RTX A5000,288.16943359375,1533.0,validation only; averaging window 1; PINN after warm-up
