model,model_key,n_runs,n_params,seconds_mean,train_rmse_mean,train_rmse_sd,train_mae_mean,train_mae_sd,train_pooled_rmse_mean,train_pooled_rmse_sd,val_rmse_mean,val_rmse_sd,val_mae_mean,val_mae_sd,val_pooled_rmse_mean,val_pooled_rmse_sd,test_rmse_mean,test_rmse_sd,test_mae_mean,test_mae_sd,test_pooled_rmse_mean,test_pooled_rmse_sd
Logi-ODE,logistic,1,804.0,3.7716270089149475,47.28625088016508,,40.10157337043965,,48.1947144109062,,124.62530847371362,,93.46928119404276,,127.10697532654216,,128.9824124057761,,98.04283596914901,,132.11165494035808,
Temp-ODE,temperature,1,806.0,0.3084985874593258,47.345803330887584,,40.16993847614271,,48.42435658709526,,110.11814754161058,,83.245413765948,,112.70812852969144,,110.29360879203124,,86.2217515390649,,113.60103387443772,
RF,rf,3,,80.32523612057169,7.031094165341653,0.005124802108526061,5.401718918594592,0.011843746536335133,9.040967920475973,0.12163428071464859,131.77619549108184,0.9482310339391343,108.0788304829461,0.8408947419577542,134.23915470631133,0.891310901553432,139.60797795750725,0.3097721820096432,117.62803193444945,0.3688457648044729,143.186171095757,0.27214906978479564
LSTM-NN,lstm,3,2366.0,16.33275671924154,42.62062619471329,1.7299031847317696,33.80810146338129,1.633850111716044,43.666077439814615,2.2638418157282914,40.92247373198706,2.2091516433745753,32.817461359770626,2.272333008462416,43.83271310786549,2.059714598784379,98.76747410696875,10.19612580460963,74.32322013218878,10.14657759396109,102.67488989569485,10.295763987326232
Logi-PINN,pinn,3,3170.0,507.272457929949,33.18233847775024,2.0719616680993718,25.942042676356067,1.9279773583438196,34.052144766194175,2.1638863271090947,48.14495290243306,8.372141083104617,37.800713014551796,6.696540473810808,51.53177991050478,8.955323410945507,108.70548254537329,44.42018762790154,86.8386238089637,32.42844509979563,113.42845387117852,43.25051398279149
Latent Neural ODE (ours),latent,3,3187.0,214.91335138554373,57.531449202943044,19.402347019288893,47.84127085467842,15.891330049269172,58.70573122204839,19.946054064181507,99.24163265785289,38.65931152703978,86.40364265759648,34.0006271109207,102.09354441681599,39.123823011393355,79.61073226909198,13.11718825491598,70.62585927347725,10.610571412459999,83.90442211198614,13.041731694375407
