epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse,L_m,L_r,L_y
10,0.20182056725025177,0.227036714553833,186.44343294477045,186.44343294477045,10,186.44343294477045,0.0,0.0,0.025216149166226387
20,0.11281503736972809,0.13708007335662842,121.05991120382309,121.05991120382309,20,121.05991120382309,0.0,0.0,0.024265028536319733
30,0.07841736823320389,0.11629186570644379,107.01527080280096,107.01527080280096,30,107.01527080280096,0.0,0.0,0.0378744937479496
40,0.07007704675197601,0.10475486516952515,115.90384020552814,115.90384020552814,30,107.01527080280096,0.0,0.0,0.03467781841754913
50,0.0668906718492508,0.08649653196334839,87.80406191666097,87.80406191666097,50,87.80406191666097,0.0,0.0,0.019605860114097595
60,0.06315537542104721,0.0830250084400177,78.76592776219815,78.76592776219815,60,78.76592776219815,0.0,0.0,0.01986963301897049
70,0.06727249175310135,0.09385527670383453,108.21635662442208,108.21635662442208,60,78.76592776219815,0.0,0.0,0.026582788676023483
80,0.058300524950027466,0.06861494481563568,76.0005991136089,76.0005991136089,80,76.0005991136089,0.0,0.0,0.010314416140317917
90,0.08349262177944183,0.11548900604248047,97.08255659032703,97.08255659032703,80,76.0005991136089,0.0,0.0,0.031996384263038635
100,0.05897100642323494,0.0718708336353302,132.00798847601473,132.00798847601473,80,76.0005991136089,0.0,0.0,0.012899828143417835
110,0.06701604276895523,0.10333278775215149,101.61790096245825,101.61790096245825,80,76.0005991136089,0.0,0.0,0.03631674870848656
120,0.06000079959630966,0.08266124874353409,78.7270199448055,78.7270199448055,80,76.0005991136089,0.0,0.0,0.022660447284579277
130,0.0644838958978653,0.09665849059820175,102.73914463259518,102.73914463259518,80,76.0005991136089,0.0,0.0,0.032174594700336456
140,0.05779474973678589,0.0673985481262207,133.46225856238067,133.46225856238067,80,76.0005991136089,0.0,0.0,0.009603796526789665
150,0.06335171312093735,0.07740887999534607,115.88981749190748,115.88981749190748,80,76.0005991136089,0.0,0.0,0.014057166874408722
160,0.05691703036427498,0.07177874445915222,69.43696565498561,69.43696565498561,160,69.43696565498561,0.0,0.0,0.01486171130090952
170,0.05993735045194626,0.06809520721435547,74.82981330050826,74.82981330050826,160,69.43696565498561,0.0,0.0,0.00815785862505436
180,0.055659692734479904,0.06809653341770172,69.65174384441436,69.65174384441436,160,69.43696565498561,0.0,0.0,0.012436838820576668
190,0.05298762023448944,0.060851097106933594,81.92879903870701,81.92879903870701,160,69.43696565498561,0.0,0.0,0.007863476872444153
200,0.05517253652215004,0.06934073567390442,90.5348615877986,90.5348615877986,160,69.43696565498561,0.0,0.0,0.014168196357786655
210,0.055838339030742645,0.06597063690423965,106.61037797926605,106.61037797926605,160,69.43696565498561,0.0,0.0,0.010132300667464733
220,0.05324293300509453,0.0574938990175724,79.87951497856915,79.87951497856915,160,69.43696565498561,0.0,0.0,0.0042509655468165874
230,0.05567353963851929,0.06965850293636322,102.5210953454724,102.5210953454724,160,69.43696565498561,0.0,0.0,0.013984959572553635
240,0.052768755704164505,0.0690654069185257,98.98911132000626,98.98911132000626,160,69.43696565498561,0.0,0.0,0.01629665121436119
250,0.052214570343494415,0.053989436477422714,83.85427009628624,83.85427009628624,160,69.43696565498561,0.0,0.0,0.0017748675309121609
260,0.05667223036289215,0.07980379462242126,97.98445426329911,97.98445426329911,160,69.43696565498561,0.0,0.0,0.023131567984819412
270,0.05301276594400406,0.06977937370538712,82.79305953980506,82.79305953980506,160,69.43696565498561,0.0,0.0,0.016766605898737907
280,0.05080682039260864,0.054165590554475784,77.9456706928289,77.9456706928289,160,69.43696565498561,0.0,0.0,0.0033587701618671417
290,0.051891814917325974,0.06032819300889969,87.96407854230344,87.96407854230344,160,69.43696565498561,0.0,0.0,0.00843637716025114
300,0.05050650238990784,0.0535818487405777,79.64255587967723,79.64255587967723,160,69.43696565498561,0.0,0.0,0.003075347514823079
310,0.051378652453422546,0.05894036963582039,80.63199125468464,80.63199125468464,160,69.43696565498561,0.0,0.0,0.007561716716736555
320,0.050716713070869446,0.05272507295012474,72.66236572327138,72.66236572327138,160,69.43696565498561,0.0,0.0,0.0020083608105778694
330,0.05134504660964012,0.055972494184970856,79.92126382901877,79.92126382901877,160,69.43696565498561,0.0,0.0,0.004627445712685585
340,0.050808895379304886,0.057337138801813126,76.55776739931912,76.55776739931912,160,69.43696565498561,0.0,0.0,0.00652824342250824
350,0.050659630447626114,0.05564402788877487,75.80899880166561,75.80899880166561,160,69.43696565498561,0.0,0.0,0.0049843983724713326
360,0.050385549664497375,0.05394771322607994,72.10767356728971,72.10767356728971,160,69.43696565498561,0.0,0.0,0.0035621619317680597
370,0.050411157310009,0.05242779105901718,64.51443930300951,64.51443930300951,370,64.51443930300951,0.0,0.0,0.0020166344475001097
