epoch,data_loss,objective,ode,capacity,val_rmse,selection_rmse,best_epoch
20,0.12911759316921234,0.1324433535337448,1.5497558706556447e-05,0.25508877635002136,2.2349106998443604,2.2349106998443604,
40,0.10028913617134094,0.10210588574409485,1.1080800504714716e-05,0.12627093493938446,1.5087342447042467,1.8718224722743035,
60,0.09344479441642761,0.0954667255282402,1.3566329471359495e-05,0.13436119258403778,1.399766511887312,1.7144704854786397,
80,0.09121261537075043,0.09309873729944229,1.131714179791743e-05,0.13202661275863647,1.3987948491573334,1.4357652019162972,
100,0.08802543580532074,0.08991566300392151,1.1641961464192718e-05,0.13081297278404236,1.3078939478695393,1.3688184363047282,
120,0.08336706459522247,0.08517332375049591,1.1472935511847027e-05,0.12326093018054962,1.1743106399923564,1.2936664790064096,
140,0.0749615803360939,0.07682852447032928,1.5600839105900377e-05,0.1086903065443039,0.9644430083334447,1.1488825320651135,
160,0.0641394779086113,0.06569154560565948,1.3596130884252489e-05,0.08722612261772156,0.859104595348239,0.99928608122468,
180,0.056955646723508835,0.05800026282668114,1.0816129361046478e-05,0.050380926579236984,0.8482013977319003,0.8905830004711947,
200,0.051772136241197586,0.052605874836444855,1.0210856089543086e-05,0.03231951966881752,0.832050777822733,0.846452256967624,200.0
220,0.04683592543005943,0.047635339200496674,8.463056474283803e-06,0.03762625530362129,0.8387755824625492,0.8396759193390608,220.0
240,0.04483366012573242,0.04559239000082016,7.559252480859868e-06,0.03807654231786728,0.8304539228826762,0.8337600943893194,240.0
260,0.043104030191898346,0.04382208362221718,7.274325980688445e-06,0.035434018820524216,0.814657857567072,0.8279624543040991,260.0
280,0.04288794472813606,0.043576259166002274,7.630657819390763e-06,0.030678139999508858,0.7835272345393897,0.8095463383297126,280.0
300,0.04160689935088158,0.042289409786462784,7.265498425113037e-06,0.03192366659641266,0.7654168348610402,0.7878673089891672,300.0
320,0.04176389425992966,0.042447779327631,6.470583230111515e-06,0.03603552281856537,0.7654852275550366,0.7714764323184887,320.0
340,0.04097163304686546,0.041649989783763885,6.488263807113981e-06,0.035394228994846344,0.7443289921581745,0.7584103515247503,340.0
360,0.040527552366256714,0.04118179529905319,6.685009793727659e-06,0.03199923038482666,0.7046552917808294,0.7381565038313469,360.0
380,0.04018687456846237,0.040841277688741684,6.6843294916907325e-06,0.032018594443798065,0.6988249576985837,0.7159364138791958,380.0
400,0.03981666639447212,0.040476225316524506,6.1890677898190916e-06,0.03501080349087715,0.6929659358859063,0.6988153951217732,400.0
420,0.039238717406988144,0.03989400342106819,6.20584160060389e-06,0.03449951112270355,0.6689648935049772,0.6869185956964889,420.0
440,0.039956849068403244,0.040603943169116974,6.5163108047272544e-06,0.03212788328528404,0.6514253152757883,0.6711187148888906,440.0
