epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse
20,0.13028636574745178,5.552432867261814e-06,0.13702864944934845,0.13128504157066345,2.10156972566247,2.10156972566247
40,0.06149531900882721,9.678760761744343e-06,0.21791814267635345,0.06315668672323227,0.9160819672495127,1.5088258464559914
60,0.055151715874671936,1.2000145943602547e-05,0.24927830696105957,0.05713219195604324,0.8011800512224436,1.2729439147114754
80,0.05344541370868683,1.1689795428537764e-05,0.25892338156700134,0.05543575435876846,0.7840916278064252,0.8337845487594605
100,0.05302906781435013,1.1257193364144769e-05,0.25724443793296814,0.05497574806213379,0.7791459776386619,0.7881392188891769
120,0.05280640721321106,1.0863624993362464e-05,0.25156232714653015,0.05469759926199913,0.7763983942121268,0.7798786665524046
140,0.05264697223901749,1.07004616438644e-05,0.2452431470155716,0.05450011417269707,0.7750328670293093,0.7768590796266993
160,0.052514564245939255,1.0369692972744815e-05,0.23810438811779022,0.05431210249662399,0.7733387874662876,0.7749233495692412
180,0.05238940939307213,9.67331106949132e-06,0.2289198935031891,0.05409206822514534,0.771487293958664,0.7732863161514203
200,0.05225709453225136,8.649226401757915e-06,0.21554909646511078,0.053820736706256866,0.7694196098819376,0.7714152304356298
220,0.05212414264678955,7.471101525879931e-06,0.1957450956106186,0.05351107195019722,0.7676249835044145,0.7695106291150055
240,0.05199155956506729,6.353994194796542e-06,0.17755673825740814,0.053213171660900116,0.7666163527593017,0.7678869820485512
260,0.0518479123711586,5.860833880433347e-06,0.15596309304237366,0.05294505134224892,0.7656931122168898,0.7666448161602021
280,0.05167347192764282,5.58693955099443e-06,0.13877300918102264,0.05268175154924393,0.7643279430642724,0.7655458026801547
300,0.05143491551280022,5.4222778089751955e-06,0.1278056651353836,0.05238737538456917,0.7622296474054456,0.7640835675622026
320,0.051040168851614,5.3732846936327405e-06,0.11788397282361984,0.05195074528455734,0.7583851191177965,0.7616475698625049
340,0.05058562755584717,5.291997695167083e-06,0.11063628643751144,0.051461685448884964,0.7514556236118078,0.7573567967116833
360,0.049296118319034576,5.857913038198603e-06,0.10185455530881882,0.0501876175403595,0.7436829669848085,0.7511745699048042
380,0.04903460294008255,6.16544366494054e-06,0.088528111577034,0.049902018159627914,0.745289388820529,0.7468093264723817
