protocol,seed,data_loss,ode_loss,k_loss,weighted_ode,weighted_k
replicate,1,0.046583570539951324,0.0005368227139115334,0.12477067857980728,8.684556687536365e-06,0.00010144439346376413
replicate,2,0.047328632324934006,0.0005691815749742091,0.14630237221717834,9.208048626234831e-06,0.00011895066678176624
replicate,3,0.04723639041185379,0.0005819711368530989,0.1470872461795807,9.414954318314539e-06,0.00011958880599818862
time_holdout,1,0.042999956756830215,0.0004948759451508522,0.10713337361812592,8.00595445681714e-06,8.710444016272658e-05
time_holdout,2,0.04329301789402962,0.0005622126627713442,0.13280761241912842,9.095307656995185e-06,0.00010797879632121787
time_holdout,3,0.04347197711467743,0.0006125985528342426,0.15752653777599335,9.910435458341027e-06,0.00012807643799829895
